TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD;PORT_NAME
2017-02-13 00:01:00;D;B;;;;;0;4.965;0.0;0;0;;0;0;0;0.41;0;0;0;0;0;YANGZHOU
2017-02-13 12:00:00;N;B;125;42;30;6;0;0;79.9;0;0;12.82;11;0;14.399999999999999;0;0;0;0;;0;
2017-02-14 12:00:00;N;B;130;53;30;21;0;0;78.8;225;4;12.35;23;0;13.565217391304348;0;0;0;0;;0;
2017-02-15 12:00:00;N;B;134;43;33;56;0;6.475;80.1;225;3;13.31;24;0;13.0;1.65;0;1;225;;0;
2017-02-15 13:00:00;A;B;135;12;34;8;0;6.475;80.0;202;3;11.7;1;0;28.799999999999997;1.65;0;0;0;;0;Wakayama
2017-02-26 07:00:00;D;L;135;12;34;8;0;7.125;0.0;0;0;;0;0;0.1;1.03;0;0;0;0;0;Wakayama
2017-02-26 12:00:00;N;L;134;23;33;44;0;0;74.6;315;2;12.23;4;0;12.0;0;0;1;315;;0;
2017-02-27 12:00:00;N;L;131;4;31;7;270;0;71.9;270;5;9.77;24;0;10.2;0;0;0;270;1;270;
2017-02-28 12:00:00;N;L;126;24;32;24;315;0;73.6;0;2;11.51;24;0;9.6;0;0;0;0;;0;
2017-03-01 12:00:00;N;L;125;21;36;53;0;5.65;73.8;315;1;11.78;24;0;9.5;0;0;0;315;1;315;
2017-03-01 15:00:00;A;L;126;54;36;14;0;0;73.8;315;1;11.9;3;0;9.6;0;0;0;0;;0;Dangjin
2017-03-11 18:10:00;D;L;126;54;36;14;0;6.99;0.0;0;0;;0;0;3.4;0;0;0;0;0;0;Dangjin
2017-03-12 12:00:00;N;L;124;22;34;19;0;0;68.3;45;1;11.42;14;0;9.428571428571429;0;0;0;45;0;0;
2017-03-13 12:00:00;N;L;124;6;30;45;180;6.99;68.8;45;4;10.68;24;0;9.5;0;0;1;45;1;22;
2017-03-14 12:00:00;N;L;122;0;26;59;180;6.99;68.9;22;4;11.11;24;0;9.6;0;0;1;22;1;22;
2017-03-15 12:00:00;N;L;121;12;22;22;202;0;68.1;22;4;10.21;24;0;9.5;0;0;3;0;1;0;
2017-03-16 12:00:00;N;L;118;6;19;40;157;0;68.3;22;4;10.04;24;0;9.5;0;0;3;22;1;22;
2017-03-17 12:00:00;N;L;115;46;15;44;157;0;68.8;22;3;10.89;24;0;9.4;0;0;2;22;0;0;
2017-03-18 12:00:00;N;L;112;10;12;37;135;0;68.8;45;2;11.32;25;0;9.6;0;0;1;45;0;0;
2017-03-19 12:00:00;N;L;110;50;8;9;135;0;68.3;90;3;10.31;24;0;9.4;0;0;2;90;0;0;
2017-03-20 12:00:00;N;L;107;26;5;5;225;0;69.0;90;2;11.48;24;0;9.5;0;0;1;90;0;0;
2017-03-21 12:00:00;N;L;104;41;1;36;180;6.97;68.9;0;1;11.52;24;0;9.3;0;0;0;0;0;0;
2017-03-21 15:30:00;A;L;104;17;1;14;270;6.97;61.7;0;1;9.71;3;30;6.857142857142857;0;0;0;0;0;0;Singapore
2017-03-22 04:00:00;D;L;103;17;1;59;0;7.015;0.0;0;0;;0;0;0.5;0.33;0;0;0;0;0;SINGAPORE
2017-03-22 12:00:00;N;L;102;50;1;30;270;7.015;69.0;270;1;11.98;8;0;9.3;0.33;0;0;270;0;270;
2017-03-23 12:00:00;N;L;99;52;4;2;0;0;68.9;270;1;11.6;24;0;9.4;0;0;0;270;0;270;
2017-03-24 12:00:00;N;L;94;12;6;47;0;7.015;69.1;270;1;11.88;24;0;9.4;0.33;0;0;292;0;270;
2017-03-25 12:00:00;N;L;90;26;3;46;247;7.015;69.0;270;1;11.73;25;0;9.312;0.33;0;0;270;0;270;
2017-03-26 12:00:00;N;L;86;43;0;46;247;7.015;69.0;292;1;12.17;24;0;9.3;0.33;0;0;292;;292;
2017-03-27 12:00:00;N;L;83;51;1;1;247;7.015;69.1;270;2;11.39;24;0;9.4;0.33;0;0;292;0;270;
2017-03-28 12:00:00;N;L;79;9;4;38;247;7.015;69.2;270;5;9.84;25;0;9.6;0.33;0;2;270;1;112;
2017-03-29 12:00:00;N;L;76;32;6;10;247;7.015;69.1;270;2;10.54;24;0;9.6;0.33;0;0;270;1;112;
2017-03-30 12:00:00;N;L;72;6;9;23;225;7.015;69.1;202;2;11.39;24;0;9.5;0.33;0;0;202;;;
2017-03-31 12:00:00;N;L;68;44;11;28;225;7.015;69.2;135;2;11.73;24;0;9.4;0.33;0;0;135;1;180;
2017-04-01 12:00:00;N;L;64;29;14;20;225;7.015;69.3;135;2;11.74;25;0;9.216;0.33;0;1;135;1;135;
2017-04-02 12:00:00;N;L;60;10;17;16;225;7.015;69.1;180;2;11.95;24;0;9.4;0.33;0;1;202;;;
2017-04-03 12:00:00;N;L;56;50;19;10;225;7.015;69.1;180;2;11.83;24;0;9.4;0.33;0;0;157;;;
2017-04-04 12:00:00;N;L;51;32;22;56;225;7.015;69.3;180;2;11.47;25;0;9.312;0.33;0;1;180;1;180;
2017-04-05 12:00:00;N;L;47;8;25;45;225;7.015;69.2;135;2;11.67;24;0;9.4;0.33;0;0;135;;;
2017-04-06 12:00:00;N;L;42;37;27;49;225;7.015;69.3;180;2;12.75;24;0;9.4;0.33;0;;;;;
2017-04-07 12:00:00;N;L;37;41;29;42;225;7.015;68.7;225;4;10.4;25;0;9.12;0.33;0;3;225;1;225;
2017-04-08 12:00:00;N;L;33;24;31;26;247;7.015;69.1;225;4;10.16;24;0;9.3;0.33;0;3;225;2;225;
2017-04-09 12:00:00;N;L;28;26;33;15;247;7.015;69.3;45;2;12.08;24;0;9.6;0.33;0;0;45;;;
2017-04-10 12:00:00;N;L;22;45;34;45;270;7.015;69.2;315;2;12.0;24;0;9.6;0.33;0;;;;;
2017-04-11 12:00:00;N;L;17;3;34;33;315;7.015;69.1;225;2;11.56;24;0;9.4;0.33;0;;;;;
2017-04-12 12:00:00;N;L;14;11;30;9;315;7.015;69.2;270;2;11.57;25;0;9.12;0.33;0;;;;;
2017-04-13 12:00:00;N;L;11;38;26;8;225;7.015;69.1;225;2;11.08;24;0;9.5;0.33;0;;;;;
2017-04-14 12:00:00;N;L;8;14;23;20;315;7.015;69.0;90;3;10.63;24;0;9.5;0.33;0;2;112;;;
2017-04-15 12:00:00;N;L;5;41;19;29;315;7.015;69.3;90;2;11.11;24;0;9.6;0.33;0;;;;;
2017-04-16 12:00:00;N;L;2;20;16;51;315;7.015;69.1;0;2;10.47;24;0;9.4;0.33;0;1;0;1;0;
2017-04-17 12:00:00;N;L;0;9;13;13;315;7.015;68.9;315;3;10.21;24;0;9.5;0.33;0;2;315;1;315;
2017-04-18 12:00:00;N;L;2;53;9;25;315;7.015;68.8;315;3;10.38;24;0;9.6;0.33;0;2;0;1;0;
2017-04-19 12:00:00;N;L;5;44;5;40;315;7.015;68.8;315;3;10.45;24;0;9.5;0.33;0;2;315;;;
2017-04-20 12:00:00;N;L;8;29;2;18;315;6.89;68.7;180;3;10.5;24;0;9.4;0;0;1;157;;;
2017-04-21 12:00:00;N;L;10;49;0;54;315;6.89;68.5;180;3;10.54;24;0;9.3;0;0;1;180;;;
2017-04-22 12:00:00;N;L;13;4;4;27;315;6.89;68.4;225;3;10.33;24;0;9.3;0;0;1;225;1;202;
2017-04-23 12:00:00;N;L;15;11;7;57;315;6.89;68.2;315;3;9.97;24;0;9.5;0;0;2;315;2;315;
2017-04-24 12:00:00;N;L;18;22;10;28;315;6.89;68.3;315;3;10.12;24;0;9.4;0;0;2;315;2;315;
2017-04-25 12:00:00;N;L;18;29;14;56;0;6.89;68.1;0;3;10.75;24;0;9.5;0;0;1;0;1;0;
2017-04-26 12:00:00;N;L;18;51;18;50;0;6.89;69.8;0;2;11.29;24;0;9.8;0;0;1;0;;;
2017-04-27 12:00:00;N;L;17;48;23;25;22;6.89;84.1;0;3;13.1;24;0;16.0;0;0;2;0;2;0;
2017-04-28 12:00:00;N;L;13;4;28;29;337;6.89;87.1;225;2;14.13;24;0;17.8;0;0;1;225;;;
2017-04-29 12:00:00;N;L;9;36;32;47;22;6.89;87.2;22;3;13.75;24;0;17.9;0;0;2;0;2;0;
2017-04-30 10:00:00;A;L;5;58;35;28;90;6.9;85.2;45;2;13.8;22;0;17.345454545454547;0;0;0;;;;GIBRALTAR
2017-04-30 22:00:00;D;L;5;0;36;25;0;7.1;0.0;0;0;;0;0;2.1;0;0;0;0;0;0;GIBRALTAR
2017-05-01 05:00:00;A;L;6;28;36;30;0;7.1;75.2;45;2;11.86;7;0;13.37142857142857;0;0;0;0;;0;CADIZ
2017-05-05 15:00:00;D;L;6;30;36;20;0;6.37;0.0;0;0;;0;0;2.2;1.04;0;0;0;0;0;CADIZ
2017-05-06 12:00:00;N;L;9;31;38;48;315;6.37;75.3;292;5;11.43;21;0;12.685714285714285;1.04;0;3;292;3;292;
2017-05-07 12:00:00;N;L;10;11;43;48;0;6.37;75.4;22;3;12.42;24;0;12.800000000000002;1.04;0;1;45;1;45;
2017-05-08 12:00:00;N;L;10;1;48;57;0;6.375;75.9;45;3;12.21;24;0;12.9;0.95;0;1;45;1;22;
2017-05-09 12:00:00;N;L;10;59;52;56;0;6.375;75.6;90;3;12.18;24;0;12.9;0.95;0;1;67;1;22;
2017-05-10 12:00:00;N;L;8;26;57;14;0;6.375;74.8;337;4;11.92;24;0;12.6;0.95;0;2;337;1;337;
2017-05-11 12:00:00;N;L;2;43;60;11;45;6.375;75.1;45;6;11.38;24;0;12.4;0.95;0;3;45;2;45;
2017-05-12 06:00:00;A;L;4;43;61;6;90;6.38;79.9;90;5;11.02;18;0;14.666666666666666;0.94;0;2;90;2;90;Floro
2017-05-19 18:24:00;D;B;5;36;61;4;0;6.245;0.0;0;0;;0;0;0.7;0.87;0;0;0;0;0;Floro
2017-05-20 12:00:00;N;B;5;25;58;2;135;6.245;88.2;135;6;14.06;16;0;17.700000000000003;0.87;0;2;135;1;315;
2017-05-21 09:30:00;A;B;12;16;56;5;180;6.245;88.4;315;5;14.18;21;30;17.190697674418605;0.85;0;2;315;1;315;Helsingor
2017-05-21 15:00:00;D;B;12;2;56;37;0;6.245;0.0;0;0;;0;0;2;0.85;0;0;0;0;0;Helsingor
2017-05-22 12:00:00;N;B;19;0;57;33;337;6.245;88.6;315;3;14.45;20;0;17.639999999999997;0.85;0;1;315;;315;
2017-05-23 12:00:00;N;B;27;10;60;52;90;6.375;88.3;225;5;14.25;24;0;17.7;0.75;0;2;225;;0;
2017-05-23 14:30:00;A;B;29;1;60;3;90;6.375;88.7;225;2;15.2;2;30;18.24;0.75;0;1;225;0;225;ST. PETERSBURG
2017-05-29 22:30:00;D;L;30;55;59;14;0;0;0.0;0;0;;0;0;3.9;0;0;0;0;0;0;ST. PETERSBURG
2017-05-30 12:00:00;N;L;23;39;59;21;247;9.05;87.8;180;2;14.2;13;30;17.955555555555552;0;0;0;180;0;180;
2017-05-31 05:30:00;A;L;16;15;57;37;180;9.05;87.6;292;4;13.84;18;30;17.77297297297297;0;0;2;270;1;292;Oskarshamn
2017-06-09 01:00:00;D;L;16;15;57;26;0;9.79;0.0;0;0;;0;0;3.8;0;0;0;0;0;0;OSKARSHAMN
2017-06-09 12:00:00;N;L;15;47;55;38;247;9.65;87.9;157;2;14.18;11;0;17.89090909090909;0.1;0;0;157;;;
