stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS,sOvg,currSp,currDir
14.74,10.4,53.0,6.6,299.5,1.51,52.2756,3.8747,2019-12-07 06:00,349.9,14.82,14.2,0.71,55.100000000000016
14.68,10.4,52.0,6.6,313.6,1.51,52.279483,3.873733,2019-12-07 06:01,350.1,14.82,14.2,0.71,54.899999999999984
14.65,10.4,53.0,5.3,292.5,1.51,52.283367,3.8727669999999996,2019-12-07 06:02,349.6,14.82,14.1,0.71,55.399999999999984
14.65,10.4,53.0,5.3,292.5,1.51,52.283367,3.8727669999999996,2019-12-07 06:02,349.6,14.82,14.1,0.71,55.399999999999984
14.51,10.4,53.0,4.5,287.8,1.51,52.287217,3.87175,2019-12-07 06:03,349.4,14.82,14.0,0.71,55.600000000000016
14.63,10.4,54.0,5.0,294.7,1.51,52.2911,3.870683,2019-12-07 06:04,350.2,14.82,14.1,0.71,54.80000000000001
14.71,10.4,53.0,5.7,295.2000000000001,1.51,52.295,3.86975,2019-12-07 06:05,350.9,14.82,14.2,0.71,54.100000000000016
14.69,10.4,53.0,5.6,317.1,1.51,52.298883000000004,3.868833,2019-12-07 06:06,349.6,14.82,14.1,0.71,55.399999999999984
14.61,10.4,54.0,6.3,297.0,1.51,52.30275,3.86785,2019-12-07 06:07,349.8,14.82,14.1,0.71,55.19999999999999
14.53,10.4,54.0,6.2,339.6,1.51,52.306616999999996,3.8669,2019-12-07 06:08,351.0,14.82,14.0,0.71,54.0
14.6,10.4,54.0,6.8,306.7,1.51,52.3105,3.866017,2019-12-07 06:09,351.2,14.82,14.1,0.71,53.80000000000001
14.64,10.4,53.0,5.7,297.4000000000001,1.51,52.3144,3.865133,2019-12-07 06:10,351.7,14.82,14.1,0.71,53.30000000000001
14.66,10.4,58.0,7.0,306.7,1.51,52.318333,3.864433,2019-12-07 06:11,0.0,14.82,14.3,0.71,45.0
14.99,10.4,55.0,9.2,274.40000000000003,1.51,52.322333,3.86475,2019-12-07 06:12,1.2,14.82,14.4,0.71,43.8
15.09,10.4,53.0,7.9,286.5,1.51,52.32635,3.865133,2019-12-07 06:13,6.1,14.82,14.5,0.71,38.9
15.2,10.4,55.0,8.4,263.8,1.51,52.33035,3.8662,2019-12-07 06:14,8.8,14.82,14.5,0.71,36.2
15.29,10.4,51.0,6.2,286.6,1.51,52.334333,3.867467,2019-12-07 06:15,8.8,14.82,14.6,0.71,36.2
15.25,10.4,52.0,10.1,260.40000000000003,1.51,52.3383,3.8687,2019-12-07 06:16,8.9,14.82,14.5,0.71,36.1
15.25,10.4,52.0,8.5,272.70000000000005,1.51,52.342267,3.8699169999999996,2019-12-07 06:17,9.4,14.82,14.6,0.71,35.6
15.02,10.4,51.0,5.3,250.9,1.51,52.346216999999996,3.8711330000000004,2019-12-07 06:18,4.7,14.82,14.4,0.71,40.3
14.97,10.4,52.0,5.9,253.7,1.51,52.350167,3.8718169999999996,2019-12-07 06:19,4.2,14.82,14.4,0.71,40.8
14.94,10.4,54.0,6.0,282.5,1.51,52.35415,3.8725330000000002,2019-12-07 06:20,5.4,14.82,14.4,0.71,39.6
15.09,10.4,52.0,7.5,259.1,1.51,52.35815,3.87345,2019-12-07 06:21,6.6,14.82,14.4,0.71,38.4
14.97,10.4,52.0,11.9,256.4,1.51,52.3621,3.874483,2019-12-07 06:22,6.3,14.82,14.4,0.71,38.7
15.07,10.4,52.0,7.6,258.1,1.51,52.366083,3.875433,2019-12-07 06:23,7.0,14.82,14.4,0.71,38.0
14.99,10.4,52.0,10.2,260.1,1.51,52.370033,3.87645,2019-12-07 06:24,7.4,14.82,14.4,0.71,37.6
15.03,10.4,51.0,9.3,281.7,1.51,52.374016999999995,3.8776,2019-12-07 06:25,8.1,14.82,14.5,0.71,36.9
15.11,10.4,52.0,5.2,296.9000000000001,1.51,52.377967,3.87875,2019-12-07 06:26,7.9,14.82,14.4,0.71,37.1
15.06,10.4,52.0,6.1,265.9,1.51,52.381917,3.88,2019-12-07 06:27,8.3,14.82,14.5,0.71,36.7
15.07,10.4,51.0,8.6,274.6,1.51,52.38585,3.8812,2019-12-07 06:28,7.7,14.82,14.4,0.71,37.3
14.94,10.4,51.0,9.1,267.40000000000003,1.51,52.389783,3.882317,2019-12-07 06:29,8.2,14.82,14.3,0.71,36.8
14.95,10.4,52.0,10.1,263.3,1.51,52.3937,3.8835830000000002,2019-12-07 06:30,8.5,14.82,14.4,0.71,36.5
15.01,10.4,51.0,8.9,255.3,1.51,52.397633,3.88485,2019-12-07 06:31,8.4,14.82,14.4,0.71,36.6
14.98,10.4,51.0,6.8,273.7,1.51,52.401567,3.8860669999999997,2019-12-07 06:32,7.8,14.82,14.3,0.71,37.2
15.02,10.4,53.0,4.8,299.1,1.51,52.405483000000004,3.8872169999999997,2019-12-07 06:33,9.5,14.82,14.4,0.71,35.5
15.17,10.4,52.0,6.2,285.1,1.51,52.409433,3.8886,2019-12-07 06:34,9.6,14.82,14.6,0.71,35.4
15.12,10.4,51.0,10.3,277.4,1.51,52.41335,3.889967,2019-12-07 06:35,8.5,14.82,14.4,0.71,36.5
15.09,10.4,51.0,6.4,271.1,1.51,52.417367,3.891167,2019-12-07 06:36,8.7,14.82,14.5,0.71,36.3
15.23,10.4,52.0,8.9,239.7,1.51,52.42135,3.89245,2019-12-07 06:37,9.6,14.82,14.6,0.71,35.4
15.12,10.4,51.0,7.2,238.4,1.51,52.425333,3.893783,2019-12-07 06:38,9.2,14.82,14.5,0.71,35.8
15.17,10.4,52.0,10.5,242.4,1.51,52.4293,3.89515,2019-12-07 06:39,9.3,14.82,14.6,0.71,35.7
15.09,10.4,50.0,10.7,259.79999999999995,1.51,52.43325,3.8964,2019-12-07 06:40,8.6,14.82,14.5,0.71,36.4
15.15,10.4,53.0,9.5,266.90000000000003,1.51,52.437217000000004,3.8976669999999998,2019-12-07 06:41,9.7,14.82,14.6,0.71,35.3
15.14,10.4,51.0,10.9,267.8,1.51,52.44116700000001,3.899083,2019-12-07 06:42,9.2,14.82,14.6,0.71,35.8
15.22,10.4,51.0,7.3,282.9,1.51,52.445167000000005,3.9003669999999997,2019-12-07 06:43,9.0,14.82,14.6,0.71,36.0
15.2,10.4,51.0,8.7,261.40000000000003,1.51,52.44915,3.901733,2019-12-07 06:44,9.4,14.82,14.6,0.71,35.6
