001;V1.19;3/21/2019 12:04:35 AM
UTC;'Richtungswinkel' [°];'Speed over gnd.' [kn];'SpeedThrWater' [kn];'Latitude' [°];'Latitude dir' [];'Latitude' [°];'Longitude dir' [];'MainEngine FlowRateHr' [kg/h];'MainEngine kg total HFO' [kg];'MainEngine kg total DFO' [kg];'MainEngine running Time' [min];'AuxEngine FlowRateHr' [kg/h];'AuxEngine kg total HFO' [kg];'AuxEngine kg total DFO' [kg];'AuxEngine running Time' [min];'Boiler FlowRateHr' [kg/h];'Boiler kg total HFO' [kg];'Boiler kg total DFO' [kg];'Boiler running Time' [min];'SHP-Speed' [rpm];'SHP-Torque' [kNm];'SP-Power' [kW];'Engine load' [%];'SP-Speed' [%];'SFOC' [g/kWh];'Propeller slip' [%];'Efficiency' [kg/nm]
3/21/2019 12:04:35 AM;0.008;0.004;1.56963333333334;3240.18639533333;S;6043.62750411107;W;0;2977173.52548886;1494620.74755832;338968.195718329;105.107733607292;366836.675388694;279574.616939131;450104.655139678;44.0309001319093;76066.8836633619;96605.2481438761;209148.804983267;0;-10.2974857142857;0;;36.4924242424242;;;92.0650352064467
3/21/2019 12:09:35 AM;0.178666666666668;0.0893333333333339;1.45656666666667;3240.19447533333;S;6043.62426477778;W;0;2977173.52548886;1494620.74755832;338968.195718329;114.742020964622;366845.941427806;279574.616939131;450109.658056344;0;76066.8836633619;96605.2481438761;209148.804983267;0;-10.3808520833333;0;;36.4924242424242;;;73.2180022530969
3/21/2019 12:14:35 AM;0.00666666666666667;0.00333333333333333;1.57773333333333;3240.19715966667;S;6043.622996;W;0;2977173.52548886;1494620.74755832;338968.195718329;107.791600227356;366855.277364966;279574.616939131;450114.660889677;0;76066.8836633619;96605.2481438761;209148.804983267;0;-10.42169375;0;;36.4924242424242;;;66.673150725503
3/21/2019 12:19:35 AM;0;0;1.73616666666667;3240.19741166666;S;6043.62313966669;W;0;2977173.52548886;1494620.74755832;338968.195718329;95.7526677846909;366863.684598672;279574.616939131;450119.663756343;0;76066.8836633619;96605.2481438761;209148.804983267;0;-9.69659387755102;0;;36.4924242424242;;;55.2123880095303
3/21/2019 12:24:35 AM;0.007;0.0035;1.6486;3240.19747488889;S;6043.623732;W;0;2977173.52548886;1494620.74755832;338968.195718329;103.942404985428;366871.922212746;279574.616939131;450124.666689676;41.1498288647721;76070.4076189741;96605.2481438761;209153.224283267;0;0.60555625;0;;36.4924242424242;;;88.1398433272116
3/21/2019 12:29:35 AM;0.0116666666666667;0.00583333333333334;1.5931;3240.19605311111;S;6043.62135144446;W;0;2977173.52548886;1494620.74755832;338968.195718329;98.5173010826111;366880.440018303;279574.616939131;450129.669539675;49.9151715178465;76074.1777851014;96605.2481438761;209158.227133267;0;3.53577872340426;0;;36.4924242424242;;;90.5091228932773
3/21/2019 12:34:35 AM;0.000666666666666667;0.000333333333333333;1.6085;3240.19551822221;S;6043.62168188889;W;0;2977173.52548886;1494620.74755832;338968.195718329;99.4561439752579;366888.684836945;279574.616939131;450134.672406342;52.7178114754518;76078.4745899022;96605.2481438761;209163.229999933;0;0.661673469387755;0;;36.4924242424242;;;94.8548600647225
3/21/2019 12:39:35 AM;0.00266666666666667;0.00133333333333333;1.646;3240.19416877778;S;6043.6233407778;W;0;2977173.52548886;1494620.74755832;338968.195718329;96.4986348152161;366896.870661784;279574.616939131;450139.675273008;59.3206857034298;76083.0632134386;96605.2481438761;209168.2328666;0;-1.0980125;0;;36.4924242424242;;;
3/21/2019 12:44:35 AM;0.000333333333333333;0.000166666666666667;1.56473333333333;3240.19554533333;S;6043.62532877779;W;0;2977173.52548886;1494620.74755832;338968.195718329;89.803626537323;366904.696239354;279574.616939131;450144.678189674;66.0986610010091;76088.379952048;96605.2481438761;209173.235783266;0;-1.15613333333333;0;;36.4924242424242;;;94.702249569705
3/21/2019 12:49:35 AM;0.00232558139534884;0.00116472545757072;1.6739;3240.19635027745;S;6043.62351209769;W;0;2977173.52548886;1494620.74755832;338968.195718329;89.5819956064224;366912.013529278;279574.616939131;450149.68105634;66.5960604636396;76093.9318234401;96605.2481438761;209178.238649933;0;-1.20875625;0;;36.4924242424242;;;93.4234762184937
