Basis,Coeff
(Intercept),-220.589
h(x2-17.906),26.3667
h(x4-0.365333),-6.72835
h(x0-11.264),-69.4942
h(x3-16.9735),47.0157
h(17.4453-x3),2.62038
h(x3-16.9298),-47.729
h(x0-11.846),-130.941
h(22.3599-x2),-0.46104
h(x0-11.778),89.0367
h(x2-15.501),-2.60776
h(19.2135-x2),-5.40194
h(86.7847-x1),-0.34167
h(17.1081-x3),-2.46007
h(17.3456-x3),-43.2266
h(17.1675-x3),45.9519
h(0.0666667-x4),29.4636
h(x0-9.63133),17.1684
h(8.22067-x0),-109.538
h(x0-15.062),-5.04041
h(135.602-x1),6.29556
h(x0-11.9387),-133.27
h(11.9387-x0),172.061
h(x0-8.329),64.3743
h(x0-8.88767),-16.4414
h(81.8027-x1),0.303394
h(153.463-x1),-0.246888
h(x1-129.413),-0.734309
h(x1-136.031),-5.47611
h(x0-11.3283),71.1606
h(115.034-x1),0.100403
h(x1-44.2013),6.09143
h(44.2013-x1),-6.14604
h(16.1576-x3),58.1801
h(x3-16.6384),-5.20855
h(x3-16.0123),-38.2742
h(x3-16.2862),-24.8289
h(x0-14.3087),107.099
h(14.3087-x0),-110.367
h(14.7057-x3),-14.4604
h(15.5215-x3),-19.5679
h(x3-14.9173),26.4665
h(x4-2.45),8.44296
h(2.45-x4),-4.83387
h(x3-18.8439),5.71023
h(20.7294-x3),-41.8045
h(15.8635-x3),14.5729
h(x2-18.0646),-32.5281
h(18.0646-x2),5.51503
h(x2-18.6476),8.70999
h(x2-10.4084),0.270631
