Basis,Coeff
(Intercept),48.6534
h(x0-8.112),14.9599
h(x3-11.0965),-15.3029
h(x2-13.2333),-10.9356
h(7.735-x0),564.333
h(x0-7.89333),895.567
h(7.89333-x0),-916.059
h(x0-7.783),216.593
h(x0-7.84967),-147.45
h(11.216-x0),106.751
h(11.2677-x0),-102.561
h(x0-9.39267),-61.4286
h(9.31-x0),57.057
h(161.695-x1),3.57967
h(x2-15.6938),5.27657
h(x0-7.71667),-918.628
h(7.75267-x0),-247.765
h(0.156-x4),-13.1512
h(x0-14.898),28.2654
h(x0-15.2443),-135.881
h(x1-85.5027),0.0378732
h(x1-157.957),2.53143
h(157.957-x1),-3.54031
h(x3-11.0181),16.6762
h(11.0181-x3),-4.20643
h(6.69806-x2),0.684073
h(x2-10.6398),8.87016
h(10.6398-x2),-15.4764
h(7.706-x0),599.446
h(8.89725-x2),2.71843
h(12.8175-x2),12.1474
h(32.5367-x1),0.207191
