Basis,Coeff
(Intercept),216.474
h(x2-20.1908),1.9377
h(1.18667-x4),25.809
h(31.944-x1),-1.535
h(65.5953-x1),0.943734
h(0.658-x4),-62.0696
h(116.605-x1),1.46274
h(x2-6.92957),-27.9476
h(x4-1.008),3.96133
h(1.008-x4),24.4126
h(54.0233-x1),-11.0862
h(15.0337-x0),10883.8
h(x0-14.8527),-404.078
h(5.7207-x2),105.065
h(15.04-x0),-5515.5
h(15.031-x0),-5415.45
h(x2-11.2871),-21.0252
h(x2-13.6877),4.35578
h(4.69724-x2),-24.9036
h(14.7497-x0),744.864
h(x3-11.8545),12.5161
h(11.8545-x3),-40.4563
h(83.3193-x1),-0.323161
h(x1-51.1313),-5.30894
h(51.1313-x1),10.6449
h(x0-14.9593),-1386.54
h(14.9593-x0),1639.54
h(x0-15.008),1669.48
h(14.9873-x0),-1818.21
h(5.99075-x2),-65.1289
h(14.7187-x0),-411.039
h(10.3205-x2),34.5884
h(16.7528-x2),-2.62398
h(12.8061-x3),5.068
h(108.072-x1),7.88374
h(112.423-x1),-4.55186
h(106.951-x1),-4.75409
h(17.934-x1),2.53666
h(x2-9.09447),-25.3324
h(x2-8.00344),69.7254
h(8.00344-x2),-48.2124
h(x1-56.724),5.27751
h(15.297-x0),-124.08
h(x0-14.4477),-18.2828
