Basis,Coeff
(Intercept),47.5347
h(x0-8.1),-2.53312
h(x3-20.92),1.07516
h(20.92-x3),-0.178453
h(x4-287.84),-0.42136
h(287.84-x4),0.229771
h(x6-357.44),0.969332
h(x3-27.87),-4.4123
h(x1-11.84),-270.036
h(11.84-x1),-1.99856
h(x4-189.74),0.181095
h(x5-4.36),-5.88118
h(4.36-x5),-0.635556
h(x2-0.11),-11.795
h(x0-13.27),10.1614
h(13.27-x0),-4.68101
h(x3-24.15),3.00632
h(263.54-x4),-0.239659
h(x6-275.06),0.05572
h(275.06-x6),0.0477904
h(x6-324.82),-0.0703637
h(3.29-x3),-1.32946
