Basis,Coeff
(Intercept),-171756
h(x2-0.00898998),816.377
h(x2-210.87),-815.684
h(210.87-x2),815.543
x3,0.709194
x1,-0.247561
h(x0-118.779),0.824064
h(300.528-x0),9.5207
h(127.005-x2),2.89071
h(344.093-x0),-2.86343
h(x0-89.3653),-4.50315
h(350.28-x0),2.17379
h(108.188-x2),0.506461
h(69.3398-x0),4.74867
h(x0-90.7468),4.13709
h(x2-81.2457),-0.263113
h(x2-174.892),0.121398
h(139.647-x2),-0.362365
h(x2-125.434),-2.83736
h(324.515-x2),-2.24492
h(x2-306.057),0.429165
h(x2-326.401),2.04929
h(x2-292.611),-0.127766
h(x0-308.232),-1.19338
h(x0-283.623),-1.64932
h(x0-262.936),10.916
h(262.936-x0),-9.22816
h(x0-289.377),1.02603
h(x0-234.367),-0.70459
h(199.504-x0),-0.492556
h(265.063-x0),-1.14199
h(x0-299.845),-9.67722
h(189.03-x0),0.188311
h(x0-294.201),1.47164
h(332.894-x0),1.42181
h(x2-341.95),-0.192664
h(x0-73.0945),-3.7321
h(76.9288-x0),1.24073
h(70.8781-x0),5.71058
h(225.011-x0),0.484818
h(93.6568-x0),-11.7472
h(x0-96.4282),3.467
h(x0-114.284),-1.14539
h(x0-92.8818),8.60288
h(x0-68.1146),-2.17072
h(x0-70.1612),-5.505
h(x0-152.103),0.304421
