Basis,Coeff
(Intercept),815.66
h(75.2053-x1),0.0267617
h(x3-15.0931),11.6191
h(x0-15.11),26.2903
h(x3-18.0848),2.99788
h(x0-14.536),-1.80337
h(16.3385-x3),26.61
h(x4-2.764),-108.211
h(x1-140.453),-0.242141
h(x3-16.5708),-21.8249
h(161.237-x1),0.551086
h(x4-2.58),54.0813
h(2.85333-x4),52.703
h(x4-1.61333),-3.45079
h(x1-105.9),0.857615
h(105.9-x1),-0.813478
h(14.1436-x3),6.55423
h(x2-24.7176),-6.4546
h(24.7176-x2),7.53333
h(x0-15.351),-122.867
h(4.36822-x2),-7.40302
h(x2-5.48921),-4.95155
h(x0-15.277),187.134
h(15.277-x0),-114.616
h(x2-6.52445),1.10149
h(11.9001-x2),-0.717978
h(x2-4.80549),11.4609
h(x4-4.11267),550.659
h(4.11267-x4),-50.0735
h(12.8254-x3),-6.36182
h(x4-2.33067),-72.4255
h(16.7704-x3),-5.01893
h(x4-2.23867),72.4604
h(x1-15.0127),-0.271087
h(8.07844-x2),0.603239
h(9.59967-x0),-8.38338
h(x0-9.139),78.8287
h(x0-8.83233),-39.2787
h(8.29733-x0),191.291
h(0.423333-x4),-22.9632
h(x0-8.12633),-383.048
h(x0-9.41167),-26.692
h(0.481333-x4),15.8196
h(x0-8.46033),102.178
h(8.556-x0),-90.8742
h(x0-8.31967),-191.659
h(15.2246-x3),-25.0628
h(x0-8.22167),94.5158
h(x0-8.09633),377.492
h(x0-8.06333),-127.39
h(x3-15.6619),8.11068
