Basis,Coeff
(Intercept),653.53
h(x4-0.482667),14.8622
x3,2.22829
h(x2-6.07221),0.091363
h(164.004-x1),1.04025
h(x1-157.815),-0.581659
h(x0-10.6967),13.8513
h(x0-11.2723),317.823
h(7.94367-x0),58.1641
h(x0-14.484),97.2123
h(x4-1.05933),59.426
h(x4-0.888),-54.8537
h(11.1967-x0),-97.4813
h(38.8973-x1),7.65519
h(x0-11.3073),-244.949
h(x0-15.2657),-162.798
h(15.3143-x0),132.502
h(15.006-x0),-1586.42
h(15.0083-x0),1631.16
h(29.328-x1),-1.01171
h(47.2147-x1),-0.905635
h(x1-37.552),-10.1095
h(36.088-x1),4.10289
h(x0-11.4933),15.2383
h(127.843-x1),0.689764
h(109.966-x1),-0.484842
h(x1-132.413),10.8033
h(132.413-x1),-11.3251
h(x0-8.21967),-30.2123
h(14.518-x0),-106.358
h(x1-97.4393),-3.04653
h(x1-104.885),0.83103
h(x1-96.1433),2.55592
h(x3-14.3),-1.01206
h(x4-1.43267),-37.2106
h(1.43267-x4),6.17852
h(x4-1.574),18.7868
