Basis,Coeff
(Intercept),65.5481
h(16.802-x3),-6.89714
h(17.1301-x2),3.49263
h(x0-14.4443),26.5874
h(14.4443-x0),89.2229
h(3.69519-x2),2.06445
h(x4-2.48533),4.08276
h(2.48533-x4),-1.88171
h(x2-23.7145),-1.3529
h(x2-13.0447),-2.92991
h(x2-7.93699),5.97338
h(7.93699-x2),-4.7851
h(14.6073-x0),28.3724
h(x1-152.587),-0.940532
h(x1-127.675),0.158197
h(127.675-x1),0.0282159
h(x3-15.2992),-15.0792
h(x3-16.375),30.4866
h(16.375-x3),-16.7772
h(x1-160.878),1.12837
h(x0-15.277),-23.9311
