Basis,Coeff
(Intercept),-157.913
h(x3-13.9457),0.600956
h(13.9457-x3),1.65463
h(20.731-x2),0.173003
h(x0-7.658),-44.3952
h(x0-9.00633),93.9422
h(9.00633-x0),-59.4942
h(x0-9.36),-141.376
h(x0-8.89967),-19.4125
h(x4-1.48467),-52.7084
h(1.48467-x4),60.2709
h(x4-0.62),58.3077
h(x2-9.24666),0.209536
h(x0-14.6563),-6.86774
h(0.0206667-x4),38.386
h(0.67-x4),-105.239
h(7.60133-x0),31.2057
h(x4-1.8),-7.61056
h(22.4714-x2),0.381905
h(x0-9.371),127.961
h(7.74067-x0),30.7944
h(x0-7.83033),16.3745
h(8.278-x0),32.7207
h(7.934-x0),-51.5913
h(8.35633-x0),-18.3195
h(x3-11.9076),-20.0287
h(14.5063-x3),-1.29968
h(x4-0.634667),-129.171
h(0.664-x4),172.742
h(15.2833-x0),32.7181
h(0.762-x4),-129.697
h(x4-0.84),36.2822
h(x4-0.734),95.3669
h(x3-11.8736),19.5081
h(10.2106-x3),-20.0296
h(x2-16.5085),0.497784
h(16.5085-x2),-0.588086
