Basis,Coeff
(Intercept),1109.93
h(x4-2.41),530.946
h(2.41-x4),-539.136
h(57.6827-x1),0.145867
h(18.9322-x3),-15.6272
h(14.9633-x0),-716.853
h(19.0893-x3),37.3336
h(1.43-x4),568.413
h(0.416-x4),-33.9661
h(x4-1.44067),-538.795
h(x2-3.07041),0.852093
h(3.07041-x2),-25.9821
h(x0-14.2827),-1077.26
h(x3-19.5827),111.899
h(19.4016-x3),-51.8544
h(x3-19.8085),-98.4972
h(17.714-x3),9.63779
h(74.1527-x1),-0.159545
h(x4-2.106),8.28218
h(x2-16.0455),0.520877
h(x2-9.99683),-0.776674
h(x3-20.3182),-10.9521
h(20.543-x3),8.55052
h(x0-14.28),378.169
h(14.28-x0),718.639
h(19.9456-x3),15.8118
