<<<<<<< HEAD
Basis,Coeff
(Intercept),31.1359
h(x0-7.85),4.27811
h(7.85-x0),2.6684
h(26.87-x3),5.49742
h(x1-11.85),-244.261
h(11.85-x1),-0.841054
x5,0.97834
h(x4-272.37),-0.0439086
h(272.37-x4),-0.0156819
h(x6-29.86),0.00165527
h(29.86-x6),0.129508
h(x3-28.72),-1.14033
h(28.72-x3),-5.87713
h(x6-349.54),0.212924
=======
Basis,Coeff
(Intercept),133.895
h(x3-13.3887),1.2296
h(13.3887-x3),-1.28768
h(x1-4.528),-15.3636
h(4.528-x1),10.263
h(x2+0.190667),-3.91255
h(-0.190667-x2),0.324047
h(17.288-x3),1.08109
x4,0.00787608
h(x0-12.0033),5.31668
h(12.0033-x0),-3.33407
h(11.3587-x1),-21.5022
h(10.8327-x1),4.8698
>>>>>>> bdf3ac40dfb296867ee131582bc57abaaaa9dcc4
