TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE
2017-07-31 12:00:00;N;L;24;49;37;22;225;9.4;102.0;0;5;13.2;12;30;22.08;0;0.07
2017-08-01 12:00:00;N;L;18;26;36;55;270;9.4;102.0;315;3;12.44;25;0;22.223999999999997;0;0.07
2017-08-02 12:00:00;N;L;13;11;37;11;315;9.4;102.0;315;3;11.92;24;0;22.0;0;0.08
2017-08-03 12:00:00;N;L;7;27;37;13;270;9.4;102.0;90;3;12.17;24;0;21.8;0;0.07
2017-08-04 12:00:00;N;L;1;53;36;17;270;9.4;102.0;270;2;11.96;24;0;21.600000000000005;0;0.08
2017-08-05 12:00:00;N;L;4;6;36;39;270;9.4;102.0;90;2;12.17;24;0;21.600000000000005;0;0.07
2017-08-06 12:00:00;N;L;9;10;37;30;315;9.4;102.0;0;6;11.0;24;0;22.2;0;0.08
2017-08-07 12:00:00;N;L;9;8;41;57;0;9.4;102.0;0;6;10.46;24;0;23.100000000000005;0;0.09
2017-08-08 12:00:00;N;L;8;20;45;17;22;9.4;102.0;337;6;11.33;24;0;22.7;0;0.08
2017-08-09 12:00:00;N;L;4;15;49;22;45;9.4;102.0;315;6;11.63;24;0;22.55;0;0.08
2017-08-10 12:00:00;N;L;1;8;51;48;45;9.4;106.0;0;6;11.38;24;0;24.5;0;0.09
2017-08-10 15:00:00;A;L;2;22;51;37;90;9.4;110.0;0;6;12.33;3;0;28.8;0;0.1
2017-08-16 12:00:00;N;B;0;23;50;45;247;6.35;100.0;225;3;13.13;11;30;18.886956521739133;1.3;0.06
2017-08-17 12:00:00;N;B;6;58;47;33;202;6.35;100.0;225;5;11.71;24;0;18.4;1.3;0.07
2017-08-18 12:00:00;N;B;9;41;43;55;202;6.35;100.0;225;4;12.17;24;0;21.0;1.3;0.07
2017-08-19 12:00:00;N;B;10;32;38;9;157;6.35;100.0;0;5;13.04;24;0;19.85;1.3;0.06
2017-08-20 12:00:00;N;B;6;54;35;5;90;6.35;101.0;45;6;12.21;24;0;20.75;1.3;0.07
2017-08-21 10:42:00;A;B;0;35;37;59;45;6.35;100.0;90;4;12.38;22;42;20.77533039647577;1.3;0.07
2017-08-28 12:00:00;N;L;1;38;37;42;67;9.6;105.0;45;3;12.48;10;30;24.0;0;0.08
2017-08-29 12:00:00;N;L;7;24;38;41;90;9.6;102.0;0;3;12.04;24;0;22.0;0;0.08
2017-08-30 12:00:00;N;L;13;3;37;33;135;9.6;105.0;90;3;12.25;24;0;24.0;0;0.08
2017-08-31 12:00:00;N;L;17;15;39;52;45;9.6;105.0;0;2;12.13;24;0;24.0;0;0.08
2017-09-01 12:00:00;N;L;15;55;42;25;315;9.6;105.0;45;3;12.04;24;0;23.899999999999995;0;0.08
2017-09-02 04:12:00;A;L;12;15;45;36;315;9.6;105.0;90;3;11.91;16;12;23.777777777777782;0;0.08
2017-09-10 12:00:00;N;B;16;13;42;9;135;6.35;105.0;135;5;12.54;20;30;23.70731707317073;1.3;0.08
2017-09-11 12:00:00;N;B;17;40;38;7;225;6.35;105.0;135;8;11.96;24;0;25.399999999999995;1.3;0.09
2017-09-11 21:36:00;A;B;15;10;37;20;202;6.35;110.0;225;4;12.71;9;36;27.250000000000004;1.3;0.09
2017-09-16 04:30:00;A;L;15;3;38;36;22;10;100.0;225;2;13.4;4;42;21.19148936170213;0;0.07
2017-09-16 12:00:00;N;L;14;16;39;59;315;10;100.0;315;3;12.41;5;48;20.89655172413793;0;0.07
2017-09-17 05:30:00;A;L;12;42;41;4;315;10;100.0;315;5;12.29;17;30;21.39428571428571;0;0.07
2017-10-04 12:00:00;N;B;10;55;38;9;292;6.35;101.0;45;4;12.8;19;18;21.761658031088082;1.3;0.07
2017-10-04 15:30:00;A;B;9;5;39;5;292;6.35;101.0;90;4;14.29;3;30;21.599999999999998;1.3;0.06
2017-10-07 12:00:00;N;L;11;22;40;24;315;9.95;105.0;315;7;11.37;19;0;25.831578947368417;0;0.09
2017-10-08 08:48:00;A;L;9;0;44;54;315;9.95;105.0;270;6;11.97;20;48;24.692307692307686;0;0.09
2017-10-10 12:00:00;N;L;10;6;42;49;90;8.35;105.0;135;3;13.28;11;36;23.896551724137936;0;0.08
2017-10-10 15:00:00;A;L;11;3;42;40;90;8.35;110.0;225;2;14.33;3;0;27.2;0;0.08
2017-10-12 02:12:00;A;B;11;0;42;25;0;6.35;101.0;225;2;14.29;0;42;20.57142857142857;1.3;0.06
2017-10-17 12:00:00;N;B;7;31;38;53;247;6.35;101.0;135;4;12.52;21;0;21.142857142857142;1.3;0.07
2017-10-18 12:00:00;N;B;1;41;37;28;247;6.35;101.0;135;4;12.92;24;0;20.1;1.3;0.06
2017-10-18 22:48:00;A;B;1;33;37;5;292;6.35;102.0;247;5;11.48;10;48;22.0;1.3;0.08
2017-10-23 12:00:00;N;L;2;43;37;50;67;8.8;105.0;45;6;12.32;15;30;24.23225806451613;0;0.08
2017-10-24 12:00:00;N;L;9;3;38;11;90;8.8;110.0;315;6;12.71;24;0;28.5;0;0.09
2017-10-25 12:00:00;N;L;15;40;36;16;45;8.8;110.0;45;5;13.08;24;0;26.0;0;0.08
2017-10-26 12:00:00;N;L;18;22;40;30;315;8.8;110.0;315;6;11.75;24;0;28.45;0;0.1
2017-10-27 12:00:00;N;L;13;5;44;39;315;8.8;110.0;315;4;13.0;24;0;27.0;0;0.09
2017-10-27 19:18:00;A;L;12;14;46;38;315;8.9;110.0;45;3;13.15;7;18;27.287671232876715;0;0.09
2017-10-30 12:00:00;N;L;16;11;42;13;135;7.35;110.0;112;5;13.44;19;30;27.753846153846155;0;0.09
2017-10-31 12:00:00;N;L;16;5;38;21;225;7.35;109.0;45;4;13.67;24;0;26.0;0;0.08
2017-10-31 17:48:00;A;L;15;13;37;13;270;7.35;109.0;45;5;13.79;5;48;26.068965517241377;0;0.08
2017-11-02 02:30:00;A;B;15;12;37;33;90;6.35;85.0;45;2;12.0;1;0;15.600000000000001;1.3;0.05
2017-11-04 00:06:00;A;B;15;13;37;13;270;6.35;85.0;45;2;9.52;2;6;14.285714285714285;1.3;0.06
2017-11-07 02:00:00;A;L;0;0;0;0;270;9.25;102.0;45;2;12.47;8;30;22.58823529411765;0;0.08
2017-11-08 14:00:00;A;B;14;50;35;36;0;6.35;85.0;315;4;10.0;0;30;9.600000000000001;1.3;0.04
2017-11-09 12:00:00;N;B;16;5;36;43;90;6.45;100.0;45;3;13.25;8;0;24.0;1.3;0.08
2017-11-10 12:00:00;N;B;22;18;36;38;90;6.45;102.0;45;3;12.52;23;0;21.91304347826087;1.3;0.07
