TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE
2019-07-31 12:00:00;N;B;32;33;43;30;90;6.55;105.0;315;3;12.52;15;30;20.980645161290326;1.3;0.07
2019-08-01 00:06:00;A;B;36;53;43;2;90;6.55;105.0;315;4;12.81;12;6;14.975206611570247;1.3;0.05
2019-08-01 12:00:00;N;B;37;16;44;9;67;6.55;105.0;315;4;10.0;4;30;18.133333333333333;1.3;0.08
2019-08-01 14:00:00;A;B;37;42;44;49;67;6.55;105.0;315;4;12.0;2;0;19.200000000000003;1.3;0.07
2019-08-07 12:00:00;N;L;37;37;44;47;225;9.4;105.0;315;3;12.5;0;12;24.000000000000004;0;0.08
2019-08-08 12:00:00;N;L;30;57;43;45;270;9.4;105.0;135;4;13.13;24;0;22.0;0;0.07
2019-08-08 19:00:00;A;L;28;12;44;40;315;9.4;105.0;135;4;12.43;7;0;22.285714285714285;0;0.07
2019-08-10 18:06:00;A;B;28;12;44;40;90;6.55;102.0;135;3;10.0;0;6;19.2;1.3;0.08
2019-08-15 12:00:00;N;B;34;4;44;44;90;6.55;105.0;45;3;12.8;20;0;18.0;1.3;0.06
2019-08-15 22:00:00;A;B;37;23;44;38;90;6.55;105.0;315;3;12.9;10;0;18.96;1.3;0.06
2019-08-19 12:00:00;N;L;33;59;42;31;247;9.4;105.0;315;3;12.29;17;0;22.023529411764706;0;0.07
2019-08-20 06:48:00;A;L;29;8;41;4;0;9.4;105.0;45;3;11.91;18;48;17.999999999999996;0;0.06
2019-08-22 09:42:00;A;L;26;12;40;25;225;9.4;105.0;45;3;11.39;7;12;18.666666666666664;0;0.07
2019-08-24 12:00:00;N;L;26;55;38;6;135;9.4;105.0;270;4;12.14;7;0;19.885714285714283;0;0.07
2019-08-24 12:18:00;A;L;26;54;38;9;135;9.4;105.0;270;4;10.0;0;18;17.6;0;0.07
2019-09-02 12:00:00;N;L;27;50;35;38;135;9.4;105.0;270;4;12.0;19;30;18.953846153846154;0;0.07
2019-09-03 12:00:00;N;L;32;20;34;34;112;9.4;105.0;225;3;11.25;24;0;16.0;0;0.06
2019-09-04 00:00:00;A;L;35;34;33;11;90;9.4;105.0;315;3;11.0;12;0;19.0;0;0.07
2019-09-14 10:30:00;A;L;35;32;34;42;90;7.7;105.0;270;3;12.83;5;18;22.188679245283023;0;0.07
2019-09-15 00:48:00;A;B;35;30;34;54;270;6.5;85.0;270;3;5.0;0;6;4.8;1.2;0.04
2019-09-21 12:00:00;N;B;31;30;34;55;270;6.5;102.0;270;4;12.58;15;30;19.9741935483871;1.2;0.07
2019-09-22 12:00:00;N;B;26;37;35;8;315;6.5;102.0;315;5;12.33;24;0;19.0;1.2;0.06
2019-09-23 02:42:00;A;B;23;45;37;43;337;6.5;102.0;45;3;12.52;14;42;19.42857142857143;1.2;0.06
2019-09-25 11:24:00;A;B;23;58;37;34;45;6.125;85.0;135;2;6.25;0;48;8.1;0.85;0.05
2019-10-21 09:00:00;A;B;26;12;40;25;45;6.15;102.0;45;5;12.26;15;30;17.341935483870966;0.7;0.06
2019-10-22 08:42:00;A;B;29;8;41;4;112;6.15;102.0;67;4;12.35;8;6;20.444444444444446;0.7;0.07
2019-10-23 12:00:00;N;B;32;45;42;11;0;6.29;102.0;45;4;12.73;13;12;20.0;0.7;0.07
2019-10-24 09:12:00;A;B;37;31;44;48;45;6.29;102.0;45;3;12.64;21;12;20.150943396226417;0.7;0.07
2019-10-27 12:00:00;N;L;37;35;44;46;225;10.6;105.0;202;3;12.0;0;6;19.2;0;0.07
2019-10-28 12:00:00;N;L;31;21;42;47;202;10.57;102.0;90;5;12.29;24;0;21.0;0;0.07
2019-10-28 22:06:00;A;L;29;27;41;22;202;10.6;105.0;45;3;12.38;10;6;21.148514851485153;0;0.07
2019-10-29 12:00:00;N;L;27;58;40;50;270;10.6;102.0;90;3;12.05;4;24;20.454545454545453;0;0.07
2019-10-29 12:30:00;A;L;26;12;40;25;270;10.6;102.0;90;3;12.0;0;30;21.6;0;0.08
2019-10-30 12:00:00;N;L;23;6;40;2;315;10.47;102.0;315;3;12.6;12;42;20.598425196850396;0;0.07
2019-10-30 14:36:00;A;L;22;31;40;49;45;10.47;102.0;180;3;11.54;2;36;20.76923076923077;0;0.08
2019-11-07 05:42:00;A;L;24;55;40;24;22;7.5;102.0;45;2;12.54;12;12;20.459016393442624;0;0.07
2019-11-09 12:00:00;N;B;24;35;40;24;180;6.5;102.0;135;2;12.94;1;42;19.76470588235294;1.4;0.06
2019-11-10 07:36:00;A;B;23;54;37;5;270;6.5;102.0;45;3;12.45;19;36;19.40816326530612;1.4;0.06
