TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD
2009-11-21 12:00:00;N;L;15;57;35;46;247;8.9;118.0;45;2;0.0;25;0;30.086399999999998;0;0;1;45;1;45
2009-11-21 15:00:00;A;L;0;0;0;0;247;8.9;118.0;45;2;0.0;4;0;21.299999999999997;0;0;1;45;1;45
2009-10-19 12:00:00;N;B;13;26;28;15;22;6.8;105.0;0;4;12.33;24;0;21.899999999999995;2;0;3;0;3;0
2009-10-20 12:00:00;N;B;10;21;32;8;45;6.8;105.6;337;3;12.43;23;0;21.86086956521739;2;0;2;337;2;0
2009-12-01 18:30:00;A;B;34;47;36;37;0;8.3;118.0;0;0;0.0;5;30;0.0;0;0;0;0;0;0
2009-06-26 12:00:00;N;;118;35;23;2;225;6.53;118.07;202;3;14.7;25;0;32.256;1.7;0;2;202;2;202
2009-07-21 12:00:00;N;L;60;20;13;19;288;0;0.0;225;9;9.96;53;0;15.812830188679246;0;0;8;225;0;0
2009-07-22 12:00:00;N;L;56;26;14;36;286;0;0.0;225;9;9.45;24;0;34.38;0;0;8;225;0;0
2009-06-27 12:00:00;N;;115;10;19;18;202;6.53;118.06;225;7;12.75;24;0;33.2;1.7;0;6;225;6;225
2009-06-28 12:00:00;N;;112;9;14;40;225;6.53;118.06;157;4;13.96;24;0;32.05;1.7;0;3;157;3;157
2009-07-12 12:00:00;N;;102;51;5;3;270;11.2;118.0;112;3;13.82;17;48;32.359550561797754;0;0;2;157;2;157
2009-07-13 12:00:00;N;;96;0;4;58;292;11.2;118.0;135;3;14.17;24;0;32.5;0;0;2;112;2;112
2009-09-05 12:00:00;N;L;12;34;37;18;202;10.6;118.1;0;5;14.13;24;0;31.45;0;0;4;0;4;0
2009-09-06 12:00:00;N;L;13;26;32;50;202;10.6;118.1;22;6;14.41;22;0;32.72727272727273;0;0;5;22;5;22
2009-11-04 12:00:00;N;B;12;58;32;44;22;6.7;118.0;0;2;14.0;0;30;2.4000000000000004;2.2;0;1;0;1;0
2009-09-01 00:30:00;A;B;4;22;52;54;180;10.86;118.0;247;7;14.4;12;30;30.72;0;0;6;247;6;247
2009-12-04 12:00:00;N;L;28;40;35;26;270;6.5;118.0;247;6;0.0;22;30;28.78933333333333;1.6;0;5;247;5;247
2009-12-05 09:24:00;A;B;26;12;40;25;0;6.5;118.0;0;0;0.0;21;24;29.899065420560753;1.6;0;0;0;0;0
2009-11-26 12:00:00;N;L;18;16;35;35;90;8.8;118.0;67;2;0.0;13;54;23.482014388489205;0;0;2;67;1;67
2009-12-06 12:00:00;N;B;27;45;40;59;22;6.5;118.0;22;6;0.0;4;36;27.02608695652174;1.6;0;5;22;5;22
2009-10-29 12:00:00;N;L;13;27;33;6;225;10.865;118.0;315;3;12.44;13;30;26.13333333333333;0.01;0;2;315;2;315
