TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
2006-08-23 12:00:00;N;;61;39;29;27;90;10.2;120.0;112;3;0.0;24;0;0
2006-08-24 12:00:00;N;;55;23;30;5;90;10.2;119.7;270;3;0.0;23;0;0
2006-08-25 12:00:00;N;;0;0;0;0;90;10.2;119.7;270;3;0.0;24;0;0
2006-08-26 12:00:00;N;;41;54;31;53;0;10.2;120.0;0;0;0.0;23;0;0
2006-01-21 12:00:00;N;;7;59;37;37;292;6.875;117.5;135;5;15.57;24;0;0
2006-01-22 12:00:00;N;;1;33;39;15;292;7;105.0;315;6;13.0;24;0;0
2006-08-25 12:00:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
2006-08-26 12:00:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
2006-07-09 12:00:00;N;;92;12;28;52;225;9.83;119.6;135;3;0.0;24;0;0
2006-08-27 12:00:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
2006-08-28 12:00:00;N;;0;0;0;0;0;10;0.0;0;0;0.0;0;0;0
2006-08-29 01:42:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
2006-07-15 12:00:00;N;;91;41;26;4;135;6.9;115.1;0;3;0.0;16;30;0
2006-10-09 12:00:00;N;;117;16;10;54;225;6.83;116.5;225;4;0.0;24;0;0
2006-10-09 12:00:00;N;;75;48;46;45;225;10;115.5;225;5;0.0;24;0;0
2006-09-12 12:00:00;N;;5;21;42;18;180;6.85;99.4;90;3;0.0;4;30;0
2006-10-10 12:00:00;N;;74;26;51;4;337;10;116.0;337;3;0.0;24;0;0
2007-06-30 12:00:00;N;;41;22;1;59;90;6.95;117.5;90;4;13.92;24;0;0
2007-07-01 12:00:00;N;;34;29;66;26;315;6.75;120.1;0;2;0.0;24;0;0
2007-07-01 12:00:00;N;;37;27;3;31;90;6.95;117.2;90;6;12.71;24;0;0
2007-06-30 12:00:00;N;;35;11;26;8;315;10.55;119.7;315;5;14.2;24;0;0
2007-07-02 12:00:00;N;;30;21;32;1;292;10.755;119.7;315;4;14.0;9;30;0
2007-07-02 12:00:00;N;;34;17;7;35;90;6.95;115.8;90;6;13.54;24;0;0
2007-07-03 12:00:00;N;;37;10;12;29;135;6.95;117.4;135;4;14.67;24;0;0
2007-06-30 12:00:00;N;;55;6;35;26;270;9.85;115.3;315;4;15.3;24;0;0
2007-07-01 12:00:00;N;;54;10;34;54;;9.85;0.0;270;2;15.7;20;42;0
2006-08-25 12:00:00;N;;28;8;33;2;287;10.9;116.9;0;5;13.89;18;30;0
2006-08-26 12:00:00;N;;21;57;34;14;287;10.85;118.2;0;4;14.08;25;0;0
2006-09-22 12:00:00;N;;21;42;14;36;225;9.8;120.0;22;4;0.0;25;0;0
2006-09-23 12:00:00;N;;24;31;9;23;225;9.8;120.2;22;4;0.0;24;0;0
2006-09-24 12:00:00;N;;27;8;4;14;225;9.8;120.0;45;4;0.0;25;0;0
2006-09-25 12:00:00;N;;29;39;0;50;225;9.8;119.8;0;5;0.0;24;0;0
2006-10-23 12:00:00;N;;0;0;0;0;270;10.75;119.8;225;3;14.45;24;0;0
2006-10-24 12:00:00;N;;85;51;5;15;270;10.91;119.7;315;4;13.7;25;0;0
2006-10-25 12:00:00;N;;79;46;5;58;315;10.785;119.8;0;5;13.42;24;0;0
2006-10-26 12:00:00;N;;74;23;7;36;315;10.81;119.9;45;4;14.0;24;0;0
2006-01-28 12:00:00;N;;1;9;37;14;225;9.8;111.0;315;6;14.04;14;15;0
2006-05-09 12:00:00;N;;81;22;30;37;0;9;0.0;0;0;0.0;0;0;0
2006-05-09 12:00:00;N;;46;54;12;25;45;10.125;118.0;180;2;15.68;23;0;0
2006-05-10 12:00:00;N;;51;57;14;40;67;10.1;119.0;135;4;15.76;24;0;0
2006-05-11 12:00:00;N;;57;29;17;0;45;10.1;119.0;225;3;15.78;24;0;0
2006-09-13 12:00:00;N;;7;45;37;39;180;6.85;104.1;90;5;0.0;25;0;0
2006-10-11 12:00:00;N;;70;13;53;52;45;10;119.3;45;3;0.0;18;24;0
2006-09-14 12:00:00;N;;7;0;38;59;225;6.85;82.7;135;5;0.0;5;30;0
2006-10-12 12:00:00;N;;66;1;51;14;45;10;113.0;45;6;0.0;18;30;0
2006-10-13 13:00:00;N;;61;37;46;48;0;10;118.9;0;5;0.0;24;0;0
2006-10-14 12:00:00;N;;57;41;41;15;0;10;118.0;0;8;0.0;24;0;0
2006-10-15 12:00:00;N;;53;20;37;30;0;10;114.8;0;8;0.0;24;0;0
2006-03-04 12:00:00;N;;25;47;37;48;337;7;119.0;45;1;15.8;15;45;0
2006-03-08 12:00:00;N;;31;5;42;13;45;7.15;115.0;22;8;14.6;8;45;0
2006-03-09 12:00:00;N;;38;0;42;1;90;7.15;117.5;45;6;15.57;23;0;0
2006-03-02 12:00:00;N;;9;16;44;11;270;7.5;110.1;270;6;13.93;25;0;0
2020-01-30 12:00:00;N;B;26;43;36;31;292;6.65;109.3;270;6;12.65;23;0;21.5
2007-03-24 12:00:00;N;;0;0;0;0;315;10.2;116.3;315;5;14.0;3;0;0
2007-03-25 12:00:00;N;;4;38;49;21;0;10.2;119.7;45;5;14.08;25;0;0
2007-03-26 12:00:00;N;;12;44;47;0;0;10.2;119.7;315;6;13.54;24;0;0
2007-03-30 12:00:00;N;;37;30;40;46;225;10.2;118.1;247;7;11.79;24;0;0
2007-03-30 12:00:00;N;;58;45;38;25;90;7.1;116.9;90;4;15.76;21;0;0
2007-03-31 12:00:00;N;;44;11;40;16;225;10.2;119.7;270;7;12.2;25;0;0
2007-04-01 12:00:00;N;;50;14;40;38;292;10.2;119.7;292;7;12.21;24;0;0
2006-10-27 12:00:00;N;;69;3;9;7;315;10.775;119.8;45;5;13.9;25;0;0
2006-10-28 12:00:00;N;;63;43;10;25;315;10.855;119.8;0;5;14.2;25;0;0
2006-10-29 12:00:00;N;;58;17;12;2;315;10.84;119.8;0;5;13.9;24;0;0
2006-04-06 12:00:00;N;;3;20;6;22;0;7.18;0.0;0;0;0.0;0;0;0
2006-04-07 12:00:00;N;;3;27;6;22;0;7.18;0.0;0;0;0.0;0;0;0
2006-04-08 08:00:00;N;;3;27;6;22;0;0;0.0;0;0;0.0;0;0;0
2006-04-09 12:00:00;N;;3;27;6;22;0;7.15;0.0;0;0;0.0;0;0;0
2006-04-10 12:00:00;N;;3;27;6;22;0;652;0.0;0;0;0.0;0;0;0
2006-04-11 12:00:00;N;;0;8;4;44;202;6.925;117.0;202;3;0.0;20;30;0
2006-05-12 12:00:00;N;;60;23;22;15;0;10.075;119.0;225;4;15.78;24;0;0
2006-05-13 12:00:00;N;;57;12;25;23;337;10.075;119.0;0;3;15.63;20;0;0
2006-05-14 12:00:00;N;;52;55;26;22;315;10.075;118.0;315;7;15.63;24;30;0
2006-10-22 12:00:00;N;;50;6;33;2;180;0;106.0;45;5;0.0;15;30;0
2006-10-23 12:00:00;N;;53;47;35;15;270;5.5;105.0;45;4;0.0;24;0;0
2006-10-25 12:00:00;N;;59;41;33;28;0;5.46;115.0;135;2;0.0;22;30;0
2006-08-28 12:00:00;N;;28;25;33;34;90;10.2;119.9;90;3;0.0;23;0;0
2006-08-29 12:00:00;N;;21;11;34;41;90;10;119.8;90;3;0.0;24;0;0
2006-03-03 12:00:00;N;;9;16;44;11;202;7.5;110.1;202;7;11.96;24;0;0
2006-03-09 12:00:00;N;;4;3;9;15;247;9.8;113.8;247;8;11.85;13;0;0
2006-03-10 12:00:00;N;;7;3;47;3;292;9.8;104.0;292;8;8.17;24;0;0
2006-03-11 12:00:00;N;;11;9;44;26;270;9.8;110.2;270;6;10.33;24;0;0
2006-06-08 12:00:00;N;;64;14;10;36;0;10.4;0.0;0;0;0.0;0;0;0
2006-06-08 14:30:00;N;;64;17;10;42;0;10.42;0.0;0;0;0.0;0;0;0
2006-06-09 12:00:00;N;;51;10;27;16;292;7;118.0;0;0;15.63;15;30;0
2006-06-09 12:00:00;N;;69;32;12;6;90;10.42;116.8;90;4;14.3;21;30;0
2006-12-08 12:00:00;N;;68;19;11;14;315;9.65;120.0;135;4;0.0;4;0;0
2006-12-09 12:00:00;N;;69;16;14;29;0;9.65;120.0;0;5;0.0;10;0;0
2006-12-12 12:00:00;N;;76;42;16;17;270;8.25;120.0;45;4;0.0;25;0;0
2006-12-13 12:00:00;N;;82;10;17;35;270;8.25;120.0;45;4;0.0;24;0;0
2006-12-14 12:00:00;N;;0;0;0;0;0;8.25;120.0;0;0;0.0;25;0;0
2006-04-13 12:00:00;N;;25;53;39;46;337;6.775;118.0;315;2;15.63;17;0;0
2006-06-26 12:00:00;N;;71;46;32;33;0;8.62;0.0;0;0;0.0;0;0;0
2006-09-26 12:00:00;N;;32;5;5;28;225;9.8;119.8;202;6;0.0;24;0;0
2006-06-27 12:00:00;N;;71;46;32;33;0;7.07;0.0;0;0;0.0;0;0;0
2006-06-28 00:48:00;N;;71;45;32;31;0;7.1;0.0;0;0;0.0;1;5;0
2006-09-27 12:00:00;N;;35;49;9;28;225;9.8;119.8;225;6;0.0;25;0;0
2006-06-30 12:00:00;N;;75;33;45;5;270;7.1;116.5;270;4;0.0;24;0;0
2006-09-24 12:00:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
2006-09-25 12:00:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
2006-09-28 12:00:00;N;;75;47;15;16;135;6.9;119.2;135;4;0.0;24;0;0
2006-09-25 12:00:00;N;;23;15;33;37;292;9.7;118.0;22;3;15.63;23;0;0
2006-09-26 12:00:00;N;;17;23;35;11;292;9.7;118.1;337;6;15.65;24;0;0
2006-09-26 17:30:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
2006-09-26 18:00:00;N;;82;24;6;4;135;6.9;117.1;135;4;0.0;18;30;0
2006-09-27 12:00:00;N;;79;25;11;5;135;0;119.2;135;5;0.0;23;0;0
2006-09-27 12:00:00;N;;11;24;37;44;289;9.7;118.0;315;7;15.63;24;0;0
2006-08-27 12:00:00;N;;35;40;32;8;90;10.2;119.8;90;3;0.0;24;0;0
2006-02-01 12:00:00;N;;2;20;36;40;90;6.5;115.0;90;3;15.2;8;40;0
2006-02-02 12:00:00;N;;4;7;37;35;90;7;115.0;135;3;15.2;24;0;0
2006-06-10 12:00:00;N;;74;45;11;45;67;10.42;116.0;90;4;14.0;25;0;0
2006-06-11 12:00:00;N;;51;1;27;55;112;10.8;118.0;0;0;15.63;8;0;0
2006-07-16 12:00:00;N;;86;20;23;38;135;6.9;118.9;45;3;0.0;24;0;0
2006-07-17 12:00:00;N;;82;11;19;13;135;5.225;120.2;45;3;0.0;24;0;0
2006-08-29 12:00:00;N;;95;22;19;13;0;8.7;115.2;0;0;0.0;10;18;0
2006-07-11 12:02:00;N;;58;10;19;28;202;10.45;117.5;225;7;15.57;24;0;0
2007-06-18 12:00:00;N;;58;20;34;29;;6.7;105.0;135;3;161.8;13;42;0
2007-06-19 12:00:00;N;;56;10;37;15;216;6.7;116.0;0;2;15.4;24;0;0
2007-06-25 12:00:00;N;;58;10;3;27;;6.95;0.0;;0;0.0;0;0;0
2007-06-26 12:00:00;N;;50;59;12;3;270;10.655;118.1;247;8;12.7;24;0;0
2007-06-26 12:00:00;N;;4;47;59;6;315;6.75;105.7;0;7;12.39;23;0;0
2007-06-26 12:00:00;N;;58;10;3;27;;6.95;0.0;;0;0.0;0;0;0
2007-06-26 12:00:00;N;;65;30;47;15;21;6.6;115.9;0;5;15.4;17;42;0
2007-06-27 12:00:00;N;;5;16;63;55;45;6.75;100.1;0;6;9.38;24;0;0
2006-07-01 12:00:00;N;;74;40;50;40;135;7.1;0.0;135;4;0.0;0;0;0
2006-08-27 12:00:00;N;;14;38;36;37;287;10.75;74.0;0;5;15.61;24;0;0
2006-08-28 12:00:00;N;;10;29;40;46;341;10.75;117.8;0;4;15.65;24;0;0
2006-09-02 12:00:00;N;;5;40;42;32;0;8.4;116.5;315;3;15.43;12;0;0
2006-09-03 12:00:00;N;;4;17;43;59;166;8.4;80.0;225;3;10.59;0;30;0
2006-09-05 12:00:00;N;;5;32;41;36;157;6.85;117.9;135;4;15.62;8;30;0
2006-09-06 12:00:00;N;;11;47;34;39;113;6.85;119.9;90;4;15.88;24;0;0
2006-09-07 12:00:00;N;;18;24;36;44;92;6.85;120.2;270;4;15.91;23;0;0
2006-02-03 12:00:00;N;;11;3;37;32;112;7;115.5;135;3;15.3;23;0;0
2006-02-04 12:00:00;N;;18;20;36;52;90;7;115.7;135;3;15.3;24;0;0
2006-02-07 12:00:00;N;;25;6;39;22;22;6.5;107.5;45;9;0.0;14;0;0
2006-02-05 12:00:00;N;;32;18;42;29;180;0;118.8;202;3;14.76;21;18;0
2006-02-06 12:00:00;N;;28;17;41;59;202;95;118.8;202;3;14.69;0;0;0
