stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon,wsWS,sovg,currSpeed,currDir
10.97,12.5,39.07,3.91,175.1,0.0,183.9,2019-12-20 08:00:00,29.870517,-89.976833,4.48,14.4,0.0,176.1
11.7,12.5,32.65,3.91,175.0,0.0,184.0,2019-12-20 08:01:00,29.866633,-89.977317,4.48,15.0,0.0,176.0
12.22,12.5,32.62,4.42,175.9,0.0,184.1,2019-12-20 08:02:00,29.862517,-89.97785,4.48,15.6,0.0,175.9
12.57,12.5,41.0,4.22,161.0,0.0,193.0,2019-12-20 08:03:00,29.858217,-89.978267,4.48,15.4,0.0,167.0
12.21,12.5,32.62,4.12,152.2,0.0,207.8,2019-12-20 08:04:00,29.853917,-89.979,4.48,14.8,0.0,152.2
11.51,12.5,32.65,4.22,156.6,0.0,214.4,2019-12-20 08:05:00,29.849967,-89.980533,4.48,14.2,0.0,145.6
11.28,12.5,33.6,4.17,156.0,0.0,214.0,2019-12-20 08:06:00,29.8465,-89.982917,4.48,14.1,0.0,146.0
11.47,12.5,33.6,4.12,160.2,0.0,213.8,2019-12-20 08:07:00,29.84325,-89.98535,4.48,14.1,0.0,146.2
11.42,12.5,33.6,3.91,158.3,0.0,213.7,2019-12-20 08:08:00,29.840033,-89.987883,4.48,14.0,0.0,146.3
11.26,12.5,33.6,3.81,160.2,0.0,213.8,2019-12-20 08:09:00,29.8368,-89.99045,4.48,14.1,0.0,146.2
11.29,12.5,33.6,3.7,161.4,0.0,213.6,2019-12-20 08:10:00,29.833567,-89.99306700000002,4.48,14.1,0.0,146.4
11.46,12.5,33.6,3.55,165.0,0.0,210.0,2019-12-20 08:11:00,29.830317,-89.995667,4.48,14.1,0.0,150.0
11.33,12.5,33.6,3.29,167.8,0.0,202.2,2019-12-20 08:12:00,29.827,-89.998133,4.48,13.9,0.0,157.8
11.05,12.5,34.33,3.24,168.8,0.0,195.2,2019-12-20 08:13:00,29.823617,-90.0002,4.48,13.7,0.0,164.8
10.86,12.5,39.07,3.24,168.1,0.0,189.9,2019-12-20 08:14:00,29.820033,-90.0018,4.48,13.6,0.0,170.1
10.8,12.5,39.07,2.88,159.2,0.0,189.8,2019-12-20 08:15:00,29.81635,-90.002883,4.48,13.7,0.0,170.2
10.86,12.5,39.07,2.73,154.7,0.0,190.3,2019-12-20 08:16:00,29.8126,-90.003783,4.48,13.8,0.0,169.7
11.21,12.5,34.33,3.19,146.7,0.0,194.3,2019-12-20 08:17:00,29.808817,-90.00455,4.48,14.6,0.0,165.7
11.71,12.5,32.65,3.09,146.1,0.0,200.9,2019-12-20 08:18:00,29.80485,-90.00545,4.48,15.2,0.0,159.1
12.04,12.5,32.62,3.6,137.8,0.0,210.2,2019-12-20 08:19:00,29.800933,-90.006867,4.48,15.5,0.0,149.8
12.71,12.5,39.32,4.06,150.8,0.0,210.2,2019-12-20 08:20:00,29.797017,-90.0089,4.48,15.9,0.0,149.8
13.08,12.5,38.06,3.81,153.0,0.0,210.0,2019-12-20 08:21:00,29.79315,-90.0113,4.48,16.2,0.0,150.0
13.48,12.5,40.43,3.96,152.1,0.0,209.9,2019-12-20 08:22:00,29.789217,-90.01383299999998,4.48,16.5,0.0,150.1
13.75,12.5,41.75,4.06,151.2,0.0,209.8,2019-12-20 08:23:00,29.785217,-90.01643299999998,4.48,16.7,0.0,150.2
13.83,12.5,44.33,4.01,150.3,0.0,209.7,2019-12-20 08:24:00,29.78125,-90.01899999999998,4.48,16.8,0.0,150.3
14.15,12.5,49.0,3.96,158.8,0.0,203.2,2019-12-20 08:25:00,29.777183,-90.021633,4.48,16.8,0.0,156.8
14.14,12.5,48.89,3.6,172.3,0.0,188.7,2019-12-20 08:26:00,29.773033,-90.0241,4.48,16.4,0.0,171.3
13.45,12.5,41.0,4.42,175.4,0.0,174.6,2019-12-20 08:27:00,29.7686,-90.0256,4.48,15.9,0.0,185.4
13.3,12.5,40.43,4.48,167.9,0.0,170.1,2019-12-20 08:28:00,29.76415,-90.025817,4.48,15.9,0.0,189.9
13.27,12.5,40.43,4.78,180.6,0.0,161.4,2019-12-20 08:29:00,29.759733,-90.025317,4.48,15.9,0.0,198.6
13.08,12.5,38.06,4.42,186.9,0.0,147.1,2019-12-20 08:30:00,29.755433,-90.024333,4.48,15.6,0.0,212.9
12.28,12.5,35.71,6.07,193.5,0.0,131.5,2019-12-20 08:31:00,29.751417,-90.022367,4.48,14.9,0.0,228.5
11.75,12.5,32.64,7.1,193.3,0.0,127.7,2019-12-20 08:32:00,29.74813300000001,-90.01933299999996,4.48,15.1,0.0,232.3
12.01,12.5,32.25,7.61,211.3,0.0,126.7,2019-12-20 08:33:00,29.745333,-90.01576700000004,4.48,15.5,0.0,233.3
12.65,12.5,40.19,7.67,190.3,0.0,126.7,2019-12-20 08:34:00,29.742567,-90.011933,4.48,15.9,0.0,233.3
13.08,12.5,40.2,7.1,189.0,0.0,127.0,2019-12-20 08:35:00,29.739817,-90.007917,4.48,16.2,0.0,233.0
