stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon,wsWS,sovg,currSpeed,currDir
20.71,10.3,112.54,5.81,279.0,0.89,28.0,2019-11-04 02:00:00,3.20465,105.341167,1.45,21.6,0.69,104.71
20.77,10.3,112.54,6.07,283.7,0.89,28.3,2019-11-04 02:01:00,3.209883,105.344167,1.45,21.6,0.69,104.41
20.71,10.3,112.54,3.91,293.0,0.89,28.0,2019-11-04 02:02:00,3.215133,105.347167,1.45,21.6,0.69,104.71
20.68,10.3,112.54,5.86,292.2,0.89,27.8,2019-11-04 02:03:00,3.220383,105.35,1.45,21.6,0.69,104.91
20.66,10.3,112.54,6.17,295.1,0.89,27.9,2019-11-04 02:04:00,3.225567,105.352833,1.45,21.6,0.69,104.81
20.73,10.3,112.54,5.04,302.0,0.89,28.0,2019-11-04 02:05:00,3.230817,105.355833,1.45,21.6,0.69,104.71
20.73,10.3,112.54,7.15,294.2,0.89,27.8,2019-11-04 02:06:00,3.2360830000000003,105.358833,1.45,21.6,0.69,104.91
20.8,10.3,112.54,6.69,287.1,0.89,27.9,2019-11-04 02:07:00,3.24135,105.361833,1.45,21.6,0.69,104.81
20.72,10.3,112.54,5.5,288.1,0.89,27.9,2019-11-04 02:08:00,3.2466,105.364667,1.45,21.6,0.69,104.81
20.68,10.3,112.54,7.2,289.1,0.89,27.9,2019-11-04 02:09:00,3.251783,105.367667,1.45,21.6,0.69,104.81
20.67,10.3,112.54,7.2,292.0,0.89,28.0,2019-11-04 02:10:00,3.257067,105.370667,1.45,21.6,0.69,104.71
20.71,10.3,112.54,6.79,303.0,0.89,28.0,2019-11-04 02:11:00,3.26235,105.3735,1.45,21.6,0.69,104.71
20.7,10.3,123.0,7.67,293.0,0.89,28.0,2019-11-04 02:12:00,3.267567,105.3765,1.45,21.6,0.69,104.71
20.69,10.3,112.54,6.53,290.0,0.89,28.0,2019-11-04 02:13:00,3.2728330000000003,105.379333,1.45,21.6,0.69,104.71
20.65,10.3,112.54,5.92,292.0,0.89,28.0,2019-11-04 02:14:00,3.278083,105.382333,1.45,21.6,0.69,104.71
20.61,10.3,112.54,5.97,320.0,0.89,28.0,2019-11-04 02:15:00,3.28325,105.385333,1.45,21.6,0.69,104.71
20.69,10.3,112.54,7.0,303.0,0.89,28.0,2019-11-04 02:16:00,3.288533,105.388167,1.45,21.6,0.69,104.71
20.68,10.3,112.54,6.69,309.9,0.89,28.1,2019-11-04 02:17:00,3.293767,105.391167,1.45,21.6,0.69,104.61
20.66,10.3,112.54,6.84,306.9,0.89,28.1,2019-11-04 02:18:00,3.29905,105.394167,1.45,21.6,0.69,104.61
20.66,10.3,112.54,6.53,301.9,0.89,28.1,2019-11-04 02:19:00,3.304317,105.397,1.45,21.5,0.69,104.61
20.57,10.3,112.54,6.74,309.0,0.89,28.0,2019-11-04 02:20:00,3.3096,105.399833,1.45,21.5,0.69,104.71
20.7,10.3,112.54,6.79,314.8,0.89,28.2,2019-11-04 02:21:00,3.314767,105.402833,1.45,21.5,0.69,104.51
20.63,10.3,112.54,6.53,316.9,0.89,28.1,2019-11-04 02:22:00,3.320033,105.405667,1.45,21.5,0.69,104.61
20.71,10.3,112.54,6.12,309.9,0.89,28.1,2019-11-04 02:23:00,3.325283,105.408667,1.45,21.5,0.69,104.61
20.68,10.3,112.54,7.41,315.9,0.89,28.1,2019-11-04 02:24:00,3.330533,105.4115,1.45,21.5,0.69,104.61
