stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon,wsWS,sovg,currSpeed,currDir
16.09,12.165,67.0,5.92,342.9,0.63,318.1,2019-12-09 16:07:00,26.092783,-90.643083,8.94,17.3,0.03,86.89999999999998
16.09,12.165,67.0,5.92,342.9,0.63,318.1,2019-12-09 16:07:10,26.092783,-90.643083,8.94,17.3,0.03,86.89999999999998
16.07,12.165,66.0,4.32,342.0,0.63,318.0,2019-12-09 16:08:00,26.09635,-90.64675,8.94,17.3,0.03,87.0
16.11,12.165,67.0,5.25,334.8,0.63,318.2,2019-12-09 16:09:00,26.099933,-90.650383,8.94,17.4,0.03,86.80000000000004
16.08,12.165,67.0,5.56,341.4,0.63,318.6,2019-12-09 16:10:00,26.103517,-90.654033,8.94,17.4,0.03,86.39999999999998
16.15,12.165,67.0,5.04,336.9,0.63,319.1,2019-12-09 16:11:00,26.10715,-90.657617,8.94,17.3,0.03,85.89999999999998
16.15,12.165,67.0,5.86,333.8,0.63,319.2,2019-12-09 16:12:00,26.11075,-90.661117,8.94,17.3,0.03,85.80000000000003
16.2,12.165,66.0,4.53,334.9,0.63,319.1,2019-12-09 16:13:00,26.114383,-90.664667,8.94,17.4,0.03,85.89999999999998
16.06,12.165,67.0,6.02,344.8,0.63,319.2,2019-12-09 16:14:00,26.118067,-90.6682,8.94,17.3,0.03,85.80000000000003
16.12,12.165,66.0,5.3,335.0,0.63,319.0,2019-12-09 16:15:00,26.121733,-90.67175,8.94,17.3,0.03,86.0
16.14,12.165,67.0,4.63,332.1,0.63,318.9,2019-12-09 16:16:00,26.125383,-90.67525,8.94,17.4,0.03,86.10000000000002
16.1,12.165,66.0,4.68,343.0,0.63,319.0,2019-12-09 16:17:00,26.12906700000001,-90.678817,8.94,17.4,0.03,86.0
16.13,12.165,67.0,4.37,337.9,0.63,319.1,2019-12-09 16:18:00,26.132683,-90.682283,8.94,17.4,0.03,85.89999999999998
16.14,12.165,66.0,5.66,340.8,0.63,317.2,2019-12-09 16:19:00,26.13635,-90.6858,8.94,17.3,0.03,87.80000000000004
16.04,12.165,64.0,4.94,328.8,0.63,316.2,2019-12-09 16:20:00,26.139883,-90.689433,8.94,17.3,0.03,88.80000000000004
16.11,12.165,67.0,5.25,325.5,0.63,316.5,2019-12-09 16:21:00,26.143433,-90.693083,8.94,17.3,0.03,88.5
16.11,12.165,67.0,4.94,329.9,0.63,317.1,2019-12-09 16:22:00,26.147017,-90.696717,8.94,17.3,0.03,87.89999999999998
16.05,12.165,67.0,5.25,343.8,0.63,317.2,2019-12-09 16:23:00,26.150567,-90.700233,8.94,17.3,0.03,87.80000000000004
16.1,12.165,66.0,5.45,355.2,0.63,316.8,2019-12-09 16:24:00,26.154167,-90.703833,8.94,17.3,0.03,88.19999999999996
16.14,12.165,67.0,5.61,332.2,0.63,316.8,2019-12-09 16:25:00,26.15775,-90.70745,8.94,17.3,0.03,88.19999999999996
16.07,12.165,66.0,4.01,340.0,0.63,317.0,2019-12-09 16:26:00,26.16135,-90.71105,8.94,17.3,0.03,88.0
16.13,12.165,67.0,5.4,344.1,0.63,316.9,2019-12-09 16:27:00,26.16495,-90.714617,8.94,17.3,0.03,88.10000000000002
16.16,12.165,66.0,5.3,334.2,0.63,316.8,2019-12-09 16:28:00,26.168533,-90.718233,8.94,17.3,0.03,88.19999999999996
16.15,12.165,67.0,3.81,345.0,0.63,317.0,2019-12-09 16:29:00,26.172117,-90.721817,8.94,17.3,0.03,88.0
16.1,12.165,64.0,4.22,340.6,0.63,314.4,2019-12-09 16:30:00,26.17561700000001,-90.725383,8.94,17.2,0.03,90.60000000000002
16.08,12.165,66.0,4.84,340.0,0.62,314.0,2019-12-09 16:31:00,26.179,-90.7291,8.86,17.2,0.47,223.61
16.12,12.165,65.58,4.63,359.3,0.62,314.7,2019-12-09 16:32:00,26.18246700000001,-90.732833,8.86,17.3,0.47,222.91000000000003
