Basis,Coeff
<<<<<<< HEAD
(Intercept),442.343
h(x1-4.96),-248.281
h(4.96-x1),-18.0632
h(154.55-x6),0.215003
h(x6-203.66),2.79763
h(x6-171.49),0.443696
h(x6-61.76),-2.96342
h(61.76-x6),2.48945
h(x2+1.29),28.0529
h(-1.29-x2),7.21029
h(x6-335.91),-1.0443
h(x4-42.93),0.00594036
h(42.93-x4),0.0710788
h(x3-4.22),-34.2366
h(4.22-x3),0.374082
h(202.8-x6),-3.05328
h(x6-163.38),-0.319663
h(x0-12.22),10.1059
h(2.39-x5),-1.07711
=======
(Intercept),465.737
h(9.41-x0),-39.3086
h(301.78-x6),1.7212
h(x2+0.04),-26.5504
h(x0-7.01),-34.4374
h(7.01-x0),36.579
h(x1-12.49),19.9132
h(12.49-x1),10.2413
h(x5-2.67),5.52781
h(x6-156.81),0.43189
h(x4-182.03),-0.00782986
h(182.03-x4),-0.0100331
h(x2-0.68),114.489
h(x6-163.1),-0.621687
h(x6-320.06),1.06879
h(x6-204.93),0.131509
h(304-x6),-2.38603
h(326.7-x6),-0.478122
x3,-0.312584
h(x6-7.94),-1.49078
h(4.16-x6),2.75316
h(x6-12.82),0.34478
h(x6-116.91),0.0942263
>>>>>>> 3079fad7b133f9832220e9899597abb31f8bdb3e
