MAE,STW
12.2044038772583,8.04
10.416392508769196,8.54
8.753193574352519,9.04
3.5422951258515973,9.54
2.7806063786246638,10.04
2.4913843849636863,10.54
3.080466103758716,11.04
6.630887794494629,11.54
5.9366493225097665,12.04
7.218648910522461,12.54
