Basis,Coeff
(Intercept),-847.092
h(x6-241.8),0.116831
h(x0-11.16),41.3186
h(11.16-x0),-2.94055
h(347.61-x6),2.01949
h(x5-6.61),-51.1416
h(6.61-x5),-2.9952
h(x6-6.4),1.75619
h(x6-358.75),15.0143
h(x4-73.53),0.219375
h(x4-107.38),0.971597
h(107.38-x4),-0.668312
h(x6-128.41),0.26355
x2,-1.9552
h(x4-92.25),-1.05412
h(312.61-x4),0.124057
h(x6-345.52),-2.39559
h(332.68-x6),1.41075
h(x6-351.27),-1.72996
h(x6-183.05),1.36687
h(183.05-x6),-1.5078
h(63.79-x6),-0.133391
h(180.14-x4),0.132182
h(81.39-x4),0.465524
h(x6-336.72),-0.927498
