Basis,Coeff
(Intercept),-666.223
h(x6-210.84),0.0922585
x5,3.24308
h(276.75-x6),0.0953124
h(x6-351.03),-1.89721
x0,2.31676
h(x6-9.8),1.09642
h(x6-355.38),3.39238
h(92.44-x4),-0.702908
h(241.93-x4),1.46424
h(x4-207.48),-0.851283
h(75.07-x4),0.424935
h(x4-110.79),1.89205
h(110.79-x4),-1.54997
h(x6-153.23),0.210622
x3,0.692365
h(x6-341.83),-2.7724
h(x6-339.24),3.22816
h(339.24-x6),1.30108
h(183.91-x6),-0.211759
h(185.53-x4),0.390417
h(x6-333.58),2.07968
h(x2-0.61),37.2167
h(0.61-x2),1.84563
x1,2.16414
h(x4-135.08),-0.231636
h(x6-336.98),-4.16603
h(x4-262.11),-0.719321
h(48.47-x6),-0.111441
