Basis,Coeff
(Intercept),177.325
h(238.73-x6),0.135953
x5,1.35983
h(x0-14.17),12.9302
h(14.17-x0),-2.97871
h(x1-12.89),-285.476
h(12.89-x1),-4.13868
h(311.09-x4),0.290183
h(x6-54.65),-2.27799
h(54.65-x6),1.22161
h(139.35-x6),-1.06903
h(x6-22.88),0.17443
h(162.25-x6),1.82943
h(124.93-x6),2.45058
h(x6-305.42),0.710354
h(x6-332.69),-0.352869
h(299.79-x6),-0.457863
h(x6-57.59),0.721158
h(82.24-x6),-0.99439
h(128.03-x6),-2.15356
h(154.55-x6),-1.94128
h(147.36-x6),1.6069
h(167.51-x6),-0.720431
h(247.56-x6),-0.176734
h(x4-336.17),-0.194796
h(x4-301.95),-0.119724
h(x4-214.3),1.11602
h(214.3-x4),-1.10617
h(x4-240.65),-0.681074
h(x4-77.57),0.156085
h(x6-88.45),0.893351
h(x4-13.22),-0.162358
h(66.47-x6),0.328504
h(x4-93.7),-0.189064
h(232.21-x4),0.642761
h(x3-8.79),31.196
h(163.14-x4),0.0381982
