STW,MAE
9.9,5.300617218017578
10.18,3.890045166015625
10.58,0.10615158081054688
10.2,3.3129940032958984
10.44,1.6775703430175781
9.8,5.489585876464844
10.04,2.9235992431640625
10.49,3.965299606323242
10.1,2.3844985961914062
10.2,3.4332923889160156
10.24,4.123287200927734
10.15,2.531200408935547
10.03,2.819202423095703
10.46,3.8973255157470703
10.1,2.5896148681640625
10.28,2.2617568969726562
10.71,0.42688751220703125
9.9,3.928861618041992
10.4,1.6528549194335938
10.03,3.1083126068115234
10.16,3.213329315185547
10.39,4.199005126953125
10.26,3.3465003967285156
10.24,3.6610374450683594
10.02,3.251819610595703
10.2,2.5880870819091797
9.38,5.240451812744141
10.18,6.892536163330078
9.9,6.543233871459961
10.03,3.614147186279297
9.96,3.231945037841797
10.18,3.0504722595214844
10.24,2.4639549255371094
10.0,5.732170104980469
10.09,3.949686050415039
10.47,3.478973388671875
10.19,5.257673263549805
9.96,4.169979095458984
10.03,2.8667335510253906
10.18,5.393634796142578
9.96,5.005939483642578
10.02,3.4382400512695312
10.25,2.798236846923828
10.37,4.109186172485352
10.33,1.7522048950195312
10.02,3.9384841918945312
10.48,3.8445682525634766
10.5,2.900371551513672
9.93,3.6408042907714844
10.16,3.9001121520996094
10.13,5.828962326049805
9.88,5.007194519042969
9.86,4.473674774169922
10.23,4.569578170776367
10.1,4.7706298828125
10.04,3.180440902709961
10.24,4.898418426513672
10.33,2.9557838439941406
9.96,3.8641109466552734
10.12,4.1163787841796875
10.22,3.0942840576171875
10.53,1.8523139953613281
10.15,3.1961593627929688
10.27,2.822174072265625
9.88,5.10595703125
9.94,6.14056396484375
10.2,9.031078338623047
10.28,5.975521087646484
10.15,2.5092697143554688
9.5,5.637641906738281
9.93,4.154144287109375
10.04,4.690423965454102
9.81,4.9700775146484375
10.03,3.905559539794922
10.03,6.685947418212891
9.72,6.090396881103516
9.75,5.82130241394043
10.08,5.8438873291015625
9.63,4.055591583251953
9.88,4.7777252197265625
9.74,5.591876983642578
10.06,5.920795440673828
9.94,5.733427047729492
9.74,6.615751266479492
9.88,4.524871826171875
10.15,3.8220787048339844
10.02,6.085794448852539
10.0,6.001792907714844
9.87,4.741031646728516
10.23,5.585918426513672
9.84,6.865800857543945
10.2,4.096321105957031
9.64,6.50067138671875
10.22,3.866180419921875
10.7,2.822174072265625
10.23,3.319499969482422
10.34,4.831001281738281
10.18,5.812099456787109
10.25,3.545917510986328
10.08,3.2676143646240234
10.14,3.6191768646240234
10.23,2.486665725708008
9.94,5.808372497558594
10.25,7.540910720825195
10.0,5.470609664916992
10.28,1.7937850952148438
10.02,3.7303543090820312
10.33,3.0583362579345703
10.18,1.9741592407226562
10.08,2.3985557556152344
10.06,2.6860275268554688
10.29,2.58453369140625
10.43,3.832639694213867
10.26,3.8748092651367188
10.2,2.3009567260742188
9.78,4.862720489501953
9.97,2.960397720336914
10.23,3.1235885620117188
10.13,3.3004188537597656
10.38,2.018463134765625
10.35,3.449310302734375
10.15,3.1290740966796875
10.03,3.492351531982422
9.97,5.246088027954102
10.23,2.3527259826660156
9.91,3.4651145935058594
9.96,3.2861270904541016
10.44,2.3102264404296875
9.98,3.0631370544433594
10.18,2.0440902709960938
10.09,3.0053482055664062
9.85,3.6299285888671875
10.2,1.5224342346191406
10.0,4.919065475463867
9.79,3.5929412841796875
10.08,2.7678871154785156
9.33,15.848247528076172
8.93,14.638931274414062
8.99,14.13870620727539
9.66,12.581565856933594
9.2,12.931386947631836
9.21,13.089279174804688
9.32,15.204156875610352
8.75,16.55429458618164
9.27,19.169397354125977
9.21,18.787778854370117
9.17,16.607627868652344
9.33,15.859283447265625
9.63,15.894411087036133
9.57,18.259937286376953
9.27,16.073930740356445
8.97,17.26940155029297
8.96,18.998554229736328
8.96,27.98993682861328
9.08,15.27267074584961
9.0,18.03186798095703
8.81,19.608497619628906
9.1,18.90749740600586
8.71,18.455474853515625
8.86,18.721511840820312
9.14,14.202339172363281
9.24,13.802261352539062
8.97,13.977855682373047
8.8,17.732635498046875
8.97,13.716236114501953
9.06,18.31825828552246
8.96,15.326656341552734
8.79,14.435976028442383
8.64,17.900779724121094
9.19,14.426700592041016
8.53,15.415946960449219
8.79,18.220783233642578
8.68,17.517398834228516
8.93,16.770549774169922
9.01,13.444478988647461
8.91,17.091033935546875
9.1,15.068077087402344
9.03,19.90570831298828
8.96,22.282960891723633
9.4,18.308473587036133
9.0,14.548938751220703
8.44,17.506235122680664
8.85,17.03094482421875
9.3,20.428028106689453
8.95,17.094303131103516
9.06,13.353034973144531
9.01,14.996931076049805
8.91,14.566814422607422
9.56,12.110481262207031
9.68,11.517513275146484
9.28,13.063983917236328
8.94,15.133363723754883
9.01,13.116960525512695
9.63,12.088096618652344
9.03,13.429374694824219
9.41,12.13801383972168
9.35,11.482673645019531
9.49,8.559650421142578
8.96,20.24480438232422
9.57,13.929370880126953
8.79,16.206241607666016
8.98,15.847221374511719
8.88,16.749683380126953
8.85,16.72580337524414
8.84,16.05545425415039
8.94,19.199214935302734
8.88,15.598508834838867
9.09,17.10028076171875
9.21,14.043498992919922
9.05,12.597589492797852
9.19,13.591230392456055
9.15,14.47353744506836
9.35,12.459966659545898
8.97,14.522754669189453
9.51,9.511638641357422
9.48,7.371376037597656
9.09,14.37698745727539
9.15,14.47299575805664
9.17,8.459495544433594
9.41,10.161739349365234
9.4,12.08294677734375
8.96,9.102092742919922
8.97,13.797103881835938
9.33,12.939676284790039
8.75,12.091133117675781
9.33,12.40632438659668
9.6,10.11180305480957
9.03,12.998302459716797
9.09,13.753318786621094
8.91,16.701818466186523
9.19,11.532583236694336
9.5,11.648113250732422
9.54,13.966377258300781
9.14,13.184013366699219
9.44,15.094877243041992
9.37,15.391027450561523
9.68,10.702642440795898
9.73,11.284568786621094
9.48,13.957328796386719
9.63,13.34670639038086
9.21,13.46285629272461
9.19,11.285470962524414
9.17,9.667402267456055
9.22,12.892524719238281
9.27,9.480567932128906
9.58,5.9505615234375
9.79,10.254112243652344
9.07,14.232734680175781
9.21,12.879190444946289
9.09,12.712471008300781
8.87,13.829208374023438
9.02,11.77044677734375
9.2,13.730979919433594
9.34,12.853607177734375
9.48,14.189510345458984
8.91,12.614017486572266
9.49,11.602676391601562
9.32,12.125946044921875
9.08,16.028995513916016
9.05,13.115962982177734
8.97,15.958633422851562
9.34,13.731586456298828
9.14,13.989364624023438
9.02,16.966873168945312
8.95,17.435775756835938
8.94,18.85285186767578
9.17,16.245866775512695
9.28,13.960454940795898
9.49,11.103595733642578
9.5,11.087310791015625
9.34,15.897085189819336
9.54,12.161182403564453
8.86,16.456562042236328
8.77,13.602849960327148
9.32,11.760734558105469
9.16,12.733964920043945
8.83,14.005996704101562
8.99,15.210704803466797
9.0,13.340030670166016
8.98,15.484580993652344
9.16,17.27289581298828
9.25,17.994789123535156
8.84,15.053730010986328
8.85,12.334590911865234
8.93,17.43718719482422
9.24,13.367067337036133
9.46,12.338869094848633
9.25,16.206605911254883
9.1,14.599388122558594
9.13,12.497112274169922
9.05,12.211318969726562
9.16,14.246742248535156
8.79,13.235525131225586
9.26,13.79774284362793
9.33,11.911067962646484
9.16,13.18667984008789
9.36,11.398902893066406
9.08,12.318794250488281
9.29,13.965312957763672
9.21,12.92138671875
8.97,12.219810485839844
9.27,12.228649139404297
9.25,11.480905532836914
9.41,11.562442779541016
9.08,13.408546447753906
9.27,12.814556121826172
9.39,12.681037902832031
9.29,13.482830047607422
9.23,10.657539367675781
9.25,15.191974639892578
9.09,13.876653671264648
9.09,14.213096618652344
9.37,13.475101470947266
9.44,12.044687271118164
9.31,13.72943115234375
9.17,14.170589447021484
9.25,16.529407501220703
9.22,14.412031173706055
8.9,13.729057312011719
9.28,13.09792709350586
9.13,12.516483306884766
9.3,13.480506896972656
8.89,15.85537338256836
9.02,11.676389694213867
9.25,11.065679550170898
9.41,13.682243347167969
9.44,12.268024444580078
9.12,14.324136734008789
9.21,11.928451538085938
9.28,12.580081939697266
9.5,11.49522590637207
9.01,13.649616241455078
9.58,11.945865631103516
9.14,13.015993118286133
8.83,15.567882537841797
9.16,13.2606201171875
9.29,13.184513092041016
9.38,11.069854736328125
9.38,12.111431121826172
9.17,13.86965560913086
9.42,12.24964714050293
9.29,11.292343139648438
9.19,10.395187377929688
9.56,11.296966552734375
8.88,15.857215881347656
9.0,13.797344207763672
8.57,15.208229064941406
8.92,15.423336029052734
9.19,12.669458389282227
9.43,12.207511901855469
9.07,12.973039627075195
9.62,12.362264633178711
9.05,14.325714111328125
8.66,16.64385414123535
8.77,14.10342025756836
9.52,11.048187255859375
9.47,11.277877807617188
9.04,16.3590145111084
9.46,11.347631454467773
9.43,11.64787483215332
9.01,15.469192504882812
9.65,11.078485488891602
9.37,12.199710845947266
9.55,10.67873764038086
8.93,15.579530715942383
8.93,15.732147216796875
8.9,16.047168731689453
8.98,16.32821273803711
9.09,11.249820709228516
9.37,14.398870468139648
8.78,15.741558074951172
9.17,13.766887664794922
8.93,16.140846252441406
9.38,16.18552017211914
9.0,15.861419677734375
8.65,21.411277770996094
8.96,16.358957290649414
9.43,12.880435943603516
9.33,12.882284164428711
9.11,15.260963439941406
9.09,13.451520919799805
8.65,16.063247680664062
8.8,15.047988891601562
9.14,14.796619415283203
9.06,12.79721450805664
8.94,13.411436080932617
9.21,13.226318359375
9.22,13.348552703857422
8.97,14.183826446533203
8.83,16.07944107055664
8.88,14.361946105957031
9.17,10.7059326171875
9.12,13.529361724853516
8.98,11.204910278320312
9.56,9.575183868408203
8.76,10.018213272094727
9.0,11.406471252441406
8.83,12.913705825805664
9.07,19.183258056640625
8.66,16.49831199645996
9.39,16.067394256591797
8.38,16.32903289794922
9.14,17.722625732421875
9.19,16.45026969909668
8.86,14.637630462646484
9.3,14.111160278320312
9.22,13.196401596069336
9.24,13.458255767822266
8.51,18.082622528076172
8.88,14.769420623779297
8.64,15.689043045043945
8.96,15.729660034179688
8.8,15.477495193481445
9.14,16.438081741333008
9.29,12.546287536621094
9.18,14.320173263549805
9.78,12.164447784423828
9.04,14.281097412109375
8.96,14.924552917480469
9.03,13.759496688842773
9.69,11.774717330932617
8.99,15.042957305908203
8.79,16.263134002685547
9.2,13.374706268310547
9.07,14.907419204711914
9.05,14.897636413574219
8.95,13.62674331665039
9.07,15.176719665527344
8.88,15.295551300048828
8.62,16.132526397705078
9.14,14.339794158935547
8.89,20.075439453125
9.08,14.931438446044922
9.06,18.174415588378906
9.58,14.564998626708984
9.25,17.069080352783203
9.09,18.92021942138672
9.13,20.011798858642578
8.48,21.996761322021484
9.22,17.63753318786621
8.52,16.8243465423584
8.86,15.32856559753418
8.96,14.27774429321289
9.22,16.102741241455078
8.91,15.054649353027344
9.22,14.84646987915039
9.07,12.204063415527344
8.78,13.600269317626953
9.18,14.755596160888672
9.56,11.83401870727539
8.98,13.701908111572266
9.14,13.749027252197266
9.22,16.20359230041504
8.9,17.205059051513672
9.4,14.564952850341797
8.97,13.220733642578125
9.15,15.436298370361328
9.03,14.665916442871094
9.04,11.753463745117188
9.22,12.943000793457031
10.22,1.7508964538574219
10.15,4.10499382019043
10.01,2.841053009033203
10.06,2.2762603759765625
10.35,2.4507980346679688
9.99,6.119739532470703
9.79,6.696800231933594
10.47,7.40625
10.08,3.7986373901367188
10.07,3.4154434204101562
9.85,4.336757659912109
10.07,3.1091232299804688
10.36,3.509441375732422
10.04,4.342353820800781
10.28,1.7267875671386719
10.16,2.100099563598633
10.15,3.8916168212890625
9.69,5.828269958496094
9.88,4.042499542236328
9.98,4.949428558349609
10.11,3.0494842529296875
10.22,6.448089599609375
9.76,4.9033050537109375
9.56,5.4004364013671875
9.51,7.010250091552734
9.74,6.841747283935547
9.75,6.029056549072266
9.47,7.176189422607422
9.83,5.853116989135742
9.8,4.948619842529297
9.96,6.0600433349609375
9.96,5.521190643310547
10.02,5.260643005371094
10.08,5.2651824951171875
10.04,5.758382797241211
10.4,4.109580993652344
10.62,5.906986236572266
10.42,1.5114784240722656
10.26,0.9243659973144531
10.27,3.6824989318847656
10.14,2.827669143676758
10.46,2.9066734313964844
10.27,3.071817398071289
10.62,0.2614173889160156
10.05,3.4265480041503906
10.21,3.5855941772460938
10.11,4.267383575439453
10.49,3.4984169006347656
10.02,2.9387855529785156
10.04,2.752117156982422
9.86,2.7092437744140625
10.08,3.5381126403808594
10.22,2.1594009399414062
10.12,2.3112659454345703
10.11,2.7325897216796875
9.62,4.169851303100586
10.33,1.6295909881591797
10.3,2.2572288513183594
10.09,3.053272247314453
9.99,2.4756507873535156
10.1,1.7169113159179688
10.37,1.2729415893554688
9.95,3.4163761138916016
9.92,4.891529083251953
10.01,5.107875823974609
9.94,3.0364036560058594
10.31,1.6293678283691406
10.05,1.9540996551513672
10.26,1.4908199310302734
10.44,2.4625625610351562
10.23,2.160247802734375
10.11,1.6126670837402344
9.92,4.988321304321289
10.29,1.8714981079101562
10.21,1.8607025146484375
10.23,1.3782310485839844
