Basis,Coeff
<<<<<<< HEAD
(Intercept),-433.652
h(x4-100.85),-0.251023
x1,4.61098
x5,2.00309
h(x4-300.1),-0.341778
h(300.1-x4),0.150556
x2,-4.82607
h(x0-11.81),6.78514
h(11.81-x0),-1.22942
h(x6-137.13),4.07102
h(213.31-x4),0.519534
h(x6-233.08),-4.61173
h(233.08-x6),4.49232
h(139.43-x4),-0.35179
h(x3-10.82),0.584198
h(10.82-x3),1.97033
h(239.71-x4),-0.477701
h(x4-331.48),-0.26617
h(129.77-x6),0.678359
h(182.51-x6),-0.608145
h(76.81-x4),0.122204
h(16.84-x3),-2.28233
h(x4-127.73),0.256112
h(17.05-x6),0.227924
h(x6-209.28),0.243358
h(x6-171.19),0.290485
h(147.59-x6),-1.42831
h(132.13-x6),-3.55082
h(x4-280.84),0.311002
h(160.49-x6),0.427841
h(x4-311.78),0.254422
=======
(Intercept),-260.775
h(x6-150.66),0.121214
x5,3.16405
x0,2.38188
h(348.58-x6),-3.12272
h(x6-285.02),0.203101
h(281.94-x4),0.171791
h(97.32-x4),-0.628973
h(x2-0.63),54.4004
h(0.63-x2),2.89137
h(232.4-x4),1.92217
h(213.99-x4),-1.41929
x1,2.99116
h(x6-7.65),0.782434
h(x6-333.57),-3.63981
h(333.57-x6),3.9905
h(x6-351.86),2.45509
h(x6-68.21),-0.104828
h(80.13-x4),0.304888
h(x3-13.54),-41.2882
h(13.54-x3),-0.745578
h(260.68-x6),-0.0982791
h(106.77-x4),0.307208
h(261.38-x4),-0.668472
h(x4-130.5),-0.148351
h(x4-189.85),0.293152
h(x4-325.17),-0.154579
h(14.29-x4),-0.434779
>>>>>>> 3079fad7b133f9832220e9899597abb31f8bdb3e
