FOC_pred,FOC_act,PERC,stw,draft,trim,sensor_wind_speed,sensor_wind_dir,comb_waves_height,comb_waves_dir
20.65,20.16,2.446903,10.628,4.872,-1.8080000000000003,11.565999999999999,327.422,1.37,45.709999999999994
32.02,32.54,1.5949196,14.101999999999999,4.868,-1.304,2.9719999999999995,171.212,0.9,158.67000000000002
35.12,38.02,7.6237755,14.530000000000001,4.842,-1.3820000000000001,8.908,247.902,0.9800000000000001,219.8
27.86,36.0,22.608662,10.379999999999999,11.392000000000001,-0.11199999999999999,22.452,35.504,3.87,144.24
28.52,27.65,3.145159,11.777999999999999,11.441999999999998,0.49800000000000005,10.022,214.17199999999997,0.26,172.82
21.44,20.74,3.372087,11.882000000000001,4.313999999999999,-2.256,5.126,344.604,0.8,112.5
2.96,5.18,42.809925,7.208,4.394,-1.7299999999999998,5.336,351.092,0.42000000000000004,188.04000000000002
3.82,5.76,33.65215,7.242,4.968,-0.986,2.942,45.826,0.78,187.05
28.28,36.0,21.450954,10.542,11.425999999999998,-0.038,21.822,35.586,3.4799999999999995,67.45
39.76,36.29,9.57546,14.953999999999999,4.763999999999999,-1.434,14.074000000000002,162.244,4.36,221.11000000000004
31.15,28.51,9.25988,11.714,11.52,0.496,16.157999999999998,121.17,1.25,321.78999999999996
30.25,28.22,7.180683,11.588,11.501999999999999,0.49800000000000005,14.538,56.652,1.6599999999999997,43.699999999999996
23.56,23.62,0.24010658,10.164,11.476000000000003,0.6,10.086000000000002,143.56,1.56,248.19
33.77,35.14,3.890457,14.4,4.854000000000001,-1.326,6.234,306.85,1.31,225.43
17.04,14.11,20.775415,10.544,4.252000000000001,-1.862,6.612,94.104,0.8,174.99
32.81,33.7,2.619559,11.689999999999998,11.495999999999999,0.094,18.462,42.634,2.04,314.15
31.56,30.53,3.3674252,12.139999999999999,11.41,0.404,14.698000000000002,49.934000000000005,0.8100000000000002,347.49
34.71,36.58,5.112399,13.068000000000001,11.532,-0.02,16.332,18.395999999999997,0.61,79.83
38.7,40.61,4.703553,11.706,11.644,0.5740000000000001,31.168,20.182000000000002,2.34,355.28000000000003
16.04,14.4,11.409747,10.492,4.256,-1.888,4.194,93.1,0.8,174.91
29.93,27.94,7.1302586,11.49,11.502,0.492,15.192000000000002,56.474000000000004,1.42,28.589999999999996
18.27,17.28,5.709032,10.536000000000001,4.332,-2.168,8.516000000000002,295.87,1.05,86.39
24.7,23.04,7.18856,10.702,11.45,0.5599999999999999,7.909999999999999,151.576,0.62,285.53999999999996
26.82,27.65,2.9966304,11.636,11.42,0.41200000000000003,5.906000000000001,88.274,0.9800000000000001,338.94
29.91,27.94,7.059279,11.331999999999999,11.478,0.51,16.242,63.696000000000005,1.7280000000000002,44.376000000000005
28.29,29.38,3.709305,11.33,11.43,0.45200000000000007,11.272,141.038,1.3,312.0
8.59,5.47,57.04959,8.68,4.337999999999999,-1.7600000000000002,2.752,211.398,0.85,171.51000000000002
17.08,16.99,0.5167532,10.886,4.33,-2.122,1.478,89.046,1.9899999999999998,172.63
28.84,27.65,4.3173904,11.732,11.515999999999998,0.524,9.26,70.208,1.06,292.91999999999996
20.93,20.16,3.7962766,11.664,4.313999999999999,-2.25,5.154000000000001,327.98199999999997,0.93,106.27000000000001
34.77,35.14,1.0282615,12.863999999999999,11.498000000000001,0.33799999999999997,12.472,47.916,1.438,197.592
39.29,40.32,2.5606155,13.616,11.514,0.37,18.714,30.336000000000002,1.5,335.33
28.99,35.71,18.827108,10.677999999999999,11.469999999999999,-0.041999999999999996,21.8,42.977999999999994,3.5,6.93
29.22,26.5,10.277295,11.970000000000002,11.41,0.512,6.587999999999999,282.13199999999995,0.86,150.51999999999998
27.4,28.51,3.8972542,11.282,11.474000000000002,0.45600000000000007,6.92,133.772,2.03,354.52
40.68,41.18,1.2255679,13.95,11.546,0.25,18.464,46.512,1.64,344.65999999999997
40.08,39.74,0.85173213,13.806000000000001,11.538,0.284,19.222,28.394,1.45,326.65999999999997
22.13,20.74,6.7247376,11.825999999999999,4.336,-2.25,6.462000000000001,312.692,0.9099999999999999,107.48000000000002
28.37,28.51,0.4811921,11.382000000000001,11.43,0.45200000000000007,10.776,141.43800000000002,1.3,311.41999999999996
33.8,35.71,5.357763,10.894,11.518,0.10200000000000001,23.1,41.836,3.6800000000000006,330.59000000000003
21.58,20.45,5.5537724,10.886,4.851999999999999,-1.828,11.388,319.968,1.32,49.410000000000004
15.96,14.11,13.117589,10.395999999999999,4.388,-2.0740000000000003,5.546000000000001,143.858,1.05,178.23999999999998
40.68,41.18,1.2207328,13.712,11.540000000000001,0.29400000000000004,19.384,49.932,1.86,324.11
37.29,41.47,10.085345,13.296000000000001,11.547999999999998,0.244,20.768,39.978,0.06,143.51999999999998
3.33,4.9,32.074673,7.188,4.392,-1.7260000000000002,6.618,357.38,0.42000000000000004,176.0
15.9,13.82,15.026738,10.654,4.336,-2.058,3.336,62.104,0.9800000000000001,149.98999999999998
28.03,26.78,4.6638246,11.806000000000001,11.392,0.502,5.578,282.80199999999996,0.63,142.84
26.56,23.33,13.846781,11.045999999999998,10.036,0.6980000000000001,9.985999999999999,92.236,1.1480000000000001,86.46200000000002
21.35,19.87,7.421863,10.809999999999999,4.878,-1.83,11.482,323.246,1.37,46.690000000000005
17.34,15.55,11.518696,9.372,4.988000000000001,-1.24,21.596000000000004,143.31400000000002,0.74,342.91999999999996
16.83,14.4,16.903296,10.642,4.38,-2.06,5.180000000000001,212.99,0.34,178.02
27.58,27.07,1.8593056,13.014000000000001,4.916,-1.204,3.622,317.75,1.264,211.11999999999998
35.18,34.27,2.640447,11.094,11.540000000000001,0.07,25.517999999999997,29.458,3.6399999999999997,353.24
33.86,37.15,8.847609,10.892,11.536,0.13,23.177999999999997,41.796,3.6800000000000006,330.40999999999997
25.17,23.04,9.253885,10.386000000000001,11.468,0.56,12.482,102.60800000000002,1.9600000000000002,289.53999999999996
40.6,39.46,2.893102,13.906,11.546000000000001,0.278,20.252,29.144,1.24,336.14
27.28,27.07,0.7612979,11.876000000000001,11.47,0.38,4.298,283.104,0.522,188.852
24.24,23.04,5.201763,10.274000000000001,11.472,0.584,11.154,134.01999999999998,1.56,249.13000000000002
34.75,38.02,8.5939865,14.670000000000002,4.6579999999999995,-1.6400000000000001,6.465999999999999,188.166,1.13,89.57
28.52,36.58,22.024693,10.46,11.443999999999999,-0.04599999999999999,23.038,43.153999999999996,3.54,4.92
22.41,20.45,9.608278,11.995999999999999,4.316,-2.264,5.016,283.78799999999995,0.8,119.56000000000002
30.17,33.12,8.907704,10.932000000000002,11.453999999999999,0.17,20.508,107.394,2.632,119.292
28.79,27.94,3.0697553,11.815999999999999,11.44,0.5,10.478,215.11999999999998,0.26,172.68
33.82,34.56,2.1439679,11.166,11.457999999999998,-0.033999999999999996,23.986,30.708,2.95,351.90000000000003
37.65,35.14,7.167366,14.819999999999999,4.816,-1.4220000000000002,14.346,74.03,2.05,172.08999999999997
32.99,36.58,9.797867,10.58,11.462,0.054000000000000006,25.354000000000003,21.258,3.6100000000000003,353.44
17.46,15.55,12.270315,10.918,4.39,-2.152,5.7940000000000005,353.252,0.85,193.34
36.05,38.88,7.2743073,14.815999999999999,4.816,-1.4819999999999998,6.95,302.062,1.192,109.63199999999999
2.26,5.18,56.48081,7.223999999999999,4.438000000000001,-1.746,2.716,347.364,0.42000000000000004,177.77
