Basis,Coeff
(Intercept),-244.468
h(102.51-x4),-1.00749
x0,3.47279
h(x1-9.18),6.1143
h(9.18-x1),220.758
h(75.03-x6),0.566807
h(174.49-x4),0.285984
x5,1.42422
h(x4-75.1),2.32978
h(75.1-x4),-2.50899
h(x4-92.41),-3.78065
h(x6-48.01),-0.264639
h(x6-94.37),-5.76616
h(x6-223.92),0.48987
h(223.92-x6),-0.234638
x3,0.496538
h(x4-350.06),0.49015
h(295.6-x4),-0.605587
h(238.22-x4),3.18549
h(x4-314.73),0.382062
h(200.55-x4),-0.881353
h(x4-245.72),-2.17986
h(x4-107.42),0.848042
h(x6-136.59),0.294451
h(x6-92.77),5.26451
h(198.65-x6),-0.255295
h(80.71-x4),1.51389
h(x4-94.67),2.42466
h(267.61-x6),-0.049191
h(x2-0.7),112.231
h(0.7-x2),3.79501
