FOCrange,MeanPERC,Size
5,0,0
10,0,0
15,29.608033722222224,18
20,14.835715211482412,398
25,4.5497737863456225,1953
30,6.868976658021622,8141
35,10.62935605465401,1633
40,20.495126925373132,67
45,28.6360485,2
