Basis,Coeff
(Intercept),-630.703
h(x0-1.8),61.5436
h(1.8-x0),-64.5443
h(x5-2.6),-10.2341
h(2.6-x5),-4.27009
h(146.42-x6),0.0503912
h(51.54-x6),-1.62489
h(164.31-x4),0.0919563
h(217.88-x6),-0.438833
h(x1-12.27),-33.1897
h(12.27-x1),-3.46426
h(x2+2.27),-3.49738
h(-2.27-x2),-4.18089
h(x4-282.04),-0.0538991
h(x4-119.1),-0.068846
h(x6-188.03),-1.58988
h(188.03-x6),1.68434
h(9.02-x0),60.5676
h(x6-45),1.22828
h(x6-63.84),0.343129
h(x4-6.78),0.102543
h(6.78-x4),0.133327
h(x3-11.17),1.15095
h(11.17-x3),0.0869861
h(220.15-x6),0.327989
