FOC,PERC
36.0,34.812027
34.56,30.453205
34.56,25.464296
34.56,26.364126
37.44,34.451275
34.56,26.048405
34.56,26.68347
37.44,33.940678
36.0,27.614466
36.0,28.467825
34.56,25.795603
37.44,34.45468
37.44,34.021664
37.44,34.35219
37.44,34.572838
34.56,26.43563
34.56,26.559586
37.44,33.402454
36.0,30.403963
37.44,34.173595
36.0,30.94686
37.44,33.606995
38.88,38.510357
38.88,35.313763
36.0,29.62068
37.44,30.587616
37.44,33.01244
36.0,30.063164
37.44,34.956974
36.0,32.63746
37.44,32.87072
36.0,28.80851
36.0,30.170732
36.0,30.392181
36.0,29.806793
36.0,31.319746
37.44,35.781616
36.0,31.424871
34.56,26.073433
36.0,30.06631
36.0,28.596127
36.0,26.636702
34.56,25.586287
36.0,27.972042
36.0,30.541208
37.44,33.2786
37.44,35.23947
38.88,35.07559
37.44,35.463993
40.32,37.12131
36.0,31.16225
36.0,31.738907
36.0,30.731583
36.0,29.277388
36.0,30.09493
37.44,37.691696
36.0,32.049553
36.0,32.579243
36.0,32.723755
36.0,32.20657
37.44,34.52721
34.56,27.035522
36.0,31.041357
36.0,28.657564
36.0,32.418743
36.0,32.753147
34.56,30.040789
36.0,28.735054
37.44,33.321278
37.44,34.639763
36.0,29.661623
37.44,33.362476
37.44,33.641724
36.0,30.973515
37.44,31.92434
37.44,33.69714
37.44,34.721123
37.44,33.034985
38.88,35.522778
38.88,34.772457
37.44,33.577972
36.0,29.350397
36.0,31.738525
37.44,35.447987
38.88,36.4865
37.44,38.548405
37.44,32.152184
37.44,35.54865
37.44,33.475773
36.0,31.33575
38.88,34.874435
37.44,33.048283
37.44,32.79495
34.56,27.835863
34.56,29.067696
37.44,31.80176
34.56,26.858526
36.0,31.126446
36.0,30.447346
38.88,35.116642
38.88,37.130592
37.44,32.372837
34.56,28.97163
37.44,33.445675
36.0,31.475863
34.56,26.884089
36.0,30.151075
33.12,15.536484
34.56,19.546923
33.12,16.918598
33.12,16.045097
33.12,15.687327
36.0,23.763475
36.0,24.48143
37.44,26.045755
33.12,17.574709
33.12,17.494846
33.12,18.646833
33.12,16.777067
33.12,17.025639
33.12,18.043087
33.12,15.419624
33.12,15.809393
34.56,19.699411
34.56,22.500113
33.12,17.810076
34.56,21.362282
33.12,17.032843
36.0,2.4155936
33.12,3.3500574
33.12,2.9790459
34.56,0.57546073
34.56,3.0787675
34.56,0.72135967
34.56,3.2361567
34.56,0.5050941
33.12,2.1448689
34.56,1.6375493
34.56,1.5161103
34.56,0.92628926
34.56,0.13588755
34.56,0.76679164
36.0,11.159982
36.0,1.6170502
33.12,3.510921
33.12,2.2771626
33.12,5.866307
33.12,5.9598775
34.56,8.5819645
33.12,7.5912824
33.12,0.38062894
33.12,6.934911
34.56,9.409465
34.56,10.327067
34.56,18.920692
33.12,16.869083
33.12,6.212002
33.12,16.951216
33.12,17.216885
33.12,15.861586
33.12,16.171824
33.12,16.691029
33.12,18.644333
33.12,14.945713
34.56,17.859163
33.12,17.116081
33.12,16.425947
33.12,15.359801
33.12,14.576838
33.12,17.395643
36.0,22.926846
36.0,22.873909
34.56,19.17127
33.12,15.032235
33.12,3.8303845
33.12,14.999316
33.12,15.842293
33.12,15.79871
33.12,15.679823
34.56,21.232277
33.12,15.209879
33.12,15.498959
33.12,15.053001
33.12,15.210886
33.12,13.045793
33.12,13.135574
33.12,17.08777
33.12,15.405607
33.12,15.338551
33.12,15.079469
33.12,15.283115
33.12,16.315687
33.12,18.006184
33.12,16.029999
33.12,14.580494
33.12,16.381355
33.12,15.838389
34.56,19.905748
34.56,19.652578
33.12,16.262796
31.68,11.627145
34.56,18.324543
33.12,17.897934
34.56,20.277466
36.0,22.408825
36.0,21.909946
36.0,24.212933
33.12,14.802748
33.12,14.674394
33.12,14.608851
33.12,15.434919
33.12,17.58579
33.12,17.429382
33.12,16.238874
34.56,18.636297
33.12,14.432779
34.56,19.362944
33.12,15.234752
33.12,14.980721
33.12,17.180893
34.56,18.038582
34.56,21.664356
33.12,17.47114
34.56,20.071047
31.68,11.8688135
33.12,16.952793
