Basis,Coeff
(Intercept),297.48
h(x4-98.89),-0.301072
h(x0-6.66),-3.38579
h(6.66-x0),-1.6464
x5,2.87911
h(x4-261.38),1.49969
h(261.38-x4),-1.24061
x2,-3.88414
h(342.12-x6),-0.388666
h(151.76-x6),0.158509
h(279.09-x6),-0.12266
h(108.69-x6),-0.136779
h(x0-4.88),5.20691
h(x6-184.06),-1.3184
h(x4-328.83),-0.146425
x1,2.52744
h(x4-79.66),0.132056
h(x6-205.8),0.349422
h(205.8-x6),0.210856
h(x6-175.72),0.962525
h(x6-239.29),-0.259756
h(x4-22.75),-1.16653
h(6.86-x4),2.57077
h(44.33-x4),0.387201
h(287.23-x6),0.293383
x3,0.33553
