STW,MAE
9.9,6.52509880065918
10.18,5.90599250793457
10.58,2.5359725952148438
10.2,5.289783477783203
10.44,4.043519973754883
9.8,6.571941375732422
10.04,4.758787155151367
10.49,6.52459716796875
10.1,4.52056884765625
10.2,5.370336532592773
10.24,5.935272216796875
10.15,4.367885589599609
10.03,4.712244033813477
10.46,6.028438568115234
10.1,4.531337738037109
10.28,4.270666122436523
10.71,3.693042755126953
9.9,5.075458526611328
10.4,4.040458679199219
10.03,4.629203796386719
10.16,5.148515701293945
10.39,6.497903823852539
10.26,5.088781356811523
10.24,5.819599151611328
10.02,4.779052734375
10.2,4.481910705566406
9.38,5.682910919189453
10.18,8.851621627807617
9.9,7.849132537841797
10.03,5.432109832763672
9.96,4.989418029785156
10.18,5.132617950439453
10.24,4.395404815673828
10.0,7.1231536865234375
10.09,5.394054412841797
10.47,4.894351959228516
10.19,6.677732467651367
9.96,5.503931045532227
10.03,4.89393424987793
10.18,6.783870697021484
9.96,6.241048812866211
10.02,4.762367248535156
10.25,4.526313781738281
10.37,6.387628555297852
10.33,3.689565658569336
10.02,5.651037216186523
10.48,6.187471389770508
10.5,4.81593132019043
9.93,4.9170684814453125
10.16,5.500682830810547
10.13,6.937255859375
9.88,5.663082122802734
9.86,5.7759857177734375
10.23,6.472711563110352
10.1,6.187307357788086
10.04,4.728830337524414
10.24,6.439903259277344
10.33,4.781717300415039
9.96,5.504413604736328
10.12,5.353992462158203
10.22,5.30523681640625
10.53,4.526723861694336
10.15,5.110834121704102
10.27,4.9390411376953125
9.88,5.9430389404296875
9.94,6.9188385009765625
10.2,9.910755157470703
10.28,7.984893798828125
10.15,4.518665313720703
9.5,6.165641784667969
9.93,5.894786834716797
10.04,6.2366943359375
9.81,5.908592224121094
10.03,5.666860580444336
10.03,6.995767593383789
9.72,7.310567855834961
9.75,6.60222053527832
10.08,7.444925308227539
9.63,5.259538650512695
9.88,6.298192977905273
9.74,6.584001541137695
10.06,6.8702239990234375
9.94,7.256246566772461
9.74,1.2025070190429688
9.88,0.08503341674804688
10.15,1.1453285217285156
10.02,0.7891578674316406
10.0,0.6108818054199219
9.87,0.4107475280761719
10.23,1.3277931213378906
9.84,1.4262428283691406
10.2,0.587310791015625
9.64,1.4578933715820312
10.22,0.83056640625
10.7,1.5480995178222656
10.23,1.2613792419433594
10.34,0.09582901000976562
10.18,1.2694435119628906
10.25,1.1895408630371094
10.08,1.1726036071777344
10.14,5.914897918701172
10.23,4.314271926879883
9.94,7.055622100830078
10.25,9.399528503417969
10.0,7.622714996337891
10.28,4.226383209228516
10.02,5.524311065673828
10.33,5.436338424682617
10.18,4.506290435791016
10.08,4.556640625
10.06,4.522895812988281
10.29,4.46722412109375
10.43,6.159505844116211
10.26,5.790050506591797
10.2,4.378866195678711
9.78,6.352533340454102
9.97,4.670684814453125
10.23,5.111930847167969
10.13,5.212263107299805
10.38,4.198198318481445
10.35,5.6225433349609375
10.15,5.258710861206055
10.03,4.82954216003418
9.97,6.956829071044922
10.23,4.344980239868164
9.91,4.971040725708008
9.96,4.9185791015625
10.44,5.37939453125
9.98,4.726350784301758
10.18,4.400257110595703
10.09,4.820564270019531
9.85,5.103389739990234
10.2,4.478179931640625
10.0,5.776700973510742
9.79,5.0772552490234375
10.08,5.845043182373047
9.33,12.577751159667969
8.93,10.639896392822266
8.99,10.355148315429688
9.66,9.587810516357422
9.2,10.689781188964844
9.21,10.286224365234375
9.32,11.472251892089844
8.75,12.144454956054688
9.27,13.177791595458984
9.21,14.727783203125
9.17,13.284114837646484
9.33,11.72274398803711
9.63,11.902446746826172
9.57,12.204353332519531
9.27,12.634559631347656
8.97,13.015178680419922
8.96,13.530120849609375
8.96,20.798095703125
9.08,10.110557556152344
9.0,14.656356811523438
8.81,14.571033477783203
9.1,12.095699310302734
8.71,11.024982452392578
8.86,10.391616821289062
9.14,10.09786605834961
9.24,10.080947875976562
8.97,10.374492645263672
8.8,13.756698608398438
8.97,10.193115234375
9.06,11.771194458007812
8.96,12.07339096069336
8.79,9.972518920898438
8.64,13.643112182617188
9.19,11.35076904296875
8.53,11.048431396484375
8.79,9.651622772216797
8.68,13.547248840332031
8.93,11.751617431640625
9.01,9.985782623291016
8.91,10.005306243896484
9.1,11.044803619384766
9.03,12.837989807128906
8.96,14.744430541992188
9.4,12.289432525634766
9.0,9.967472076416016
8.44,11.996662139892578
8.85,13.144207000732422
9.3,14.106647491455078
8.95,12.715034484863281
9.06,9.683948516845703
9.01,11.778797149658203
8.91,10.205120086669922
9.56,9.069889068603516
9.68,8.436531066894531
9.28,9.316509246826172
8.94,11.203208923339844
9.01,9.41983413696289
9.63,9.34292221069336
9.03,10.02340316772461
9.41,8.890945434570312
9.35,8.847850799560547
9.49,7.484622955322266
8.96,17.73965835571289
9.57,12.094009399414062
8.79,13.063953399658203
8.98,13.38449478149414
8.88,12.808433532714844
8.85,13.219596862792969
8.84,12.668975830078125
8.94,15.63521957397461
8.88,11.440193176269531
9.09,11.459609985351562
9.21,9.46282958984375
9.05,3.6486549377441406
9.19,9.077960968017578
9.15,9.749530792236328
9.35,3.370838165283203
8.97,11.09804916381836
9.51,7.08087158203125
9.48,12.053478240966797
9.09,10.774444580078125
9.15,10.984748840332031
9.17,12.856266021728516
9.41,7.4304046630859375
9.4,8.997764587402344
8.96,12.90336799621582
8.97,9.361640930175781
9.33,9.371841430664062
8.75,15.233909606933594
9.33,8.089427947998047
9.6,8.740974426269531
9.03,3.854156494140625
9.09,10.799079895019531
8.91,12.91751480102539
9.19,2.6393356323242188
9.5,8.95126724243164
9.54,9.649818420410156
9.14,4.139900207519531
9.44,9.776382446289062
9.37,8.182842254638672
9.68,2.817707061767578
9.73,7.557071685791016
9.48,9.118499755859375
9.63,3.972278594970703
9.21,9.646060943603516
9.19,8.514148712158203
9.17,1.4428253173828125
9.22,9.60348129272461
9.27,7.606952667236328
9.58,10.591291427612305
9.79,8.372844696044922
9.07,10.451549530029297
9.21,8.171676635742188
9.09,8.461784362792969
8.87,11.270877838134766
9.02,9.762535095214844
9.2,9.57996940612793
9.34,9.05282211303711
9.48,10.747188568115234
8.91,8.38186264038086
9.49,8.573341369628906
9.32,9.300617218017578
9.08,9.674236297607422
9.05,9.451763153076172
8.97,12.451179504394531
9.34,11.158187866210938
9.14,10.419807434082031
9.02,13.172477722167969
8.95,9.871208190917969
8.94,11.09701919555664
9.17,9.956634521484375
9.28,9.372047424316406
9.49,7.793212890625
9.5,7.782016754150391
9.34,10.750160217285156
9.54,8.597057342529297
8.86,12.018253326416016
8.77,9.642845153808594
9.32,8.47872543334961
9.16,9.509956359863281
8.83,10.154914855957031
8.99,11.143852233886719
9.0,9.783985137939453
8.98,12.622074127197266
9.16,14.093498229980469
9.25,11.960811614990234
8.84,8.681156158447266
8.85,9.832019805908203
8.93,11.464897155761719
9.24,9.619243621826172
9.46,8.059234619140625
9.25,10.98526382446289
9.1,9.965717315673828
9.13,9.701812744140625
9.05,9.24868392944336
9.16,10.930099487304688
8.79,9.95626449584961
9.26,10.837646484375
9.33,9.130664825439453
9.16,9.678852081298828
9.36,9.395452499389648
9.08,9.431297302246094
9.29,10.60965347290039
9.21,9.305274963378906
8.97,8.326202392578125
9.27,9.181791305541992
9.25,8.082950592041016
9.41,8.515592575073242
9.08,9.576154708862305
9.27,8.925365447998047
9.39,8.995719909667969
9.29,9.591567993164062
