FOC,PERC
18.327045,14.832000000000003,23.564224
33.463226,35.568,5.917607
16.451757,14.688000000000002,12.008154
15.799858,14.112,11.960442
28.8209,36.144,20.260902
30.600386,28.080000000000002,8.975733
28.447388,36.432,21.91648
25.635574,21.744,17.897236
29.258259,28.656,2.1016843
27.198471,32.4,16.054106
22.892487,20.592000000000002,11.171755
40.63741,40.464,0.4285501
34.11988,35.856,4.841919
32.55888,30.384000000000004,7.1579747
40.131325,39.744,0.97455037
33.942722,35.136,3.3961725
25.181652,19.439999999999998,29.535242
29.382607,28.224,4.1050367
28.448402,28.080000000000002,1.3119746
6.12171,6.192,1.1351758
25.228672,23.471999999999998,7.484117
29.09459,27.936,4.1472955
19.177061,14.4,33.174038
22.906307,22.032000000000004,3.9683535
15.719099,14.256,10.263043
16.550737,15.696000000000002,5.445574
24.411077,21.887999999999998,11.527216
29.359673,28.368000000000002,3.4957435
31.148815,34.128,8.72944
32.729954,35.136,6.8478136
29.065344,35.856,18.938686
28.586372,36.432,21.534988
25.893219,20.304,27.52767
15.789755,15.408000000000001,2.4776406
18.566998,16.128000000000004,15.12275
34.1203,34.992000000000004,2.4911416
5.2800994,5.328,0.8990367
16.748396,15.552000000000001,7.692875
29.370007,27.792,5.677917
22.5911,22.752,0.70719105
33.08262,36.144,8.469959
30.284786,33.84,10.505951
27.5439,34.272,19.631477
25.277126,23.327999999999996,8.355312
29.27101,29.232,0.13344654
34.319416,33.120000000000005,3.6214285
31.353657,33.84,7.3473506
14.076859,27.648000000000003,49.085434
21.837622,20.592000000000002,6.0490613
26.817436,25.488000000000007,5.2159266
23.176186,22.176,4.510214
5.116247,4.752000000000001,7.6651373
30.149849,27.504,9.619871
20.775715,14.976000000000003,38.72673
30.371204,31.104000000000003,2.3559532
19.888462,24.912000000000003,20.165134
30.030834,38.44799999999999,21.89234
35.61731,35.856,0.66568893
25.401966,27.360000000000003,7.156559
28.261696,28.512,0.8778875
24.818918,21.024,18.05041
29.321968,29.52,0.6708414
34.122185,31.536,8.200741
33.764053,31.68,6.5784497
35.531384,29.663999999999998,19.779476
9.234249,12.384000000000002,25.434034
19.118092,18.0,6.21162
35.79107,31.968,11.959048
20.93294,19.583999999999996,6.8879695
27.452427,25.488000000000007,7.707258
28.217484,27.648000000000003,2.0597613
5.87022,6.336,7.3513227
21.267426,16.560000000000002,28.426487
22.396828,22.464,0.29902512
28.747175,28.080000000000002,2.3759804
26.838203,26.928000000000004,0.33346727
23.184528,19.871999999999996,16.669327
21.817657,22.32,2.2506373
26.398111,25.632000000000005,2.9888864
39.56982,39.168,1.0258914
27.338692,27.504,0.60103256
16.71316,21.168,21.045162
38.553394,37.44,2.9738133
17.908785,17.856,0.29560912
34.70024,32.544,6.625622
19.996735,15.696000000000002,27.400196
28.717976,36.288,20.860954
17.737953,14.688000000000002,20.764933
30.331627,28.368000000000002,6.9219785
33.108116,37.44,11.5702
17.506298,17.712,1.1613699
30.09299,36.288,17.071781
16.003712,14.832000000000003,7.8998914
26.602581,20.304,31.021374
39.603508,40.032,1.0703775
30.39212,32.4,6.197164
25.930775,22.752000000000002,13.971403
27.275335,27.072000000000003,0.751089
28.787846,27.936,3.0492725
19.73851,17.712,11.441454
39.89274,41.760000000000005,4.4714084
29.0957,27.792,4.6909165
28.724058,27.936,2.8209383
9.633987,14.832000000000003,35.04593
34.76245,31.824,9.233446
3.660078,5.76,36.45698
33.751057,34.992000000000004,3.5463645
32.45427,30.24,7.3223205
32.634827,44.352,26.418594
18.112228,16.560000000000002,9.3733635
29.246521,28.368000000000002,3.096873
30.113602,39.168,23.116823
30.246876,27.072000000000003,11.727524
17.113369,14.832000000000003,15.3814
26.30088,27.504,4.374343
30.97882,33.984,8.842926
36.99296,40.176,7.922732
14.540179,13.968,4.0963545
22.490688,28.944,22.295853
20.647875,19.727999999999998,4.6627846
25.06192,27.504,8.878998
29.408886,20.736,41.82526
19.14573,28.512,32.850273
21.58707,16.128000000000004,33.8484
32.884483,29.232,12.49481
30.00481,33.984,11.709012
5.0116615,5.328,5.937285
28.491964,36.144,21.170973
26.473412,27.072000000000003,2.2110999
17.447155,14.688000000000002,18.785099
25.591248,21.168,20.89592
19.107527,18.144,5.310448
19.372456,21.168,8.482349
32.44519,36.288,10.589748
31.88633,38.44799999999999,17.066353
18.958948,14.4,31.659365
24.567997,22.895999999999997,7.3025727
28.439194,27.360000000000003,3.9444194
35.872955,33.84,6.0075507
34.690407,34.416000000000004,0.7973223
35.931854,35.42399999999999,1.4336452
32.42215,34.128,4.998385
22.373192,26.352000000000004,15.098693
25.34246,22.464,12.813656
28.179167,28.512,1.1673414
6.2845197,7.2,12.715003
31.864334,27.936,14.061902
19.598186,26.784000000000002,26.828754
27.601276,27.936,1.1981831
31.439266,28.224,11.391954
29.269762,21.6,35.508156
21.132072,14.976000000000003,41.106255
39.984104,40.032,0.11964763
5.278082,5.04,4.723848
39.90892,41.04,2.7560444
22.179344,26.064000000000004,14.904293
24.418697,25.632000000000005,4.7335463
18.17063,15.120000000000001,20.17612
28.695396,26.784000000000002,7.1363354
35.941704,34.848,3.1384993
4.298744,5.328,19.317865
29.005726,31.68,8.441523
29.62487,38.016,22.072624
21.1125,20.016,5.47811
19.567263,20.448,4.307205
20.726028,21.456,3.4021764
18.970303,14.832000000000003,27.901178
20.401672,19.296,5.7300625
15.220481,14.112,7.854878
21.007942,20.016,4.9557424
39.961113,40.896,2.2860105
35.08846,33.12,5.9434185
16.157295,15.408000000000001,4.863027
19.028053,14.976000000000003,27.05698
29.497782,27.792,6.1376724
6.3515787,5.328,19.21131
19.567911,18.863999999999997,3.7315032
24.65187,19.296,27.756382
28.813171,28.656,0.54847586
32.09979,28.368000000000002,13.154924
31.273893,32.544,3.9027328
29.070917,27.936,4.062558
28.129684,33.264,15.435052
16.570007,20.880000000000003,20.641726
24.76218,20.448,21.098299
27.82822,31.68,12.158396
16.573456,13.535999999999998,22.43983
19.384672,17.712,9.443724
32.778908,36.144,9.310241
28.351728,28.656,1.061808
38.87803,40.176,3.2307096
18.105413,14.976000000000003,20.896193
15.082389,14.544000000000002,3.701796
24.67432,27.504,10.288247
18.288979,14.688000000000002,24.51647
25.297775,27.504,8.021468
6.2625875,4.895999999999999,27.91233
40.884693,40.752,0.32561406
17.78318,14.4,23.49431
27.71234,30.096000000000004,7.9201927
26.329472,22.607999999999997,16.460863
24.195095,17.28,40.017906
30.4351,26.640000000000004,14.245875
29.927559,35.424,15.5161495
17.642159,14.256,23.752518
18.70439,17.712,5.6029224
40.101845,40.896,1.9418895
29.060604,27.216,6.777647
30.694624,37.727999999999994,18.642326
33.345184,39.88799999999999,16.40297
22.917305,22.464,2.0179143
14.553721,18.432,21.041004
32.20589,36.432,11.599991
3.3629339,5.6160000000000005,40.118702
3.674365,5.328,31.036694
36.97769,45.647999999999996,18.993837
28.33231,21.024,34.761745
25.28962,23.183999999999997,9.08221
33.556225,35.568,5.6561403
19.238333,27.936,31.134262
32.754105,27.936,17.246935
19.352478,14.976000000000003,29.223278
26.26553,26.784000000000002,1.935748
21.405064,18.144,17.97324
26.017876,27.216,4.402278
16.446735,15.696000000000002,4.7829723
7.4474206,4.464,66.832886
28.746841,27.648000000000003,3.9743948
18.635155,13.968,33.41319
15.475719,14.112,9.663542
4.988157,5.04,1.0286342
26.270273,23.04,14.020279
31.790306,37.007999999999996,14.098826
26.087816,27.648000000000003,5.6430283
28.880306,27.216,6.115177
6.1345425,5.183999999999999,18.336082
29.069546,26.928000000000004,7.952861
6.9152126,5.76,20.055769
29.69922,27.936,6.3116403
25.73162,22.032,16.792034
32.96425,35.424,6.9437423
17.906925,14.688000000000002,21.915344
29.027418,27.072000000000003,7.223026
34.672897,33.12,4.688703
29.876396,33.55200000000001,10.954942
34.232506,36.144,5.2885547
19.44788,25.200000000000006,22.825876
16.745129,21.6,22.476257
23.841301,17.28,37.970486
24.119907,20.16,19.642399
30.09571,36.576,17.717327
24.244583,17.568,38.004223
25.63134,21.024,21.914669
34.95655,33.55200000000001,4.1861963
4.061933,4.895999999999999,17.035679
15.349121,14.256000000000004,7.6678
15.742701,16.128000000000004,2.389011
35.126427,29.808,17.842278
35.152527,33.408,5.2218804
28.42013,37.007999999999996,23.20544
29.963558,36.0,16.767893
25.902155,20.735999999999997,24.91394
28.342894,22.752,24.573193
5.578253,5.472,1.9417521
31.224026,28.080000000000002,11.196672
30.848965,39.16799999999999,21.239367
31.007992,28.368000000000002,9.3062315
16.621492,15.408000000000001,7.8757296
33.916195,31.68,7.058695
19.493927,25.488000000000007,23.517237
25.026203,17.856,40.1557
28.476782,25.488000000000003,11.726228
19.897408,20.592,3.3731136
20.246021,27.072000000000003,25.214165
31.098984,35.136,11.48969
31.18106,32.544,4.1879854
20.262245,19.439999999999998,4.2296534
33.828506,36.144,6.4063044
23.908852,18.863999999999997,26.743275
18.633057,26.496000000000002,29.675964
32.4527,29.808000000000003,8.872454
34.66571,35.28,1.7411802
6.2165504,5.04,23.344254
30.585655,32.544,6.0175257
31.421173,31.68,0.81700504
