Basis,Coeff
(Intercept),182.192
h(x0-12.63),8.78424
h(12.63-x0),-3.82108
h(90.4-x6),0.190765
h(6.47-x5),-1.793
h(x1-11.63),2.94287
h(11.63-x1),-7.65315
h(137.61-x6),-0.295347
h(195.3-x4),0.0284762
h(106.39-x6),0.696127
x3,0.368691
h(x6-100.46),-0.503536
h(x2-0.69),196.106
h(0.69-x2),2.32939
h(x6-10.36),-0.307473
h(x6-64.3),0.289127
h(x6-303.55),-0.641621
h(310.49-x6),3.73425
h(x6-287.18),1.53306
h(287.18-x6),-1.24961
h(308.01-x6),-3.22697
h(306.33-x4),-0.0145366
h(x6-60.23),-0.202458
