FOC_pred,FOC_act,PERC,stw,draft,trim,sensor_wind_speed,sensor_wind_dir,comb_waves_height,comb_waves_dir
26.0,28.0,5.046906,11.498,11.442,0.396,4.880000000000001,101.64200000000001,0.66,11.35
18.0,18.0,0.9449853,10.425999999999998,4.857,-1.7860000000000003,10.248999999999999,307.248,1.19,66.80000000000001
41.0,40.0,0.54133314,13.532,11.55,0.311,22.018,21.051000000000002,1.41,325.34000000000003
22.0,23.0,2.9231844,11.206,4.816000000000001,-1.841,13.738999999999999,327.376,1.185,34.21
34.0,36.0,5.353368,12.498,11.382000000000001,0.434,16.984,54.057,1.3799999999999997,346.62
20.0,20.0,0.6844385,10.747,4.807,-1.8250000000000004,12.446000000000002,209.57600000000002,1.345,94.515
29.0,30.0,4.5291505,11.336,11.427999999999999,0.256,11.689,58.3,1.959,112.5
38.0,39.0,3.4594457,12.665000000000001,9.581999999999999,-0.007000000000000006,24.79,24.253000000000004,2.2800000000000002,296.175
33.0,31.0,7.71484,13.886,4.851999999999999,-1.246,8.261,200.51000000000002,0.8800000000000001,153.45
29.0,30.0,0.40372214,11.663,11.436,0.44300000000000006,11.695,125.15799999999999,0.618,259.73400000000004
37.0,40.0,7.323991,14.009,11.568999999999999,0.368,11.069999999999999,27.078999999999997,0.63,250.37999999999997
29.0,29.0,0.4672509,11.853,11.509,0.529,10.517,70.969,0.93,295.05999999999995
15.0,14.0,5.056535,10.565000000000001,4.369999999999999,-2.059,4.943,8.242,0.33999999999999997,174.84
39.0,35.0,11.127627,14.520999999999997,4.747,-1.325,16.355999999999998,41.620999999999995,4.359,195.167
17.0,15.0,10.811545,10.611,4.906999999999999,-2.2619999999999996,7.172999999999999,26.698,0.9600000000000002,84.12000000000002
23.0,22.0,0.8433802,11.209,7.458,-0.8870000000000001,8.378,339.538,1.028,113.104
39.0,40.0,1.3868544,15.107999999999999,4.832999999999999,-1.495,14.279,38.809,3.0599999999999996,185.83999999999997
20.0,20.0,0.41099647,11.059999999999999,4.804,-1.8279999999999998,8.055000000000001,320.682,1.17,70.19
24.0,23.0,5.753077,10.361,11.465,0.575,10.326,140.51299999999998,1.16,258.47
31.0,28.0,12.03809,12.038,11.486999999999998,0.49099999999999994,9.765,61.073,2.5599999999999996,265.92999999999995
3.0,5.0,36.10905,7.18,4.411,-1.73,6.549000000000001,32.106,0.585,184.57599999999996
18.0,16.0,11.39335,10.817,5.060999999999999,-1.8519999999999999,6.029999999999999,318.59000000000003,0.307,201.14
36.0,40.0,9.068532,14.547,4.837000000000001,-1.3430000000000002,8.428999999999998,313.5179999999999,2.1000000000000005,192.52000000000004
37.0,38.0,3.637416,14.912,4.84,-1.3910000000000002,10.474,153.451,1.3599999999999999,182.64499999999998
31.0,28.0,8.295858,11.512,11.519,0.508,15.514,51.056,1.48,35.07000000000001
17.0,14.0,22.30013,10.675,4.339,-2.0629999999999997,7.021000000000001,340.139,0.788,184.34
25.0,23.0,8.15358,10.705000000000002,11.463000000000003,0.5590000000000002,7.093000000000001,173.382,0.82,271.40000000000003
3.0,5.0,34.150295,7.267,4.399,-1.7399999999999998,6.093000000000001,18.261000000000003,0.525,210.275
41.0,41.0,0.10463926,13.953999999999999,11.547999999999998,0.258,19.465,46.616,1.43,346.21999999999997
16.0,18.0,10.170827,10.448,4.299999999999999,-2.18,6.101999999999999,304.93500000000006,1.0500000000000003,88.50999999999999
22.0,23.0,5.850852,11.267999999999999,4.824,-1.8439999999999999,11.812000000000001,240.05300000000003,0.9200000000000002,58.39
36.0,33.0,8.766212,11.639,11.507000000000001,0.049,25.821999999999996,32.428,2.3920000000000003,292.25399999999996
31.0,33.0,4.1995516,13.832000000000003,4.536,-1.2029999999999998,15.232,6.645999999999999,0.06000000000000001,117.33
27.0,28.0,1.2605879,11.722000000000001,11.448,0.403,4.314,87.33200000000001,1.374,7.014
22.0,22.0,2.201921,11.571,4.83,-1.8869999999999998,9.843,333.931,1.23,75.32000000000001
31.0,33.0,6.5480285,13.682999999999998,4.877,-1.282,2.572,167.25,0.9,160.82000000000002
38.0,37.0,2.8602836,13.422999999999998,11.540000000000001,0.33799999999999997,18.577999999999996,27.374000000000002,1.062,340.11
30.0,28.0,5.949417,12.076000000000002,11.509,0.5229999999999999,8.379999999999999,62.980999999999995,1.77,287.47
1.0,5.0,72.34304,7.141999999999999,4.4399999999999995,-1.746,2.2039999999999997,352.727,0.37,182.169
3.0,5.0,38.86581,7.209999999999999,4.412999999999999,-1.741,5.809,54.535000000000004,0.5999999999999999,181.84
37.0,39.0,6.7194543,14.699000000000002,4.806,-1.3530000000000002,7.111,284.66999999999996,2.0799999999999996,219.78000000000003
7.0,9.0,23.002432,7.7379999999999995,6.31,-0.685,6.5,81.619,0.9949999999999999,220.56199999999998
34.0,35.0,3.730229,10.987,11.513,0.093,22.934000000000005,41.769,3.6800000000000006,327.37
20.0,20.0,0.9357929,10.821,4.804,-1.8380000000000003,12.416999999999998,330.846,1.32,57.36999999999999
42.0,41.0,1.5151986,13.762,11.548,0.302,21.672,21.977,1.638,310.84000000000003
35.0,33.0,7.392846,11.922,11.505,0.051000000000000004,19.996000000000002,23.732999999999997,2.6340000000000003,146.40800000000002
31.0,37.0,13.954724,10.437999999999999,11.405999999999999,-0.119,21.607999999999997,38.43,3.54,4.94
22.0,18.0,19.34842,10.021,11.519,0.539,9.327,76.11300000000001,0.79,29.529999999999994
29.0,27.0,7.524684,13.184999999999999,4.91,-1.1889999999999998,4.5040000000000004,311.389,1.188,225.36599999999999
