Basis,Coeff
(Intercept),710.212
h(9.19-x0),16.7582
h(11.91-x1),22.9484
h(x4-338.53),-1.55357
h(338.53-x4),1.16227
h(x2-0.5),-61.4093
h(0.5-x2),-15.6362
h(352.53-x4),-4.73314
h(x4-299.65),-0.732318
h(x5-4.34),10.0849
h(4.34-x5),-0.685277
h(x4-347.59),2.36712
h(32.36-x4),0.104254
h(x1-12.91),-162.192
h(12.91-x1),-11.7938
h(330.98-x4),0.768235
h(x6-269.99),-0.565078
h(x6-287.97),0.130457
h(233.11-x6),-1.59199
h(x6-235.64),1.67406
h(x6-266.72),0.388368
h(x4-75.69),-0.151943
h(50.13-x4),0.170074
x3,0.286326
h(287.23-x4),0.358837
h(12.47-x4),1.68773
h(x4-19.38),-0.551007
h(x0-8.63),3.20344
h(8.63-x0),-20.6332
h(x2+1.23),-18.9539
h(11.03-x4),-1.24973
h(354.67-x4),1.75237
x6,-1.59793
