FOC_pred,FOC_act,PERC,stw,draft,trim,sensor_wind_speed,sensor_wind_dir,comb_waves_height,comb_waves_dir
21.29,15.33,38.845634,,,,,,,
33.95,17.67,92.18587,,,,,,,
20.32,17.8,14.1393585,,,,,,,
21.79,12.2,78.57174,,,,,,,
30.45,14.8,105.71721,,,,,,,
10.81,15.33,29.488003,,,,,,,
19.72,11.27,75.067894,,,,,,,
20.93,18.93,10.5295925,,,,,,,
29.98,18.07,65.924065,,,,,,,
22.76,17.93,26.93933,,,,,,,
15.04,10.47,43.677097,,,,,,,
20.59,15.47,33.129543,,,,,,,
10.71,20,46.47242,,,,,,,
33.35,18.53,79.93311,,,,,,,
35.99,11.27,219.40231,,,,,,,
12.56,17.6,28.61763,,,,,,,
18.2,18.53,1.7916076,,,,,,,
21.19,19.13,10.736253,,,,,,,
13,10.6,22.676205,,,,,,,
13.05,16.8,22.32118,,,,,,,
12.94,13.27,2.497321,,,,,,,
11.09,12.93,14.25835,,,,,,,
19.16,11.2,71.073845,,,,,,,
12.59,17.2,26.820187,,,,,,,
15.08,16.67,9.491462,,,,,,,
14.14,14.8,4.4655156,,,,,,,
23.15,16.93,36.74144,,,,,,,
14.16,10.93,29.53079,,,,,,,
13.07,13.87,5.7656007,,,,,,,
15.61,15.2,2.7046454,,,,,,,
11.19,11.6,3.5228648,,,,,,,
22.64,15.6,45.10697,,,,,,,
22.99,15.27,50.578415,,,,,,,
16.51,10.47,57.731956,,,,,,,
4.04,10.27,60.609562,,,,,,,
19.6,12.4,58.024532,,,,,,,
19.54,13.13,48.75928,,,,,,,
13.67,11.27,21.308874,,,,,,,
20.19,18.13,11.364088,,,,,,,
11.17,18.47,39.516903,,,,,,,
22.37,19.27,16.105213,,,,,,,
29.02,15.73,84.426735,,,,,,,
11.43,10.2,12.010117,,,,,,,
20.57,12.6,63.267433,,,,,,,
15.78,18.27,13.603313,,,,,,,
22.04,13.87,58.963043,,,,,,,
13.32,15.2,12.380487,,,,,,,
14.32,18.87,24.088009,,,,,,,
34.68,19.67,76.356735,,,,,,,
23.62,19.27,22.603992,,,,,,,
11.5,15.6,26.284393,,,,,,,
12.78,12.4,3.0570955,,,,,,,
12.78,11.87,7.6675572,,,,,,,
16.74,12.6,32.861877,,,,,,,
11.59,13.47,13.943331,,,,,,,
10.86,18.6,41.599266,,,,,,,
