Basis,Coeff
<<<<<<< HEAD
(Intercept),-137.115
h(x6-51.54),-0.131309
h(80.68-x4),0.120263
x5,4.96161
h(x4-261.74),-0.0462461
h(261.74-x4),-0.0573558
h(-1.35-x2),-15.5031
h(38.05-x4),-0.189456
h(x1-5.11),-158.833
h(5.11-x1),-6.60157
h(-0.87-x2),11.1518
h(x0-7.61),5.93771
h(10.08-x4),0.152241
h(x6-173.15),1.81712
h(173.15-x6),-2.23915
h(x6-179.25),0.312135
h(x6-254.16),-2.0465
h(241.65-x6),1.01892
h(259.65-x6),1.08049
h(109.12-x4),0.063817
=======
(Intercept),39.678
h(x0-15.73),-7.08827
h(15.73-x0),-4.68607
h(224.61-x4),-0.0108153
h(185.08-x6),-0.428115
h(230.13-x6),0.139628
h(x4-301.91),-0.0501297
h(177.6-x6),0.315135
x3,0.0973381
h(x6-282.12),-0.0837898
h(0.48-x4),-4.16517
x2,1.05674
h(141.81-x6),-0.0294861
h(x6-195.53),0.0539383
>>>>>>> 3079fad7b133f9832220e9899597abb31f8bdb3e
