FOC_pred,FOC_act,PERC,stw,draft,trim,sensor_wind_speed,sensor_wind_dir,comb_waves_height,comb_waves_dir
28.0,27.0,2.5113423,11.58,11.43,0.39,4.57,89.27,0.66,11.38
18.0,17.0,5.0854793,10.33,4.88,-1.79,10.32,304.79,1.19,66.43
41.0,40.0,0.6202289,14.07,11.54,0.29,21.05,24.28,1.41,325.46
24.0,23.0,2.0270958,11.18,4.81,-1.84,13.48,330.31,1.46,39.4
33.0,35.0,3.443636,12.49,11.39,0.44,17.28,58.63,1.38,346.39
18.0,20.0,10.969838,10.62,4.83,-1.8,12.79,35.13,1.34,159.39
28.0,27.0,4.129368,11.77,11.44,0.4,6.35,58.51,1.23,12.57
34.0,36.0,4.5508385,14.19,4.79,-1.33,9.84,31.01,2.14,162.59
32.0,30.0,6.1550913,13.85,4.86,-1.25,10.39,31.11,0.88,49.61
29.0,29.0,0.8610951,11.38,11.42,0.45,11.71,138.71,0.58,329.25
38.0,39.0,2.766097,13.71,11.58,0.36,9.26,30.41,0.63,250.41
29.0,27.0,7.491969,12.06,11.51,0.49,9.7,71.05,0.93,294.93
14.0,14.0,0.68942046,10.52,4.37,-2.06,4.61,4.28,0.34,174.82
36.0,37.0,4.038108,14.5,4.75,-1.29,16.77,4.7,4.35,199.56
16.0,14.0,7.869608,10.6,4.9,-2.25,7.21,27.9,0.96,85.36
28.0,27.0,1.1208322,11.83,11.4,0.5,5.98,348.75,0.62,189.81
36.0,39.0,8.672461,14.74,4.84,-1.5,14.82,2.25,3.06,187.26
21.0,19.0,10.341427,11.17,4.83,-1.82,8.15,322.75,1.17,70.21
23.0,23.0,0.8231815,10.17,11.46,0.56,9.82,139.34,1.16,260.11
28.0,27.0,3.9326098,11.79,11.48,0.51,10.02,64.0,2.56,265.62
5.0,6.0,12.080396,7.06,4.41,-1.72,5.98,36.56,0.45,173.7
15.0,13.0,16.42938,10.88,4.34,-2.05,4.63,352.19,0.29,210.75
39.0,40.0,2.6468341,14.62,4.84,-1.34,8.74,309.69,2.1,192.53
39.0,39.0,1.2534734,14.8,4.81,-1.47,19.23,5.46,1.28,273.13
28.0,27.0,2.0937123,11.75,11.52,0.49,16.03,50.68,1.48,35.25
15.0,14.0,4.1051173,10.79,4.34,-2.05,6.5,345.92,0.62,184.85
24.0,22.0,10.44985,10.71,11.44,0.59,5.92,212.59,0.82,271.14
5.0,4.0,22.11725,7.29,4.4,-1.74,5.94,16.46,0.57,194.57
41.0,42.0,2.103199,14.04,11.55,0.27,20.17,45.77,1.43,346.24
18.0,20.0,13.165437,10.03,4.32,-2.18,5.5,305.47,1.05,86.87
24.0,23.0,5.210158,11.48,4.78,-1.81,12.22,331.6,0.92,26.79
34.0,33.0,1.582512,11.63,11.53,0.0,25.28,32.24,1.78,314.82
32.0,33.0,3.5207398,13.63,4.54,-1.06,15.85,10.79,0.06,117.67
28.0,27.0,3.9380543,11.72,11.45,0.41,4.17,79.67,1.25,3.33
22.0,22.0,0.88675815,11.42,4.81,-1.87,9.66,336.42,1.23,75.23
30.0,33.0,9.095225,13.36,4.88,-1.25,2.31,170.03,0.9,164.41
41.0,40.0,2.3110423,13.62,11.57,0.29,20.75,19.63,1.02,351.59
29.0,29.0,0.21441779,11.96,11.51,0.51,8.81,64.35,1.77,287.37
5.0,7.0,24.7351,7.14,4.44,-1.75,1.86,351.86,0.44,181.45
5.0,4.0,16.430815,7.21,4.41,-1.76,6.29,59.61,0.6,180.14
39.0,40.0,2.053096,14.93,4.78,-1.35,6.12,270.5,2.08,218.58
24.0,23.0,5.927425,10.22,11.46,0.61,12.14,138.89,1.17,259.3
35.0,36.0,4.0959673,11.26,11.53,0.07,24.86,37.45,3.68,326.17
21.0,20.0,2.0051193,10.94,4.81,-1.84,12.26,331.72,1.32,57.36
40.0,43.0,6.5208807,13.64,11.55,0.32,21.34,20.26,1.35,316.56
34.0,33.0,1.3977779,12.35,11.53,0.01,20.17,21.74,2.69,0.04
36.0,36.0,0.092315674,10.61,11.43,0.03,21.56,39.5,3.54,4.9
20.0,19.0,4.2761087,9.94,11.52,0.54,10.08,78.97,0.79,29.54
29.0,26.0,11.832934,13.14,4.91,-1.19,4.23,294.97,1.18,228.13
21.0,20.0,5.5929594,11.33,4.83,-1.85,8.27,329.73,1.31,55.09
27.0,26.0,2.8063266,11.2,9.11,0.64,13.77,19.91,0.86,51.03
30.0,29.0,3.4398835,11.7,11.51,0.52,16.32,61.51,1.27,344.19
34.0,30.0,12.772581,14.3,4.86,-1.27,7.34,358.02,1.16,196.92
26.0,26.0,0.2977583,12.6,4.34,-2.36,6.93,316.43,0.87,103.93
17.0,17.0,0.4868816,11.37,4.34,-2.17,5.81,23.37,1.05,161.18
37.0,36.0,1.4359262,9.97,11.47,-0.05,24.32,32.13,3.58,1.94
37.0,35.0,5.7128625,14.49,4.8,-1.36,18.27,8.31,3.64,196.32
29.0,27.0,7.7887373,11.92,11.42,0.41,13.8,54.25,0.85,355.58
28.0,29.0,3.1595297,11.59,11.49,0.47,13.4,65.41,1.52,30.4
37.0,36.0,1.4206569,10.11,11.36,0.0,24.02,31.0,3.95,1.93
23.0,24.0,6.4370832,10.07,11.46,0.56,9.73,140.02,1.14,260.23
29.0,27.0,5.686792,11.91,11.5,0.49,13.08,54.42,1.26,344.57
14.0,13.0,11.614922,10.38,4.38,-2.06,1.62,20.11,1.44,185.33
36.0,36.0,0.95174575,10.44,11.33,-0.29,22.73,37.73,3.73,1.52
36.0,37.0,4.931821,13.95,4.88,-1.37,11.56,8.16,1.27,27.17
5.0,6.0,7.0230246,7.46,4.39,-1.73,4.69,25.56,0.55,176.54
28.0,29.0,1.0516578,11.21,11.48,0.54,14.48,64.38,1.61,32.87
25.0,22.0,16.457178,10.68,9.11,0.7,13.75,19.9,0.31,107.45
31.0,35.0,9.301707,12.12,11.4,0.44,17.31,58.89,1.34,343.91
39.0,40.0,2.8079653,14.29,11.53,0.35,14.08,39.07,0.88,266.13
41.0,40.0,1.1219865,13.77,11.51,0.38,18.83,27.35,1.5,335.05
20.0,20.0,2.6137774,10.66,4.85,-1.85,11.55,322.1,1.32,48.8
17.0,14.0,21.320953,11.11,4.91,-2.31,7.28,8.66,1.0,134.13
28.0,27.0,3.2892003,11.84,11.48,0.47,9.85,71.26,2.98,269.07
29.0,29.0,0.7618931,11.38,11.47,0.51,15.65,60.83,1.41,26.06
6.0,6.0,2.0993004,7.17,5.01,-1.0,5.06,10.72,1.23,222.09
29.0,27.0,4.65407,11.92,11.52,0.53,7.84,71.48,1.23,294.69
19.0,17.0,12.22564,10.76,4.86,-1.79,10.8,331.73,1.23,75.33
34.0,36.0,5.25145,14.22,4.86,-1.32,8.31,334.77,1.18,220.1
28.0,27.0,2.5658927,11.57,11.44,0.41,1.95,96.89,1.42,9.91
28.0,27.0,2.9866319,11.33,11.49,0.5,14.85,61.03,1.62,39.21
29.0,26.0,13.793765,13.15,4.31,-2.39,5.81,311.93,0.87,97.13
36.0,35.0,4.472015,14.99,4.62,-1.06,5.97,5.48,0.11,21.8
28.0,27.0,3.8321533,11.93,11.49,0.52,15.75,354.17,2.84,154.07
39.0,39.0,0.70388424,14.74,4.86,-1.42,6.63,317.75,1.32,199.32
28.0,29.0,2.2411082,11.69,11.51,0.5,7.79,59.25,1.23,295.19
32.0,30.0,7.151088,12.09,11.42,0.42,16.31,52.76,1.3,359.55
34.0,33.0,1.4260656,12.35,11.47,0.01,17.19,39.83,2.28,326.37
28.0,27.0,1.5553396,11.82,11.42,0.51,6.28,340.03,0.94,178.55
15.0,14.0,6.2710977,10.9,4.34,-2.06,7.22,347.16,0.62,184.75
36.0,37.0,3.1599839,14.35,4.8,-1.34,4.12,171.07,1.26,148.9
14.0,14.0,3.4022663,10.4,4.35,-2.05,2.55,349.04,0.52,180.2
33.0,33.0,1.0941801,11.84,11.5,0.1,19.24,39.83,2.04,324.35
37.0,37.0,0.8866421,15.26,4.75,-1.25,17.45,5.75,4.36,193.69
16.0,16.0,1.6794059,11.02,4.36,-2.12,4.35,16.89,0.96,164.2
34.0,35.0,1.0385004,14.46,4.84,-1.41,12.95,3.99,1.69,178.0
40.0,40.0,1.6131192,13.95,11.51,0.4,12.39,23.51,1.63,343.2
28.0,27.0,2.1122491,11.34,11.5,0.49,15.42,58.91,1.66,41.38
15.0,16.0,5.286119,10.61,4.38,-2.15,4.83,8.41,0.85,159.31
28.0,27.0,2.1154072,11.24,11.49,0.52,15.57,66.12,1.61,32.67
17.0,17.0,2.1406896,11.1,4.34,-2.16,5.38,44.04,1.19,139.8
6.0,9.0,34.259354,7.43,4.44,-1.81,3.75,351.57,1.05,179.36
36.0,36.0,0.72997415,10.34,11.46,-0.03,23.2,28.1,4.31,355.09
6.0,4.0,35.61161,7.4,4.99,-1.0,6.62,34.07,0.61,274.74
28.0,26.0,6.287098,11.73,11.4,0.49,3.89,312.12,0.74,185.76
14.0,14.0,0.0052849455,10.48,4.35,-2.05,4.44,324.94,0.52,181.0
20.0,22.0,8.539005,11.78,4.31,-2.27,3.36,347.15,0.78,123.25
39.0,40.0,2.4653049,13.7,4.77,-1.13,14.25,284.32,2.57,277.49
28.0,30.0,6.261276,11.77,11.43,0.42,7.99,107.35,0.99,354.65
39.0,40.0,3.6703691,13.44,11.53,-0.05,16.11,17.95,0.75,263.57
19.0,19.0,2.7885804,11.69,4.37,-2.23,4.51,53.16,1.55,187.51
39.0,39.0,1.5731504,13.92,4.73,-1.09,13.14,271.74,2.57,270.09
5.0,4.0,24.240646,7.13,5.02,-1.03,4.06,33.55,0.59,174.47
32.0,33.0,1.874569,14.04,4.89,-1.32,3.51,117.32,1.0,191.14
30.0,29.0,3.7316084,11.69,11.45,0.46,10.56,138.65,1.3,311.88
40.0,39.0,4.0038624,13.72,11.55,0.28,23.22,20.1,1.41,322.36
15.0,14.0,3.3803782,10.56,4.34,-2.06,5.02,54.34,0.98,152.21
35.0,36.0,2.9341378,11.23,11.54,0.09,26.0,29.99,3.82,357.2
28.0,27.0,2.7244341,11.64,11.42,0.39,4.19,94.33,0.7,357.38
35.0,35.0,1.0333569,10.57,11.36,-0.22,22.38,40.2,3.76,7.56
28.0,29.0,2.5494165,11.57,11.5,0.49,15.9,60.73,1.53,40.3
35.0,35.0,0.014901161,14.53,4.8,-1.39,14.55,5.31,2.16,182.36
28.0,27.0,2.7131615,11.69,11.42,0.4,4.77,74.25,0.94,352.18
19.0,19.0,1.888693,11.56,4.34,-2.17,7.89,11.21,1.05,166.18
28.0,29.0,1.8573602,11.81,11.51,0.49,17.27,341.36,1.29,240.86
41.0,40.0,1.2118949,13.55,11.57,0.29,19.18,51.29,2.04,337.42
31.0,30.0,0.98522377,11.62,11.44,0.45,16.13,54.76,1.31,349.73
34.0,36.0,4.3573594,10.59,11.49,0.12,22.96,20.35,3.25,0.47
22.0,23.0,2.6638308,10.78,11.44,0.48,2.19,127.96,2.03,178.87
35.0,33.0,6.544567,11.41,11.51,0.02,23.24,3.6,2.93,345.4
34.0,33.0,1.9329412,12.76,11.37,0.43,14.61,46.47,1.22,338.42
16.0,14.0,9.06737,10.8,4.92,-2.32,7.44,11.11,1.04,150.35
23.0,23.0,0.06693105,11.05,4.82,-1.83,11.81,331.28,0.92,25.69
28.0,29.0,2.5985441,11.51,11.5,0.52,14.54,57.42,1.67,40.52
27.0,27.0,2.611241,11.51,11.44,0.4,4.58,84.07,0.53,223.3
16.0,17.0,4.767091,11.17,4.33,-2.15,6.61,28.82,1.05,163.18
24.0,22.0,11.955473,10.84,11.45,0.54,3.21,337.46,1.75,1.81
28.0,30.0,6.0550246,11.42,11.43,0.44,7.01,134.47,2.03,357.74
29.0,29.0,1.0248158,11.38,11.5,0.54,14.68,57.47,1.57,36.09
5.0,6.0,9.162277,7.65,4.99,-0.98,7.22,34.89,0.71,191.58
22.0,22.0,4.0519414,12.04,4.8,-1.38,5.77,24.57,2.22,170.33
5.0,9.0,39.54532,7.12,4.4,-1.7,1.46,191.17,1.08,170.31
24.0,22.0,12.992231,10.75,11.47,0.53,7.59,170.85,0.62,289.0
24.0,22.0,10.375085,10.64,11.45,0.55,1.75,161.38,2.56,325.96
16.0,14.0,9.309736,9.52,4.91,-1.66,10.82,323.8,1.03,54.46
24.0,22.0,8.914479,11.2,4.85,-1.88,11.92,330.55,0.92,25.29
36.0,36.0,0.5150689,14.69,4.81,-1.4,14.42,27.69,2.65,141.08
24.0,26.0,5.9052896,12.46,4.31,-2.37,8.46,334.38,0.86,105.16
32.0,33.0,3.7202113,12.47,11.4,0.47,16.6,54.45,1.38,344.29
15.0,13.0,16.934017,10.91,4.31,-2.01,5.07,101.52,0.8,173.57
39.0,37.0,4.6636,15.36,4.81,-1.55,8.63,342.8,1.58,134.05
35.0,36.0,3.9330587,11.24,11.5,0.19,20.95,43.03,3.68,326.07
17.0,14.0,17.503036,10.83,4.95,-2.7,8.79,29.25,1.0,44.59
33.0,32.0,4.452696,12.18,11.47,0.01,18.4,36.6,2.28,319.87
36.0,33.0,9.167666,14.99,4.83,-1.38,13.67,1.45,2.48,162.91
33.0,32.0,4.9390454,13.88,4.86,-1.23,6.88,302.08,0.88,222.71
27.0,26.0,4.259142,11.57,11.4,0.5,3.51,327.19,0.74,187.96
14.0,14.0,3.8307905,10.16,4.27,-1.9,3.27,63.73,0.71,166.16
31.0,33.0,5.1777663,11.45,11.51,0.08,17.11,41.35,2.04,312.05
40.0,37.0,5.617142,14.11,11.49,0.25,17.68,43.39,1.57,305.5
33.0,33.0,0.774273,12.35,11.41,0.41,13.85,50.41,0.88,3.47
19.0,23.0,18.826689,10.77,4.83,-1.79,12.52,33.66,1.35,156.86
32.0,29.0,9.927756,12.91,11.58,0.0,8.37,56.39,0.74,281.78
28.0,27.0,2.946979,11.63,11.42,0.4,4.4,80.08,0.84,324.33
28.0,29.0,2.9299195,11.47,11.42,0.44,9.29,146.21,1.34,346.23
35.0,36.0,2.594503,11.13,11.55,0.12,23.65,46.76,2.86,351.93
40.0,42.0,4.308461,13.34,11.53,0.3,22.23,14.64,0.52,64.92
28.0,27.0,2.4709086,11.71,11.49,0.49,16.3,62.66,1.42,26.49
32.0,35.0,6.3238425,13.64,4.79,-1.3,16.78,3.14,3.81,194.28
35.0,36.0,1.8037478,10.66,11.47,-0.08,25.44,31.87,3.95,2.93
15.0,13.0,17.738525,11.04,4.34,-2.03,4.93,30.43,0.46,198.72
5.0,9.0,39.995087,7.03,4.4,-1.74,5.66,24.12,0.46,182.02
35.0,35.0,2.2087824,12.52,4.83,-1.05,15.12,275.08,1.12,302.42
36.0,33.0,8.916164,13.29,11.57,0.44,10.09,33.15,0.81,266.87
41.0,40.0,1.2510164,13.62,11.55,0.27,17.82,44.06,1.43,345.14
37.0,39.0,6.027467,15.26,4.84,-1.53,13.04,1.14,2.69,186.09
20.0,20.0,0.74513376,10.78,4.77,-1.85,13.03,331.34,1.32,57.66
17.0,14.0,17.062002,9.63,4.88,-1.72,11.53,323.9,0.93,42.84
42.0,39.0,6.9036603,12.22,11.62,0.51,31.02,20.91,2.34,346.54
20.0,17.0,15.778618,9.08,11.64,0.98,7.21,33.22,1.01,15.75
15.0,14.0,1.7110904,10.71,4.33,-2.04,7.21,22.5,0.48,172.57
5.0,6.0,9.835221,7.55,4.4,-1.74,5.65,6.85,0.46,182.42
36.0,36.0,0.9332763,12.64,4.86,-1.12,14.84,259.27,1.12,300.32
25.0,22.0,15.744967,10.92,11.45,0.55,9.38,145.22,0.76,274.86
39.0,43.0,9.38005,13.52,11.56,0.34,17.58,45.91,1.57,307.5
29.0,27.0,6.982255,11.79,11.42,0.39,7.26,60.59,1.23,11.57
5.0,4.0,25.12828,7.36,4.44,-1.74,3.46,352.67,0.42,177.87
27.0,27.0,0.11156874,11.67,11.46,0.37,5.2,352.6,0.53,185.88
