Basis,Coeff
(Intercept),-862.595
h(x3-18.04),0.164456
h(18.04-x3),-0.58238
h(x0-7.13),61.1688
h(7.13-x0),-69.5919
h(x6-40.67),5.85311
h(40.67-x6),-5.87933
h(x4-74.48),-1.6336
h(x2+1.37),-8.34547
h(-1.37-x2),-7.21553
h(240.13-x4),0.876001
h(x5-4.09),-10.1809
h(4.09-x5),-1.6565
h(15.08-x0),59.4061
x1,0.621439
h(114.36-x6),5.97277
h(x4-258.57),-0.725622
h(x4-228.97),2.52912
h(228.97-x4),-0.388304
h(x4-212.68),1.10591
h(x4-227.37),-2.82128
h(37.48-x4),0.180045
h(x4-76.89),1.56604
h(x4-92.29),-0.31
h(x4-127.1),0.0902787
h(210.07-x4),-0.710414
