STW,MAE
9.9,4.345455169677734
10.18,3.1714515686035156
10.58,0.7892417907714844
10.2,2.206684112548828
10.44,0.7714309692382812
9.8,4.624662399291992
10.04,2.134838104248047
10.49,2.6618614196777344
10.1,1.6833114624023438
10.2,2.1575584411621094
10.24,3.1383323669433594
10.15,1.6315135955810547
10.03,2.0239944458007812
10.46,2.6896133422851562
10.1,1.6767501831054688
10.28,1.354888916015625
10.71,0.5478591918945312
9.9,2.9534740447998047
10.4,0.7412681579589844
10.03,2.3481292724609375
10.16,1.9839630126953125
10.39,2.79931640625
10.26,2.10284423828125
10.24,2.74468994140625
10.02,2.4502220153808594
10.2,1.6103401184082031
9.38,4.569358825683594
10.18,6.045677185058594
9.9,5.59587287902832
10.03,2.6885147094726562
9.96,2.277587890625
10.18,1.981231689453125
10.24,1.4035797119140625
10.0,4.447849273681641
10.09,2.7176952362060547
10.47,2.016813278198242
10.19,3.956298828125
9.96,3.0583229064941406
10.03,1.845346450805664
10.18,4.000518798828125
9.96,4.042505264282227
10.02,2.527109146118164
10.25,1.666015625
10.37,3.016704559326172
10.33,0.6279869079589844
10.02,2.951496124267578
10.48,2.5466346740722656
10.5,1.4451980590820312
9.93,2.7772884368896484
10.16,2.548297882080078
10.13,4.249141693115234
9.88,3.7731666564941406
9.86,3.5050506591796875
10.23,3.4434547424316406
10.1,3.4443626403808594
10.04,2.635173797607422
10.24,3.785869598388672
10.33,1.773813247680664
9.96,2.8432540893554688
10.12,2.7512054443359375
10.22,1.9075965881347656
10.53,0.8000755310058594
10.15,1.9806861877441406
10.27,1.6292953491210938
9.88,3.666095733642578
9.94,4.962547302246094
10.2,7.307220458984375
10.28,4.841762542724609
10.15,1.6386070251464844
9.5,4.452461242675781
9.93,3.301074981689453
10.04,3.5887107849121094
9.81,3.7161102294921875
10.03,2.7350540161132812
10.03,5.256303787231445
9.72,5.0458984375
9.75,5.113773345947266
10.08,4.894630432128906
9.63,3.162385940551758
9.88,3.9158287048339844
9.74,4.752979278564453
10.06,4.534732818603516
9.94,4.508113861083984
9.74,5.185211181640625
9.88,3.5421600341796875
10.15,1.7393798828125
10.02,4.350730895996094
10.0,3.972747802734375
9.87,3.206371307373047
10.23,4.205425262451172
9.84,5.598701477050781
10.2,2.3007125854492188
9.64,5.365879058837891
10.22,1.9773902893066406
10.7,0.042995452880859375
10.23,1.2749824523925781
10.34,2.2559776306152344
10.18,4.424245834350586
10.25,1.3848152160644531
10.08,1.3264122009277344
10.14,2.890106201171875
10.23,1.5240516662597656
9.94,4.72857666015625
10.25,6.45050048828125
10.0,4.707359313964844
10.28,1.1909103393554688
10.02,2.5838584899902344
10.33,2.2799911499023438
10.18,1.091705322265625
10.08,1.4548454284667969
10.06,1.7911529541015625
10.29,1.531759262084961
10.43,2.6858139038085938
10.26,2.999176025390625
10.2,1.3782005310058594
9.78,3.989734649658203
9.97,2.0332908630371094
10.23,1.9160690307617188
10.13,2.3224220275878906
10.38,0.9955024719238281
10.35,2.5661697387695312
10.15,1.996307373046875
10.03,2.3653297424316406
9.97,4.196891784667969
10.23,1.5159912109375
9.91,2.575441360473633
9.96,2.269664764404297
10.44,1.546417236328125
9.98,2.130857467651367
10.18,1.3926582336425781
10.09,2.2131805419921875
9.85,2.9361953735351562
10.2,0.9156837463378906
10.0,3.6659774780273438
9.79,3.049175262451172
10.08,2.3928375244140625
9.33,17.458106994628906
8.93,15.76356315612793
8.99,15.43675422668457
9.66,13.296468734741211
9.2,14.281646728515625
9.21,14.79736328125
9.32,16.256580352783203
8.75,18.093320846557617
9.27,19.31650161743164
9.21,19.397350311279297
9.17,17.588924407958984
9.33,16.27889633178711
9.63,17.0353946685791
9.57,17.30988311767578
9.27,17.8096923828125
8.97,18.92589569091797
8.96,20.059356689453125
8.96,26.76268768310547
9.08,16.33275604248047
9.0,20.24600601196289
8.81,21.83743667602539
9.1,17.728647232055664
8.71,17.316022872924805
8.86,17.623432159423828
9.14,15.939849853515625
9.24,14.929647445678711
8.97,15.911128997802734
8.8,19.620220184326172
8.97,15.497381210327148
9.06,17.209136962890625
8.96,17.12445831298828
8.79,16.606201171875
8.64,19.94114112854004
9.19,16.226537704467773
8.53,17.10004425048828
8.79,17.09363555908203
8.68,19.300922393798828
8.93,17.642974853515625
9.01,15.238468170166016
8.91,15.848335266113281
