Basis,Coeff
<<<<<<< HEAD
(Intercept),17.4449
h(x0-1.77),-1.23711
h(1.77-x0),-2.35724
h(x1-12.8),-11.2676
h(12.8-x1),-0.961238
x2,1.06665
h(x4-340.3),-0.10055
h(x6-73.44),-0.0235664
h(253.46-x6),-0.032146
x3,-0.0257051
h(x4-98.53),-0.00832758
=======
(Intercept),-56.8603
h(2.6-x5),-2.321
h(x0-5.25),1.50605
x3,-0.212409
x1,12.7189
h(-2.25-x2),-34.655
h(-0.86-x2),9.9899
h(x6-226.86),0.0647577
h(x6-191.38),0.15112
h(191.38-x6),0.00344561
h(x6-208.77),-0.227484
h(-2.59-x2),24.9003
h(96.65-x4),-0.0270932
h(x0-9.23),110.793
h(6.73-x4),0.208195
h(x4-170.07),0.00189994
h(170.07-x4),0.0127252
>>>>>>> 3079fad7b133f9832220e9899597abb31f8bdb3e
