Basis,Coeff
(Intercept),-55.6645
h(x0-7.16),3.01949
h(7.16-x0),-0.662783
x1,1.90667
h(27.96-x3),10.6912
x5,1.319
h(x6-74.71),-0.938157
h(74.71-x6),1.36188
h(349.4-x4),0.540561
h(x2-0.72),50.5598
h(0.72-x2),3.02887
h(47.74-x6),-0.25696
h(98.22-x6),-1.18925
h(239.38-x4),2.81724
h(x4-208.26),1.20583
h(208.26-x4),-1.28285
h(258.66-x4),-1.97576
h(x6-138.96),0.31207
h(x6-185.01),-0.18407
h(x4-315.51),0.160115
h(126.95-x4),-0.123902
h(217.1-x6),0.0830477
h(x6-91.37),0.819762
h(28.52-x3),-11.0855
h(x4-216.25),-0.835714
