Basis,Coeff
(Intercept),-875.248
x1,10.4315
h(x4-22.02),-0.247275
h(x6-219.1),-2.28359
h(219.1-x6),3.24933
h(4.73-x5),-2.10497
x0,2.85623
h(x2-0.55),345.863
h(0.55-x2),4.24802
h(x4-348.62),0.613437
h(257.55-x6),-0.401064
h(44.1-x4),-0.921919
h(205.44-x4),0.108463
h(x6-73.79),2.19567
h(202.82-x6),-0.611877
h(x6-34.05),-0.134594
h(91.69-x4),-0.304084
h(x4-58.72),0.341171
h(x4-34.58),0.853454
h(x6-98.25),-2.90301
h(x6-89.49),2.39711
h(x6-108.36),1.11781
h(80.14-x6),-1.32847
h(70.95-x6),-1.34196
h(282.28-x4),-5.04297
h(x4-268.38),0.814825
h(319.43-x4),0.72225
h(304.03-x4),-0.499837
h(283.48-x4),4.45047
h(x4-328.83),-1.80914
h(328.83-x4),1.37264
h(355.54-x6),0.413713
