Basis,Coeff
(Intercept),997.031
h(12.9-x1),-5.02546
h(96.87-x4),-0.427562
x5,1.75233
x0,2.15482
h(46.51-x6),-0.140194
h(x6-147.36),-0.372212
h(79.09-x4),0.396693
h(186.44-x6),-0.428585
x2,-2.76101
h(x4-272.07),3.6287
h(272.07-x4),-3.86407
h(141.79-x4),-0.28722
h(123.63-x4),0.203292
h(319.07-x4),0.107048
h(x6-208.21),0.271039
h(161.29-x6),0.536055
h(x4-57.89),-0.203554
h(x6-89.65),0.662432
h(340.77-x6),3.78836
h(x4-10.31),0.650159
h(x4-1.73),-4.12634
h(328.02-x6),0.244098
h(x6-229.04),-0.0894094
h(229.11-x4),0.278164
h(x4-186.87),0.105184
h(340.27-x6),-4.09122
h(x6-85.15),-0.537981
