Terminal,Date,Latitude,Longitude,Course,Speed,Average Speed,Wind Speed,Wind Direction,Pressure,Significant Wave Height,Wind Wave Height,Swell Height,Wind Wave Direction,Swell Direction,Swell Period,Wind Wave Period,Current Speed ,Current Direction 
AIS.636013410.S-34,05.12.2019 08:14 Z,"30° 12' 26.28"" N","032° 33' 44.31"" E",332°,006.2 kn.,006.9 kn.,002.0m/s,006°,1020mb,0.8m,0.8m,0.2m,015°,325°,004sec,003sec,0.06m/s,152°
INC.463702145 (9469.014),05.12.2019 08:04 Z,"30° 11' 16.80"" N","032° 34' 07.20"" E",352°,008.0 kn.,009.1 kn.,002.0m/s,006°,1020mb,0.8m,0.8m,0.2m,020°,330°,004sec,003sec,No data,No data
AIS.636013410.S-34,05.12.2019 07:54 Z,"30° 09' 46.22"" N","032° 34' 07.78"" E",358°,007.3 kn.,007.3 kn.,002.0m/s,010°,1020mb,0.8m,0.8m,0.2m,020°,330°,004sec,003sec,No data,No data
AIS.636013410.S-34,05.12.2019 07:03 Z,"30° 03' 39.38"" N","032° 34' 18.91"" E",355°,007.4 kn.,002.2 kn.,002.0m/s,020°,1020mb,0.7m,0.7m,0.2m,025°,330°,004sec,003sec,No data,No data
INC.463702145 (9469.014),05.12.2019 02:04 Z,"29° 53' 14.40"" N","032° 31' 12.00"" E",301°,000.0 kn.,000.0 kn.,002.0m/s,040°,1019mb,0.7m,0.6m,0.3m,045°,320°,004sec,003sec,No data,No data
INC.463702145 (9469.014),04.12.2019 20:04 Z,"29° 53' 14.40"" N","032° 31' 14.40"" E",301°,000.0 kn.,000.0 kn.,002.0m/s,046°,1019mb,0.5m,0.5m,0.3m,050°,310°,004sec,004sec,No data,No data
INC.463702145 (9469.014),04.12.2019 14:04 Z,"29° 53' 14.40"" N","032° 31' 07.20"" E",301°,000.2 kn.,006.4 kn.,003.0m/s,024°,1017mb,0.4m,0.3m,0.4m,025°,320°,004sec,004sec,No data,No data
INC.463702145 (9469.014),04.12.2019 08:04 Z,"29° 16' 19.20"" N","032° 44' 04.80"" E",336°,012.4 kn.,012.2 kn.,003.0m/s,010°,1019mb,0.6m,0.5m,0.3m,015°,325°,004sec,003sec,No data,No data
INC.463702145 (9469.014),04.12.2019 02:04 Z,"28° 11' 02.40"" N","033° 20' 52.79"" E",327°,012.4 kn.,012.5 kn.,004.0m/s,352°,1017mb,0.7m,0.6m,0.4m,350°,330°,004sec,003sec,0.00m/s,000°
INC.463702145 (9469.014),03.12.2019 20:04 Z,"27° 17' 36.00"" N","034° 19' 40.80"" E",326°,012.6 kn.,012.8 kn.,006.0m/s,340°,1016mb,0.8m,0.8m,0.2m,345°,215°,005sec,004sec,0.00m/s,000°
INC.463702145 (9469.014),03.12.2019 14:04 Z,"26° 14' 31.20"" N","035° 07' 52.79"" E",324°,012.4 kn.,012.8 kn.,006.0m/s,328°,1014mb,0.9m,0.7m,0.4m,325°,350°,005sec,004sec,0.00m/s,000°
INC.463702145 (9469.014),03.12.2019 08:04 Z,"25° 11' 24.00"" N","035° 55' 57.60"" E",329°,013.4 kn.,012.9 kn.,005.0m/s,338°,1017mb,1.1m,0.7m,0.7m,340°,345°,006sec,004sec,0.00m/s,000°
INC.463702145 (9469.014),03.12.2019 02:04 Z,"24° 02' 33.60"" N","036° 33' 57.60"" E",335°,012.0 kn.,012.4 kn.,004.0m/s,344°,1014mb,1.1m,0.8m,0.8m,350°,345°,005sec,004sec,0.06m/s,346°
AIS.636013410.S-34,03.12.2019 00:12 Z,"23° 41' 38.07"" N","036° 44' 39.19"" E",333°,012.3 kn.,012.6 kn.,004.0m/s,350°,1015mb,1.2m,1.0m,0.7m,355°,-005°,006sec,004sec,0.06m/s,346°
AIS.636013410.S-34,02.12.2019 23:12 Z,"23° 30' 18.93"" N","036° 50' 31.45"" E",337°,012.5 kn.,012.4 kn.,004.0m/s,350°,1015mb,1.2m,1.0m,0.7m,355°,165°,005sec,005sec,0.05m/s,346°
