Terminal,Date,Latitude,Longitude,Course,Speed,Average Speed,Wind Speed,Wind Direction,Pressure,Significant Wave Height,Wind Wave Height,Swell Height,Wind Wave Direction,Swell Direction,Swell Period,Wind Wave Period,Current Speed ,Current Direction 
AIS.636013411.S-19,15.07.2019 17:14 Z,"51° 28' 57.30"" N","001° 16' 37.36"" E",096°,015.1 kn.,015.3 kn.,003.0m/s,016°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.09m/s,123°
AIS.636013411.S-19,15.07.2019 17:09 Z,"51° 29' 03.91"" N","001° 14' 35.02"" E",094°,015.4 kn.,015.4 kn.,003.0m/s,016°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.07m/s,154°
AIS.636013411.S-19,15.07.2019 17:04 Z,"51° 29' 08.67"" N","001° 12' 30.33"" E",092°,015.2 kn.,014.9 kn.,003.0m/s,016°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.10m/s,156°
AIS.636013411.S-34,15.07.2019 17:03 Z,"51° 29' 09.59"" N","001° 11' 49.08"" E",092°,014.8 kn.,014.2 kn.,003.0m/s,016°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.11m/s,151°
AIS.636013411.S-19,15.07.2019 16:59 Z,"51° 29' 11.89"" N","001° 10' 33.37"" E",093°,013.3 kn.,012.6 kn.,003.0m/s,016°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.23m/s,160°
AIS.636013411.S-19,15.07.2019 16:54 Z,"51° 29' 19.68"" N","001° 08' 48.69"" E",099°,012.4 kn.,012.3 kn.,003.0m/s,018°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.21m/s,158°
AIS.636013411.S-19,15.07.2019 16:49 Z,"51° 29' 28.75"" N","001° 07' 12.00"" E",098°,012.1 kn.,011.9 kn.,003.0m/s,018°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.12m/s,149°
AIS.636013411.S-19,15.07.2019 16:44 Z,"51° 29' 34.04"" N","001° 05' 36.53"" E",094°,012.1 kn.,011.8 kn.,003.0m/s,018°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.00m/s,000°
AIS.636013411.S-19,15.07.2019 16:39 Z,"51° 29' 38.30"" N","001° 04' 00.65"" E",096°,011.6 kn.,013.1 kn.,003.0m/s,018°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.23m/s,069°
AIS.636013411.S-19,15.07.2019 16:34 Z,"51° 29' 34.09"" N","001° 02' 13.68"" E",081°,015.1 kn.,015.5 kn.,003.0m/s,018°,1021mb,1.0m,0.4m,0.8m,015°,010°,006sec,003sec,0.42m/s,076°
AIS.636013411.S-19,15.07.2019 16:29 Z,"51° 29' 19.81"" N","001° 00' 09.30"" E",077°,015.7 kn.,015.8 kn.,003.0m/s,020°,1021mb,1.0m,0.4m,0.8m,020°,010°,006sec,003sec,0.65m/s,080°
AIS.636013411.S-19,15.07.2019 16:24 Z,"51° 29' 01.18"" N","000° 58' 04.27"" E",076°,015.6 kn.,015.3 kn.,003.0m/s,020°,1021mb,1.0m,0.4m,0.8m,020°,010°,006sec,003sec,0.69m/s,081°
AIS.636013411.S-19,15.07.2019 16:19 Z,"51° 28' 51.29"" N","000° 56' 01.63"" E",093°,015.6 kn.,015.7 kn.,003.0m/s,020°,1021mb,1.0m,0.4m,0.8m,020°,010°,006sec,003sec,0.82m/s,076°
AIS.636013411.S-19,15.07.2019 16:14 Z,"51° 29' 09.48"" N","000° 53' 58.10"" E",109°,015.6 kn.,014.8 kn.,002.0m/s,018°,1021mb,0.9m,0.4m,0.8m,020°,010°,006sec,003sec,0.86m/s,071°
AIS.636013411.S-34,15.07.2019 16:13 Z,"51° 29' 14.02"" N","000° 53' 36.76"" E",109°,015.5 kn.,015.4 kn.,002.0m/s,018°,1021mb,0.9m,0.4m,0.8m,020°,010°,006sec,003sec,0.86m/s,071°
AIS.636013411.S-19,15.07.2019 16:08 Z,"51° 29' 26.45"" N","000° 51' 54.85"" E",086°,015.9 kn.,016.0 kn.,002.0m/s,018°,1021mb,0.9m,0.4m,0.8m,020°,010°,006sec,003sec,0.69m/s,102°
AIS.636013411.S-19,15.07.2019 16:03 Z,"51° 29' 22.20"" N","000° 49' 46.95"" E",087°,015.9 kn.,016.1 kn.,002.0m/s,020°,1021mb,0.9m,0.4m,0.8m,025°,010°,006sec,003sec,1.35m/s,096°
