speed,ws,foc,draft
13.2,6.0,1.2398010474794052,12.15
13.5,5.0,1.248242661356926,12.15
14.5,4.0,1.286076009273529,12.15
13.1,5.0,1.2851954042911529,12.15
12.8,6.0,1.2657167837023735,12.15
13.3,7.0,1.2570796847343444,12.15
14.1,7.0,1.270550391890786,12.15
13.4,7.0,1.307344655195872,12.15
12.5,8.0,1.3249524354934692,12.15
12.7,8.0,1.296346679329872,12.15
13.1,8.0,1.318916752934456,12.15
13.0,8.0,1.3273036324459573,12.15
12.9,7.0,1.4284983098506927,12.15
13.7,6.0,1.3100936792113564,12.15
13.2,4.0,1.3072311162948609,12.15
13.2,4.0,1.260297445150522,12.15
13.4,4.0,1.2779789187691428,12.15
12.7,4.0,1.2646211869266617,12.15
13.1,4.0,1.1163813745168816,12.15
13.5,4.0,1.1280251274544024,12.15
13.1,4.0,1.1446044957765968,12.15
13.2,4.0,1.193143117427826,12.15
12.0,4.0,1.121910810470581,12.15
10.8,4.0,1.2029856278346136,12.15
8.5,3.0,1.1912655052931411,12.15
5.3,3.0,0.4787450763914321,12.15
5.0,3.0,0.4587055256492214,12.15
0.0,3.0,-0.0008686073124408723,12.15
0.0,4.0,0.002978709733393852,-1.0
0.0,3.0,-0.002138882875442505,-1.0
0.0,4.0,-0.01840724050998688,-1.0
0.0,3.0,-0.008985961476961771,-1.0
0.0,4.0,-0.038014471530914314,-1.0
0.0,4.0,-0.02430388331413269,-1.0
0.0,4.0,-0.014931172132492062,-1.0
0.0,4.0,0.015847720205783844,-1.0
0.0,4.0,-0.019804167753987884,-1.0
0.0,4.0,0.006203785538673401,-1.0
0.0,4.0,0.10479658842086792,-1.0
0.0,3.0,-0.000322788953781128,-1.0
0.0,3.0,0.0010539740324020386,-1.0
0.0,3.0,0.003485276053349177,-1.0
5.7,3.0,0.06707476194088276,-1.0
7.2,3.0,0.4094901353120804,-1.0
8.5,3.0,0.4097857296466828,-1.0
0.1,3.0,0.030571672651502818,-1.0
0.1,2.0,-0.01315605640411377,-1.0
0.0,2.0,-0.0009766817092895508,-1.0
0.0,2.0,-0.026305317878723145,-1.0
0.5,2.0,-0.03806068748235703,-1.0
0.0,2.0,-0.03940308094024658,-1.0
0.0,2.0,-0.024184630658017132,-1.0
0.3,2.0,-0.049461627379059785,-1.0
0.0,1.0,-0.026679590344429016,-1.0
0.0,1.0,-0.022522538820017597,-1.0
0.1,1.0,-0.059115003794431686,-1.0
0.0,1.0,-0.0665908572929246,-1.0
0.0,1.0,-0.02456932020143193,-1.0
0.0,1.0,-0.06132968089410236,-1.0
0.1,1.0,-0.06920697705613242,-1.0
0.1,1.0,-0.026885554194450382,-1.0
0.0,1.0,-0.026858091354370117,-1.0
0.0,1.0,-0.02815242111682892,-1.0
0.0,1.0,-0.0248015895485878,-1.0
0.0,1.0,-0.02823613627706356,-1.0
0.2,1.0,-0.02921328693628311,-1.0
0.2,1.0,0.07791469778333393,-1.0
0.0,1.0,0.011848121881484984,-1.0
0.0,1.0,-0.0017923432734861461,-1.0
0.1,1.0,0.0071446001529693595,-1.0
0.1,1.0,0.006028801202774048,-1.0
0.0,1.0,0.003162956002449305,-1.0
0.0,1.0,0.0011604726314544678,-1.0
0.0,1.0,0.0051722079515457145,-1.0
0.0,1.0,-0.029845044016838074,-1.0
0.1,1.0,-0.02018565684556961,-1.0
0.0,1.0,-0.026128575205802917,-1.0
0.0,2.0,-0.024973303079605103,7.1
0.2,2.0,0.1881769299507141,7.1
0.0,2.0,-0.03126443057287298,7.1
0.0,2.0,-0.029804091207299467,7.1
0.0,2.0,-0.01646919548511505,7.1
0.0,2.0,-0.027373120188713074,7.1
0.0,2.0,-0.024971550737351824,7.1
0.0,2.0,-0.02567024528980255,7.1
0.0,1.0,0.0020702332258224487,7.1
0.0,1.0,-0.0151645690202713,7.1
0.0,1.0,-0.025152418054550908,7.1
0.2,1.0,-0.02942962944507599,7.1
0.2,1.0,-0.02605476975440979,7.1
0.1,1.0,-0.030160903930664062,7.1
0.0,1.0,-0.024400806251738245,7.1
0.0,1.0,-0.031767651438713074,7.1
0.0,2.0,-0.006216716021299361,7.1
0.2,2.0,-0.01131930947303772,7.1
0.1,2.0,-0.007995933294296266,7.1
0.0,2.0,-0.000280822994072032,7.1
0.0,2.0,-0.009152941405773165,7.1
0.1,2.0,-0.0001613140106201172,7.1
0.0,2.0,-0.007835720976193747,7.1
0.0,2.0,-0.010004371404647829,7.1
0.0,1.0,-0.019071489572525024,7.1
0.0,1.0,0.0886470377445221,7.1
0.3,1.0,-0.0010128169460939874,7.1
4.1,1.0,0.14338977363976566,7.1
8.1,1.0,0.11640992072912362,7.1
6.4,1.0,0.11391036907831828,7.1
7.4,2.0,0.0992509921391805,7.1
6.0,1.0,0.15688804909586904,7.1
5.5,1.0,0.01712240549651059,7.1
8.4,1.0,-0.043416245362983684,7.1
8.0,1.0,0.10182254584062668,7.1
11.6,1.0,0.10801921717145226,7.1
9.4,1.0,0.42980440173830303,7.1
10.1,1.0,0.4282725930213928,7.1
10.5,1.0,0.7712339535355568,7.1
10.7,1.0,0.7846235667957979,7.1
11.4,2.0,0.8255273014307022,7.1
11.5,2.0,0.8161426430398767,7.1
11.7,2.0,0.8062497753846017,7.1
12.0,4.0,0.8164392113685608,7.1
11.6,4.0,0.8127116560935974,7.1
11.5,4.0,0.7875644723574321,7.1
11.3,5.0,0.8064517786628321,7.1
11.2,5.0,0.7825179382374412,7.1
11.4,5.0,0.7806526745359103,7.1
11.4,5.0,0.7967256524346091,7.1
11.7,5.0,0.7914469361305236,7.1
11.6,5.0,0.8016805985699529,7.1
11.7,5.0,0.7898769690876916,7.1
11.8,5.0,0.7997626169868137,7.1
12.1,5.0,0.8052426010370255,7.1
12.4,5.0,0.7929334770078245,7.1
12.6,5.0,0.8092674823368297,7.1
10.5,5.0,0.8190846373053158,7.1
12.8,5.0,0.8190846373053158,7.1
12.6,5.0,0.811120713298971,7.1
12.2,4.0,0.7571570307016373,7.1
12.2,4.0,0.7533243596553802,7.1
12.2,4.0,0.7456659287214279,7.1
11.6,4.0,0.7536454172361464,7.1
11.3,4.0,0.7738111981978784,7.1
11.4,4.0,0.7766199310620626,7.1
18.7,4.0,0.7921183444559574,7.1
11.2,4.0,0.8011470938983717,7.1
11.1,4.0,0.7966914415359497,7.1
11.6,4.0,0.7911404371261597,7.1
11.6,3.0,0.7887211702764034,7.1
11.9,3.0,0.7826208472251892,7.1
11.7,3.0,0.7622383356094359,7.1
11.4,3.0,0.8041132558947024,7.1
12.0,2.0,0.8136070241098818,7.1
11.9,2.0,0.7409610599279404,7.1
13.0,1.0,0.7534487310208773,7.1
12.4,2.0,0.8305257625050015,7.1
9.4,2.0,0.8370798309644063,7.1
5.6,3.0,0.15163642913103104,7.1
8.9,3.0,0.1409433660182086,7.1
12.0,3.0,0.8158422708511353,7.1
12.4,3.0,0.8501804073651632,7.1
14.5,3.0,0.8372379026629708,7.1
12.0,3.0,0.8591283857822418,7.1
11.9,3.0,0.8349823529521624,7.1
12.4,2.0,0.8878201559970254,7.1
12.8,2.0,0.8853316024730079,7.1
13.4,2.0,0.8525193863444858,7.1
7.4,2.0,1.3334026204215157,7.1
8.2,2.0,-0.012566255033016204,7.1
4.4,3.0,0.1794997863471508,7.1
11.9,3.0,-0.01011747870345702,7.1
12.5,3.0,0.8395004146977475,7.1
13.5,3.0,0.9517648657162984,7.1
13.1,3.0,0.8416633168856303,7.1
12.5,3.0,0.8525434765550826,7.1
12.7,3.0,0.8320845444997151,7.1
12.4,3.0,0.8194255431493124,7.1
12.2,3.0,0.8432702571153641,7.1
12.8,4.0,0.8448619815436277,7.1
12.8,3.0,0.845525324344635,7.1
12.2,3.0,0.8871855390699286,7.1
12.2,2.0,0.892821960589465,7.1
12.5,1.0,0.8577559476807004,7.35
13.0,1.0,0.8408013610612779,7.35
12.5,1.0,0.8408013610612779,7.35
12.4,0.0,0.8508977318803469,7.35
15.3,0.0,0.8521534105141958,7.35
12.9,0.0,0.8679292587672963,7.35
13.2,0.0,0.8429211723177057,7.35
13.2,0.0,0.9252256751060486,7.35
12.4,0.0,0.8240572184324264,7.35
11.8,0.0,0.8470790849791633,7.35
12.0,0.0,0.8707302175462246,7.35
11.5,1.0,0.8839134573936462,7.35
12.5,2.0,0.8667366173532274,7.35
12.2,2.0,0.8493985533714294,7.35
12.0,2.0,0.8783239960670471,7.35
10.6,1.0,0.8813373327255251,-1.0
10.0,1.0,0.8743782997131347,-1.0
12.6,1.0,0.8509645819664001,-1.0
13.4,1.0,0.8653098315000534,-1.0
11.5,1.0,0.8589509597846441,-1.0
12.8,1.0,0.8851760213191693,-1.0
12.4,1.0,0.9374895652135212,-1.0
13.5,1.0,0.8625985152191586,-1.0
10.8,0.0,0.7386721217113993,-1.0
10.9,0.0,0.7750931956149913,-1.0
10.7,0.0,0.7611798300192907,-1.0
9.0,0.0,0.4582512038094657,-1.0
9.0,0.0,0.3928557602982772,-1.0
8.9,0.0,0.4258312980333964,-1.0
8.5,0.0,0.4368561318046169,-1.0
8.2,0.0,0.4278910219669342,-1.0
9.2,0.0,0.42174210846424093,-1.0
10.1,0.0,0.43373967158166987,-1.0
9.9,0.0,0.4293519231406125,-1.0
9.9,0.0,0.4458073228597641,-1.0
9.7,0.0,0.5227474541891188,-1.0
6.9,0.0,0.4704343765974045,-1.0
5.4,0.0,0.18510158360004425,-1.0
0.7,0.0,0.32796966657042503,-1.0
0.2,0.0,0.00417134165763855,-1.0
0.4,0.0,-0.04617004096508026,-1.0
0.2,0.0,-0.0010058209300041199,-1.0
0.0,0.0,-0.006438640174296563,-1.0
0.1,0.0,-0.007264584302902222,-1.0
0.2,0.0,-0.018413475798646373,-1.0
0.5,0.0,-0.043492048978805535,-1.0
0.2,0.0,0.057878160050937114,-1.0
0.1,0.0,0.1089350163936615,-1.0
0.0,0.0,-0.04832260310649872,-1.0
0.1,0.0,-0.03749077022075653,-1.0
35.3,0.0,-0.03749077022075653,-1.0
0.0,0.0,-0.03749077022075653,-1.0
0.2,0.0,-0.03749077022075653,-1.0
0.4,0.0,-0.03560682628960562,-1.0
0.5,0.0,-0.044934004545211785,-1.0
0.4,0.0,-0.044934004545211785,-1.0
0.4,0.0,-0.04470993819604219,-1.0
0.3,0.0,-0.04392325282673864,-1.0
0.3,0.0,-0.04313656745743509,-1.0
0.2,0.0,-0.04313656745743509,-1.0
0.2,0.0,-0.04187843203544617,-1.0
0.1,0.0,-0.04212170740433667,-1.0
0.2,0.0,-0.04272881315464156,-1.0
0.2,0.0,-0.04515723615586112,-1.0
0.2,0.0,-0.04576434190616599,-1.0
0.3,0.0,-0.046371447656470895,-1.0
0.2,0.0,-0.04891540772385068,-1.0
0.2,0.0,-0.049575048685073855,-1.0
0.3,0.0,-0.05243262577821011,-1.0
0.4,0.0,-0.03141933870755705,-1.0
