,FOC_pred,FOC_act,stw,draft
0,45.69,0,5.0,11.4
1,42.55,0,5.0,11.4
2,40.09,0,5.0,11.4
3,45.69,0,5.0,11.4
4,54.63,0,15.2,11.4
5,54.42,0,15.2,11.4
6,56.46,0,15.2,11.4
7,56.25,0,15.2,11.4
8,55.05,0,15.2,11.4
9,55.05,0,15.2,11.4
10,55.05,0,15.2,11.4
11,55.94,0,15.5,11.4
12,55.94,0,15.5,11.4
13,54.91,0,15.5,11.4
14,54.91,0,15.5,11.4
15,54.91,0,15.5,11.4
16,52.93000000000001,0,15.5,11.4
17,52.7,0,15.5,11.4
18,43.16351355372795,0,11.1,11.4
19,45.17342346607511,0,11.1,11.4
20,45.17342346607511,0,11.1,11.4
21,53.89999999999999,0,15.2,11.4
22,54.96,0,15.2,11.4
23,53.89999999999999,0,15.2,11.4
24,53.89999999999999,0,15.2,11.4
25,53.89999999999999,0,15.2,11.4
26,53.89999999999999,0,15.2,11.4
27,53.89999999999999,0,15.2,11.4
28,48.483166819403145,0,13.4,11.4
29,47.101133429339114,0,13.4,11.4
30,47.101133429339114,0,13.4,11.4
31,47.101133429339114,0,13.4,11.4
32,47.101133429339114,0,13.4,11.4
33,47.101133429339114,0,13.4,11.4
34,52.09668879012922,0,15.1,11.4
35,52.09668879012922,0,15.1,11.4
36,52.09668879012922,0,15.1,11.4
37,52.09668879012922,0,15.1,11.4
38,48.860662315069284,0,15.1,11.4
39,50.1111921086486,0,15.1,11.4
40,50.1111921086486,0,15.1,11.4
41,50.1111921086486,0,15.1,11.4
42,51.05258281679435,0,15.1,11.4
43,51.05258281679435,0,15.1,11.4
44,51.05258281679435,0,15.1,11.4
45,51.05258281679435,0,15.1,11.4
46,51.05258281679435,0,15.1,11.4
47,48.51231792000468,0,15.1,11.4
48,48.51231792000468,0,15.1,11.4
49,48.51231792000468,0,15.1,11.4
50,48.51231792000468,0,15.1,11.4
51,48.51231792000468,0,15.1,11.4
52,48.51231792000468,0,15.1,11.4
53,48.51231792000468,0,15.1,11.4
54,48.51231792000468,0,15.1,11.4
55,50.95,0,15.2,11.4
56,50.95,0,15.2,11.4
57,50.95,0,15.2,11.4
58,50.95,0,15.2,11.4
59,50.95,0,15.2,11.4
60,50.95,0,15.2,11.4
61,50.95,0,15.2,11.4
62,50.95,0,15.2,11.4
63,50.40000000000001,0,15.2,11.4
64,50.40000000000001,0,15.2,11.4
65,50.40000000000001,0,15.2,11.4
66,50.40000000000001,0,15.2,11.4
67,50.95,0,15.2,11.4
68,50.95,0,15.2,11.4
69,50.95,0,15.2,11.4
70,50.40000000000001,0,15.2,11.4
71,50.40000000000001,0,15.2,11.4
72,50.40000000000001,0,15.2,11.4
73,50.40000000000001,0,15.2,11.4
74,50.40000000000001,0,15.2,11.4
75,50.40000000000001,0,15.2,11.4
76,49.65000000000001,0,15.2,11.4
77,49.65000000000001,0,15.2,11.4
78,49.65000000000001,0,15.2,11.4
79,49.65000000000001,0,15.2,11.4
80,49.65000000000001,0,15.2,11.4
81,49.65000000000001,0,15.2,11.4
