STARTING PORT,DESTINATION PORT,COUNT
DARDANELLES , BOSPHOROUS,12
BOSPHOROUS , DARDANELLES,11
TUAPSE , BOSPHOROUS,6
BOSPHOROUS , TUAPSE,6
FUJAIRAH , Khor al Zubair,5
Khor al Zubair , FUJAIRAH,4
DARDANELLES , ALEXANDRIA,3
SOHAR , FUJAIRAH,3
FUJAIRAH , SOHAR,3
Skikda , Tarragona,2
BOSPHOROUS , BOURGAS,2
SOHAR , Khor al Zubair,2
PHILADELPHIA , NEW YORK,2
BOSPHOROUS , Adrift Off Bosporus,2
Bosporus Anchorage , BOSPHOROUS,2
Jorf Lasfar , GIBRALTAR,2
CRISTOBAL , MAMONAL,2
AMUAY BAY , CURACAO,2
BOURGAS , BOSPHOROUS,2
Zawia , BRINDISI,2
LIMASSOL , ASHKELON,2
Dardanelles , N bound ,2
Khor al Zubair , JUBAIL,2
LAVAN ISLAND , FUJAIRAH,1
NOVOROSSISK , BOSPHOROUS,1
DARDANALES , BOSPHOROUS,1
DARDANELLES , BOSCADA,1
Assaluyeh , Fujairah,1
PERAMA , ELEFSIS,1
FUJAIRAH , LAVAN ISLAND,1
GIBRALTAR , Eleusis,1
Bandar Imam Khomeini , BANDAR IMAM KHOEMINI,1
ALIAGA , DARDANELLES,1
NEW ORLEANS , Jorf Lasfar,1
new n york , NEW YORK,1
LOME , LAGOS,1
AT SEA , GIBRALTAR,1
VASSILIKO BAY , AT SEA,1
Fujairah , BANDAR ABBAS,1
DARDANELLES , ALIAGA,1
JUBAIL , Opl Al Jubail,1
AT SEA , SOHAR,1
FUJAIRAH , KARACHI,1
FUJAIRAH , BANDAR ABBAS,1
Jebel Ali , FUJAIRAH,1
FUJAIRAH , MINA ABDULLAH,1
Khor al Zubair , KHOR AL,1
Anch Mina Abdullah , Anch. Mina Abdullah,1
SUEZ , VASSILIKO BAY,1
SUEZ , Suez Canal ,1
MINA ABDULLAH , Khor al Zubair,1
Suez Canal , Suez Exit ,1
AUGUSTA , SIDON,1
AUGUSTA , MISURATA,1
SKIKDA , LAVERA,1
TARRAGONA , SKIKDA,1
ALIAGA , BARCELONA,1
FUJAIRAH , Assaluyeh,1
FAWLEY , BILBAO,1
GIZAN , Rabigh,1
Gibraltar , Huelva,1
Malta (Grand Harbour) , Skikda,1
DARDANELLES , Gibraltar,1
BOSPHOROUS , MARMARA Drifting,1
MALTA , DARDANELLES,1
Huelva , MALTA,1
Tarragona , Huelva,1
Algiers , Skikda,1
Algiers , Algeria Drifting Area,1
Morocco Disch Berth , Jorf Lasfar,1
Jorf Lasfar , Morocco Disch Port,1
LAS PALMAS , Gibraltar,1
FUJAIRAH , GIZAN,1
ANTWERP , DAKAR,1
DAKAR , ANTWERP,1
AMSTERDAM , DAKAR,1
BANJUL , AMSTERDAM,1
Antwerp , DAKAR,1
ROTTERDAM , Antwerp,1
Rotterdam Anchorage , Rotterdam Terminal,1
MARSA EL BREGA , ROTTERDAM,1
AMSTERDAM , LAS PALMAS,1
TENERIFE , AMSTERDAM,1
Lavera Anchorage ," Lavera, France",1
Lavera , Sarroch,1
Sarroch , Koper,1
Koper , Sarroch,1
BANDAR ABBAS , SOHAR,1
Kuwait OPL , KUWAIT,1
KHOR AL JUBAIR , KUWAIT,1
KHOR AL JUBAIR , Khor Al Zubair,1
KUWAIT , KHOR AL JUBAIR,1
SITRA , KUWAIT,1
KHOR AL JUBAIR , SITRA,1
KHOR AL JUBAIR , Ras Al Zubair,1
SUEZ , AT SEA,1
CHIOS , SUEZ,1
DARDANELLES , CHIOS,1
DARDANELLES , MARMARA ISLAND,1
CONSTANTA , BOSPHOROUS,1
BOSPHOROUS , CONSTANTA,1
DARDANELLES , Bozcaada,1
DARDANELLES ," Tripoli, Lebanon",1
DARDANELLES , Marmara Sea,1
Novorossiysk , Constantza,1
Marmara Drifting , BOSPHOROUS,1
DARDANELLES , Bozcada Anchorage,1
OPL for Orders , Fiumicino,1
Mina Al,Ahmadi ,1
Khor al Zubair , Bandar Imam Khomeini,1
Fujairah , Bandar Imam Khomeini,1
ANTWERP , Antwerp Anchorage,1
HAIFA , MERSIN,1
HAIFA , OPL Port Said,1
Aspropyrgos Load Port , ASPROPYRGOS,1
La Skhirra , ASPROPYRGOS,1
Bizerte , La Skhirra,1
