LATD,LOND,VESSEL_CODE,TELEGRAM_DATE,PORT
1,50,440,2006-06-03 00:00:00,FAWLEY
NULL,43,440,2006-06-24 06:30:00,BILBAO
NULL,43,440,2006-06-25 23:00:00,BILBAO
94,29,440,2006-07-09 21:30:00,HOUSTON
95,29,440,2006-07-14 19:30:00,HOUSTON
75,10,440,2006-07-19 11:30:00,CARTAGENA (COL)
75,10,440,2006-07-27 10:00:00,CARTAGENA (COL)
93,26,440,2006-07-31 04:00:00,CORPUS CHRISTI
93,26,440,2006-08-02 17:00:00,CORPUS CHRISTI
97,27,440,2006-08-03 09:00:00,CORPUS CHRISTI
97,27,440,2006-08-11 13:00:00,CORPUS CHRISTI
95,29,440,2006-08-14 09:42:00,HOUSTON
95,29,440,2006-08-17 20:00:00,HOUSTON
14,35,440,2006-09-03 21:00:00,MALTA
14,35,440,2006-09-04 21:30:00,MALTA (GRAND HARBOUR)
4,43,440,2006-09-06 18:00:00,FOS
NULL,43,440,2006-09-12 07:30:00,FOS
NULL,36,440,2006-09-14 20:00:00,SKIKDA
NULL,36,440,2006-09-15 00:00:00,SKIKDA
38,12,440,2006-09-28 10:00:00,ARATU
38,12,440,2006-09-30 05:30:00,ARATU
58,34,440,2006-10-05 12:00:00,BUENOS AIRES
56,34,440,2006-10-08 07:12:00,MONTEVIDEO
56,34,440,2006-10-08 15:00:00,MONTEVIDEO
56,34,440,2006-10-10 21:30:00,MONTEVIDEO
60,32,440,2006-10-12 01:30:00,SAN LORENZO (ARG)
60,32,440,2006-10-15 19:00:00,SAN LORENZO (ARG)
50,29,440,2006-10-18 09:30:00,TRAMANDAI
NULL,52,440,2006-10-21 22:30:00,TRALEE
55,35,440,2006-10-23 17:24:00,RECALADA
55,35,440,2006-10-24 13:00:00,RECALADA
60,32,440,2006-10-25 20:00:00,ROSARIO
62,38,440,2006-11-18 02:00:00,BAHIA BLANCA
68,10,440,2006-12-03 07:00:00,PUERTO CABELLO
68,10,440,2006-12-08 08:00:00,PUERTO CABELLO
68,12,440,2006-12-08 16:29:00,CURACAO
68,12,440,2006-12-09 01:30:00,CURACAO
70,18,440,2006-12-10 07:00:00,RIO HAINA
70,18,440,2006-12-11 10:00:00,RIO HAINA
88,15,440,2006-12-14 13:30:00,SANTO TOMAS DE CASTILLA
88,15,440,2006-12-19 04:30:00,SANTO TOMAS DE CASTILLA
70,12,440,2006-12-26 18:30:00,ARUBA
70,12,440,2006-12-28 11:30:00,ARUBA
79,NULL,440,2006-12-30 13:30:00,CRISTOBAL
79,NULL,440,2006-12-31 18:30:00,BALBOA
77,12,440,2007-01-04 19:00:00,CALLAO
77,12,440,2007-01-07 09:00:00,CONCHAN
72,17,440,2007-01-08 17:30:00,MOLLENDO
72,17,440,2007-01-10 03:00:00,MOLLENDO
81,NULL,440,2007-01-13 01:30:00,TALARA
81,NULL,440,2007-01-15 01:00:00,TALARA
79,NULL,440,2007-01-17 20:00:00,BALBOA
79,NULL,440,2007-01-22 02:00:00,CRISTOBAL
75,39,440,2007-01-28 01:00:00,PHILADELPHIA
75,39,440,2007-02-02 16:30:00,PHILADELPHIA
74,40,440,2007-02-03 14:00:00,NEW YORK
74,40,440,2007-02-08 12:30:00,NEW YORK
94,30,440,2007-02-13 23:00:00,BEAUMONT
94,30,440,2007-02-15 17:00:00,BEAUMONT
79,NULL,440,2007-02-21 12:00:00,CRISTOBAL
