Basis,Coeff
(Intercept),80.6923
h(13.275-x1),457.533
h(9.9-x0),4.19259
h(x1-10.4743),-1.51955
h(x1-13.9643),74.7002
h(13.9643-x1),-98.5201
h(x1-14.1679),-10.4466
h(x1-13.6771),50.2517
h(13.8614-x1),76.256
h(x1-14.0214),46.4692
h(x1-13.8223),-66.925
h(x1-13.333),-28.7449
h(9.1-x0),-3.64528
h(13.2721-x1),-426.218
h(x1-13.0689),86.8423
h(12.559-x1),-8.91701
h(x1-13.0943),-83.1578
h(x1-14.1057),-21.0677
h(x0-15.6),-9.65179
h(15.6-x0),-0.997415
h(x1-12.1063),3.89896
h(x1-13.7086),-50.2851
