speed_overground,rpm
10.54,52.1
10.47,52
10.4,52.2
10.4,51.9
10.4,52
10.2,52
10.18,52.2
10.2,51.8
10.1,51.8
10,52.1
10.065,51.9
10.13,52
10.05,51.8
10,52
10,51.8
9.9,52
9.9,52.1
9.88,52.1
9.88,51.9
9.89,51.9
9.9,52.1
9.93,52
9.89,52
9.8,52
9.7,51.9
9.4,29.8
8.87,20.3
8.545,17.8
8.22,17
7.58,14
6.9,11.8
6.47,10.4
5.89,0
5.3,37.1
5.6,45.8
5.9,47.1
6.3,62
6.7,62
7.44,61.9
8.08,46
8,46
7.9,45.9
7.96,45.9
7.81,45.9
7.6,45.8
7.45,46
7.3,45.8
7.37,46.3
7.67,46
7.94,46
8,45.9
8.2,46
8.13,29.9
7.68,29.9
7.44,29.9
7.2,29.9
6.8,14
6.41,0
5.8,49.2
5,48.8
3.97,46
2.6,45.8
2.12,45.7
1.64,29.9
1.32,29.9
1.3,29.9
1.67,0
1.51,0
1.3,0
1.3,0
1.5,0
1.8,30
2.1,46.1
3.01,46
3.93,46.1
4.7,46
5.4,46
5.88,46
5.89,30
5.9,29.9
5.9,30
5.9,29.9
5.98,29.9
5.9,29.9
5.95,0
5.7,0
5.5,0
5.34,0
5.42,29.9
5.5,29.9
5.6,30
5.7,0
5.6,0
5.5,0
5.2,0
5.23,30
5.5,46
5.375,29.9
5.25,0
4.86,0
4.4,0
4.2,38.9
4,21.8
3.9,0
3.8,18.1
3,29.9
2.56,45.7
2.12,0
1.98,0
1.93,38
2.28,28.2
2.2,0
2.2,0
2.08,0
2,0
1.95,0
1.9,0
1.9,0
1.81,0
1.75,0
1.77,0
1.7,0
1.6,0
1.66,0
1.72,0
1.6,0
1.4,30
0.4,46
0.6,0
0.76,0
0.69,0
0.6,0
0.55,0
0.5,0
0.55,0
0.52,0
0.5,0
0.3,35.6
0.09,0
0.14,0
0.17,0
0.16,0
0.15,0
0.2,0
0.21,0
0.19,0
0.2,0
0.1,0
0.13,0
0.115,0
0.1,21.7
0,0
0.04,0
0,0
0.02,0
0.07,0
0,0
0,0
0.005,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0.005,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.1,0
0.1,0
0.05,0
0,0
0,0
0,0
0.1,0
0.1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.1,0
0.1,0
0,0
0,0
0,0
0.05,0
0.1,0
0.1,0
0,0
0,0
0.1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.1,0
0.05,0
0,0
0.1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0.01,0
0.01,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0,0
0.01,0
0.01,0
0,0
0,0
0,0
0,0
0.005,0
0.01,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0.01,0
0.015,0
0.02,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0.01,0
0,0
0,0
0.02,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.005,0
0.01,0
0.01,0
0.01,0
0.01,0
0,0
0,0
0,0
0.005,0
0.01,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
