clusters,error,models,partitioners,var
11,7.55429360967,RandomForestModeler,KMeansPartitioner,73.3908403148
1,4.34949350357,TensorFlowW,KMeansPartitioner,73.3908403148
2,2.04117202759,TensorFlowW,KMeansPartitioner,73.3908403148
3,2.17498421669,TensorFlowW,KMeansPartitioner,73.3908403148
4,3.9087035656,TensorFlowW,KMeansPartitioner,73.3908403148
5,5.92608213425,TensorFlowW,KMeansPartitioner,73.3908403148
6,6.0324549675,TensorFlowW,KMeansPartitioner,73.3908403148
7,2.88460302353,TensorFlowW,KMeansPartitioner,73.3908403148
8,4.12077331543,TensorFlowW,KMeansPartitioner,73.3908403148
9,4.8016409874,TensorFlowW,KMeansPartitioner,73.3908403148
10,5.0827922821,TensorFlowW,KMeansPartitioner,73.3908403148
11,1.8080753088,TensorFlowW,KMeansPartitioner,73.3908403148
1,7.30804573228,Analytical method,KMeansPartitioner,73.3908403148
1,2.11843500412,LinearRegressionModeler,KMeansPartitioner,12.0281360553
2,1.39113835856,LinearRegressionModeler,KMeansPartitioner,12.0281360553
3,1.65175541815,LinearRegressionModeler,KMeansPartitioner,12.0281360553
4,1.04392613309,LinearRegressionModeler,KMeansPartitioner,12.0281360553
5,3.22305363444,LinearRegressionModeler,KMeansPartitioner,12.0281360553
6,3.24175465291,LinearRegressionModeler,KMeansPartitioner,12.0281360553
7,3.31403306615,LinearRegressionModeler,KMeansPartitioner,12.0281360553
8,3.31403306615,LinearRegressionModeler,KMeansPartitioner,12.0281360553
9,3.33407181863,LinearRegressionModeler,KMeansPartitioner,12.0281360553
10,3.49568165265,LinearRegressionModeler,KMeansPartitioner,12.0281360553
11,3.32944456542,LinearRegressionModeler,KMeansPartitioner,12.0281360553
1,2.0952906927,SplineRegressionModeler,KMeansPartitioner,12.0281360553
2,2.29287121062,SplineRegressionModeler,KMeansPartitioner,12.0281360553
3,2.38792770944,SplineRegressionModeler,KMeansPartitioner,12.0281360553
4,2.61370440232,SplineRegressionModeler,KMeansPartitioner,12.0281360553
5,2.88617369015,SplineRegressionModeler,KMeansPartitioner,12.0281360553
6,2.86760329864,SplineRegressionModeler,KMeansPartitioner,12.0281360553
7,2.75303847276,SplineRegressionModeler,KMeansPartitioner,12.0281360553
8,2.75303847276,SplineRegressionModeler,KMeansPartitioner,12.0281360553
9,2.95179850002,SplineRegressionModeler,KMeansPartitioner,12.0281360553
10,3.15527236846,SplineRegressionModeler,KMeansPartitioner,12.0281360553
11,2.94678169148,SplineRegressionModeler,KMeansPartitioner,12.0281360553
1,2.93890231179,RandomForestModeler,KMeansPartitioner,12.0281360553
2,2.95334941652,RandomForestModeler,KMeansPartitioner,12.0281360553
3,2.96174719818,RandomForestModeler,KMeansPartitioner,12.0281360553
4,2.85478455205,RandomForestModeler,KMeansPartitioner,12.0281360553
5,3.40864927947,RandomForestModeler,KMeansPartitioner,12.0281360553
6,3.45086589943,RandomForestModeler,KMeansPartitioner,12.0281360553
7,2.92354679192,RandomForestModeler,KMeansPartitioner,12.0281360553
8,2.95062915666,RandomForestModeler,KMeansPartitioner,12.0281360553
9,3.53935668933,RandomForestModeler,KMeansPartitioner,12.0281360553
10,3.57709224421,RandomForestModeler,KMeansPartitioner,12.0281360553
11,3.55853487742,RandomForestModeler,KMeansPartitioner,12.0281360553
1,11.0173683167,TensorFlowW,KMeansPartitioner,12.0281360553
2,4.34377241135,TensorFlowW,KMeansPartitioner,12.0281360553
3,13.7083311081,TensorFlowW,KMeansPartitioner,12.0281360553
4,6.77341222763,TensorFlowW,KMeansPartitioner,12.0281360553
5,9.68813610077,TensorFlowW,KMeansPartitioner,12.0281360553
6,7.0609960556,TensorFlowW,KMeansPartitioner,12.0281360553
7,4.26920032501,TensorFlowW,KMeansPartitioner,12.0281360553
8,10.3604221344,TensorFlowW,KMeansPartitioner,12.0281360553
9,16.5522403717,TensorFlowW,KMeansPartitioner,12.0281360553
10,4.71923303604,TensorFlowW,KMeansPartitioner,12.0281360553
11,6.52985954285,TensorFlowW,KMeansPartitioner,12.0281360553
1,2.81954026991,Analytical method,KMeansPartitioner,12.0281360553
