7.6236,7.9739,-308.4,10.1,45.7
7.6225,7.0993,-309.4,9.9,45.6
7.6242,7.4594,-304.0,10.0,45.6
7.6238,6.6878,-304.0,10.1,45.6
7.6237,6.7907,-308.9,10.0,45.7
7.6288,6.7907,-309.0,10.0,45.5
7.6277,6.6878,-306.5,10.1,45.7
7.6318,5.7618,-309.0,10.1,45.5
7.6294,5.7618,-292.9,10.0,45.5
7.6247,6.0704,-304.0,10.0,45.6
7.6251,5.7618,-304.0,9.9,45.5
7.629,5.9676,-304.0,10.0,45.6
7.6278,5.4531,-302.4,10.1,45.7
7.6322,5.8647,-309.6,10.1,45.6
7.6241,4.9901,-309.6,10.2,45.6
7.6294,4.9901,-304.0,10.0,45.4
7.6315,4.9901,-304.0,10.1,45.4
7.6272,4.7843,-309.6,10.2,45.6
7.6267,4.8872,-305.0,10.1,45.6
7.624,4.167,-304.3,10.2,45.5
7.6313,4.167,-304.0,10.2,45.8
7.6264,4.3728,-309.6,10.4,45.6
7.6247,4.167,-304.0,10.3,45.6
7.6266,4.9901,-304.0,10.1,45.5
7.6183,4.4757,-292.9,10.2,49.1
7.6183,4.3728,-304.0,10.2,49.4
7.6164,4.4757,-306.1,10.2,49.2
7.6307,4.167,-305.3,10.2,49.2
7.6332,4.5786,-292.8,10.0,49.1
7.6182,4.5786,-292.8,10.1,49.3
7.6353,4.8872,-304.6,10.3,49.2
7.6174,4.3728,-303.8,10.2,49.3
7.6146,4.0641,-302.5,10.1,49.2
7.6265,4.0641,-302.9,10.1,49.1
7.6264,4.4757,-297.1,10.1,49.2
7.6355,4.167,-297.0,10.2,49.3
7.6222,4.167,-302.5,10.2,49.1
7.6295,4.0641,-291.4,10.3,49.1
7.6214,4.167,-291.4,10.3,49.2
7.6269,4.167,-297.0,10.2,49.3
7.6224,3.9612,-297.0,10.3,49.1
7.6104,4.0641,-292.8,10.3,49.1
7.6326,3.4982,-292.8,10.2,49.2
7.6232,3.2924,-292.8,10.3,49.2
7.6166,3.6526,-290.5,10.2,49.1
7.6334,3.8583,-291.0,10.5,45.6
7.625,3.7554,-290.5,10.4,45.7
7.6149,2.778,-290.9,10.3,45.7
7.6318,2.778,-291.0,10.5,45.8
7.6218,2.8809,-303.5,10.5,45.8
7.6139,2.0578,-304.0,10.4,45.7
7.6125,2.1607,-292.5,10.3,45.9
7.6193,2.3664,-292.8,10.5,45.7
7.6244,1.9549,-309.6,10.5,45.9
7.6189,1.852,-293.5,10.5,45.6
7.5917,1.4919,-296.4,10.4,45.8
7.5853,1.7491,-303.9,10.5,45.8
7.6122,1.7491,-297.3,10.3,45.7
7.6074,1.7491,-292.8,10.4,44.8
7.6174,0.6688,-301.6,10.4,44.9
7.6186,1.2861,-291.4,10.5,44.9
7.6024,0.5659,-292.5,10.5,44.8
7.6045,1.1832,-288.5,10.5,44.9
7.5663,1.9549,-309.9,9.2,51.9
7.5755,0.9774,-302.5,9.1,52.0
7.6072,0.9774,-304.0,9.4,51.6
7.5956,0.8746,-309.6,9.4,51.6
7.5961,1.1832,-302.5,9.4,51.8
7.6104,0.6688,-304.0,9.4,51.6
7.6136,0.6688,-309.6,9.6,51.9
7.5716,1.1832,-302.6,9.6,51.7
7.5549,1.2861,-291.4,9.5,51.6
7.589,1.1832,-302.5,9.6,51.3
7.575,0.3601,-308.3,9.6,51.8
7.5935,0.8746,-304.5,9.6,51.8
7.5971,0.7717,-304.0,9.7,52.0
7.607,0.6688,-297.0,9.7,51.3
7.5748,0.3601,-304.0,9.7,51.9
7.6109,0.3601,-291.4,9.9,52.1
7.6009,0.7717,-304.6,10.0,51.5
7.6078,0.7717,-292.8,10.0,51.4
7.5885,0.6688,-291.1,9.9,51.7
7.6053,0.7717,-292.9,9.9,51.8
7.5956,1.389,-291.4,9.9,51.5
7.6074,1.0803,-303.9,9.9,51.5
7.5968,1.7491,-291.4,9.9,51.6
7.6167,2.2636,-297.0,9.8,51.5
7.6047,2.0578,-304.0,9.9,51.5
7.6174,1.5948,-292.8,9.9,51.5
7.6154,1.6977,-288.5,9.9,51.8
7.6162,2.8809,-292.8,9.8,49.3
7.5978,2.4693,-304.0,9.7,49.5
7.6113,3.4982,-292.8,9.8,49.1
7.5839,3.4982,-302.5,9.8,49.0
7.5882,3.7554,-299.9,9.9,49.3
7.6223,2.9838,-304.0,9.9,49.3
7.6185,2.778,-291.4,9.8,49.6
7.6172,3.3953,-302.5,10.0,49.1
7.5862,2.8809,-302.5,10.1,49.0
7.6158,2.9838,-297.0,10.0,49.0
7.6222,3.5497,-292.8,10.1,49.3
7.6159,4.3728,-309.6,10.0,49.1
7.5995,3.8583,-297.0,10.2,49.4
