Basis,Coeff
(Intercept),353.224
h(x1-14.8843),-301.817
h(14.8843-x1),297.951
h(x1-13.7006)*h(14.8843-x1),13.9475
h(x0-16.1)*h(14.8843-x1),0.533018
h(16.1-x0)*h(14.8843-x1),-1.09342
h(13.6749-x1),8.29514
h(x1-15.2567)*h(x1-13.6749),23.5287
h(x1-15.3027),-55.1018
h(x1-15.3949)*h(x1-15.3027),-36.4976
h(15.3949-x1)*h(x1-15.3027),-267.235
h(x1-15.148)*h(15.3027-x1),288.602
h(15.7439-x1),-307.624
x0*h(x1-15.7439),23.7552
h(15.7171-x1)*h(x1-13.6749),-16.702
x0*h(x1-14.8843),-0.950662
h(x1-15.1133)*h(15.7439-x1),-28.2589
h(16.84-x0)*h(13.6749-x1),1.02177
h(14.5497-x1)*h(x1-13.6749),11.8125
h(x1-15.5214),-11.9935
