Basis,Coeff
(Intercept),19.6212
h(x0-14.52),-19.2946
h(x1-13.9671)*h(14.52-x0),41.4731
h(13.9671-x1)*h(14.52-x0),-187.459
h(x0-14.1)*h(14.52-x0),26.7502
h(14.1-x0)*h(14.52-x0),-6.96284
h(x1-14.7671)*h(x0-14.52),-33.5874
h(14.7029-x1)*h(x1-14.3471),44.9089
h(14.226-x1)*h(14.3471-x1),111.935
h(x1-14.9471)*h(x1-14.3471),98.4554
h(14.9471-x1)*h(x1-14.3471),-112.684
h(x1-14.1011)*h(14.52-x0),-43.7728
h(14.1011-x1)*h(14.52-x0),103.167
h(14.1-x0)*h(14.3471-x1),-45.9042
h(x1-14.0743),-45.3169
h(13.7086-x1)*h(14.52-x0),-25.1509
h(x0-14.1)*h(x1-14.0743),31.4406
h(14.1-x0)*h(x1-14.0743),49.0163
h(x1-13.6289),74.3497
h(13.6289-x1),-51.4012
h(x1-13.9271)*h(14.3471-x1),90.0533
h(13.9271-x1)*h(14.3471-x1),-113.559
h(x1-14.5086)*h(x1-14.3471),-97.9152
h(13.9971-x1)*h(14.52-x0),160.16
h(x1-13.9671)*h(14.0743-x1),461.99
h(14.8414-x1)*h(x0-14.52),22.3998
