Basis,Coeff
(Intercept),926.419
h(6.51-x0),3.10689
h(4.27971-x1),-303.115
h(5.67143-x1)*h(6.51-x0),-2.4715
h(x1-6.45186)*h(x1-4.27971),-110.192
h(6.45186-x1)*h(x1-4.27971),127.247
h(x1-1.60086)*h(4.27971-x1),20.5257
h(3.312-x1),91.668
h(x0-2.6)*h(6.51-x0),-1.98322
h(2.6-x0)*h(6.51-x0),-1.71192
h(x1-4.517)*h(x1-3.312),108.751
h(4.517-x1)*h(x1-3.312),-32.5154
h(x1-0.636143),-233.978
h(0.525857-x1)*h(0.636143-x1),284.261
x0*h(x1-4.27971),-4.67072
h(0.931857-x1)*h(6.51-x0),15.5152
h(15.4-x0)*h(x1-3.312),-4.85914
