Basis,Coeff
(Intercept),236.351
h(12.6814-x1)*h(13.65-x1),-20.9772
h(x0-13.53)*h(13.8214-x1),-15.9171
h(13.53-x0)*h(13.8214-x1),18.1252
h(x1-13.5986)*h(13.65-x1),2219.88
h(13.5986-x1)*h(13.65-x1),-1440.28
h(x1-13.4357)*h(13.8214-x1),72.0767
h(13.4357-x1)*h(13.8214-x1),-88.1981
h(13.7286-x1),-636.999
h(x1-12.7743),-1139.32
h(12.7743-x1),106.621
h(x1-14.47)*h(x1-12.7743),-605.009
h(14.47-x1)*h(x1-12.7743),596.691
h(x1-12.8457)*h(x1-12.7743),555.15
h(x1-14.3729)*h(x1-13.65),-383.749
h(14.3729-x1)*h(x1-13.65),395.098
h(x1-13.6429)*h(13.7286-x1),-898.454
h(13.6429-x1)*h(13.7286-x1),1562.2
h(x1-13.7557)*h(x1-13.65),436.889
x0*h(13.65-x1),-32.9725
x0*h(13.7286-x1),48.9008
x0*h(12.7743-x1),4.4941
h(x1-12.4056)*h(13.8214-x1),-13.1917
