clusters,error,models,partitioners,var
19,5.10580528004,RandomForestModeler,KMeansPartitioner,48.8776753839
20,5.8497601283,RandomForestModeler,KMeansPartitioner,48.8776753839
21,5.09725721688,RandomForestModeler,KMeansPartitioner,48.8776753839
22,5.75687357924,RandomForestModeler,KMeansPartitioner,48.8776753839
23,5.15340265236,RandomForestModeler,KMeansPartitioner,48.8776753839
24,5.13812720207,RandomForestModeler,KMeansPartitioner,48.8776753839
25,5.50380953615,RandomForestModeler,KMeansPartitioner,48.8776753839
26,5.55086505469,RandomForestModeler,KMeansPartitioner,48.8776753839
27,5.58919802615,RandomForestModeler,KMeansPartitioner,48.8776753839
28,5.55395126655,RandomForestModeler,KMeansPartitioner,48.8776753839
29,5.27013480138,RandomForestModeler,KMeansPartitioner,48.8776753839
1,73.9963912964,TensorFlow,KMeansPartitioner,48.8776753839
1,34.2229995728,TensorFlowW,KMeansPartitioner,48.8776753839
2,37.9874305725,TensorFlowW,KMeansPartitioner,48.8776753839
3,46.207069397,TensorFlowW,KMeansPartitioner,48.8776753839
4,163.276580811,TensorFlowW,KMeansPartitioner,48.8776753839
5,47.6265640259,TensorFlowW,KMeansPartitioner,48.8776753839
6,5.68934679031,TensorFlowW,KMeansPartitioner,48.8776753839
7,4.76519680023,TensorFlowW,KMeansPartitioner,48.8776753839
8,2.17070150375,TensorFlowW,KMeansPartitioner,48.8776753839
9,23.3247585297,TensorFlowW,KMeansPartitioner,48.8776753839
10,29.5050888062,TensorFlowW,KMeansPartitioner,48.8776753839
11,110.591186523,TensorFlowW,KMeansPartitioner,48.8776753839
12,2.89645528793,TensorFlowW,KMeansPartitioner,48.8776753839
13,23.5344753265,TensorFlowW,KMeansPartitioner,48.8776753839
14,26.8473587036,TensorFlowW,KMeansPartitioner,48.8776753839
15,40.1291847229,TensorFlowW,KMeansPartitioner,48.8776753839
16,55.2417259216,TensorFlowW,KMeansPartitioner,48.8776753839
17,20.9274482727,TensorFlowW,KMeansPartitioner,48.8776753839
18,2.10849738121,TensorFlowW,KMeansPartitioner,48.8776753839
19,5.39093446732,TensorFlowW,KMeansPartitioner,48.8776753839
20,60.8175201416,TensorFlowW,KMeansPartitioner,48.8776753839
