Basis,Coeff
(Intercept),39.9995
h(x0-8.76),4.14244
h(8.76-x0),-2.98064
h(x1-14.0114)*h(x0-8.76),0.844953
h(14.0114-x1)*h(x0-8.76),0.23257
h(x0-2.56)*h(8.76-x0),-0.687917
h(2.56-x0)*h(8.76-x0),-0.622044
